mjd	mag_val	mag_band
60798.132901122684	23.67	g
60798.122113125	23.73	g
60798.12454511574	23.62	g
60797.10659112268	23.76	g
60797.09201612268	23.61	g
60798.12554112269	23.38	g
60797.11094211806	23.65	g
60798.134443125	23.51	g
60798.109881122684	23.52	g
60797.09442412037	23.67	g
60799.14724612269	23.82	g
60797.101671122684	23.95	g
60797.09636011574	23.68	g
60799.14531011574	24.04	g
60797.131936122685	23.45	g
60798.13143511574	23.62	g
60799.14965511574	23.66	g
60797.097803125	23.65	g
60797.12361011574	23.56	g
60797.096838125	23.58	g
60798.10746412037	23.80	g
60797.11142412037	23.67	g
60798.13690211806	23.56	g
60797.126063125	23.53	g
60797.10900711806	23.73	g
60798.11717412037	23.44	g
60798.13191912037	23.71	g
60797.13096711806	23.66	g
60799.14627412037	23.76	g
60799.14774112269	23.78	g
60798.11182912037	23.63	g
60797.02822511574	23.01	i
60799.03095612268	23.12	i
60797.050303125	22.96	i
60797.03306912037	23.30	i
60798.02965412037	22.85	i
60798.01544511574	22.78	i
60798.02035612269	23.07	i
60797.033545115744	23.31	i
60797.03851412037	23.12	i
60798.02721412037	22.89	i
60797.026227118055	22.83	i
60797.047738125	23.08	i
60798.01691511574	23.06	i
60797.04093511574	23.33	i
60797.04437112268	22.92	i
60797.038033125	23.12	i
60797.040428125	23.32	i
60799.032896122684	23.02	i
60797.02966912037	22.91	i
60798.020837118056	22.98	i
60798.035023125	22.92	i
60798.01593011574	22.65	i
60797.04288011574	23.21	i
60799.02849912037	23.07	i
60798.02768912037	22.99	i
60799.03339511574	22.93	i
60799.02601612268	22.61	i
60798.01398412037	22.88	i
60798.02528711806	22.96	i
60799.132796122685	23.42	r
60799.13672011574	23.07	r
60799.121921122685	23.21	r
60798.061356122686	23.24	r
60797.08248211806	23.20	r
60797.07513612269	23.44	r
60799.11461511574	23.38	r
60799.13523112269	23.50	r
60798.06475412037	23.13	r
60797.06250412037	23.62	r
60798.077978125	23.07	r
60798.07601711806	23.25	r
60799.084988125	23.25	r
60797.06055412037	23.27	r
60799.09183612269	23.34	r
60799.09828412037	23.22	r
60799.11704011574	23.30	r
60798.050033125	23.06	r
60798.071172118056	23.06	r
60799.08988511574	23.19	r
60798.05645011574	23.09	r
60799.11159612268	23.33	r
60799.131831122686	23.52	r
60798.085868125	23.11	r
60798.04907612268	23.41	r
60799.13426112269	22.93	r
60798.090702118054	23.11	r
60798.068658125	23.09	r
60798.05841711805	23.00	r
60799.126801122686	23.27	r
60799.13767711806	23.42	r
60799.09235612269	23.51	r
60799.129358125	23.15	r
60798.097968125	23.18	r
60798.083352118054	23.15	r
60799.097303125	23.67	r
60799.10727511574	23.25	r
60799.12044412037	23.31	r
60798.04419912037	23.24	r
60799.11304011574	23.30	r
60798.06329711805	23.14	r
60799.12778412037	23.29	r
60799.10237511574	23.34	r
60799.133749120374	22.98	r
60798.09311612268	23.07	r
60797.07856511574	23.18	r
60799.126288125	23.05	r
60798.07846011574	23.11	r
60799.10482511574	23.47	r
60798.09263912037	23.03	r
60798.046648125	23.16	r
60799.087468125	23.32	r
60798.05393412037	23.45	r
60797.07272412037	23.35	r
60799.11207711806	23.24	r
60798.06377912037	22.98	r
