mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60797.02622675926	10.677138875642326	3.3161736479508033	2.459997137910761	22.832	0.11	i
60797.028225358794	10.677654682720231	3.3161710313581625	2.460010811635763	23.006	0.133	i
60797.02966876158	10.678027204483772	3.3161691416318746	2.4600206844104635	22.911	0.106	i
60797.033068854165	10.678904730079953	3.316164690161375	2.460043932577676	23.299	0.13	i
60797.03354505787	10.679027634147172	3.3161640667046903	2.4600471877017527	23.314	0.122	i
60797.038033460645	10.680186073744958	3.3161581903630366	2.4600778574322373	23.125	0.124	i
60797.03851436343	10.680310195463859	3.316157560749666	2.4600811423057802	23.116	0.14	i
60797.040427858796	10.680804076996823	3.316155055536529	2.4600942104333234	23.323	0.175	i
60797.04093456019	10.6809348604392	3.3161543921447856	2.4600976703208874	23.332	0.161	i
60797.042879953704	10.681436987707693	3.3161518451619343	2.4601109516127226	23.207	0.134	i
60797.04437076389	10.681821789842017	3.316149893331784	2.460121126924697	22.921	0.115	i
60797.04773835648	10.682691046672817	3.3161454843275884	2.460144103918122	23.08	0.114	i
60797.05030326389	10.683353138959426	3.3161421262219775	2.4601615967813575	22.962	0.104	i
60797.060553564814	10.685999389506518	3.316128705902898	2.460231441121089	23.274	0.1	r
60797.0625040625	10.68650299685681	3.3161261521720666	2.4602447202051096	23.622	0.136	r
60797.072723958336	10.689142095444987	3.3161127714498484	2.460314239406657	23.348	0.119	r
60797.07513615741	10.68976510414331	3.316109613176021	2.4603306339085123	23.439	0.12	r
60797.078565358795	10.690650853097432	3.3161051233317482	2.460353931352561	23.18	0.091	r
60797.082482060185	10.691662634971271	3.3160999951802035	2.460380527855613	23.2	0.097	r
60797.09201576389	10.694125980777196	3.316087512559897	2.4604452103390524	23.611	0.103	g
60797.09442395833	10.694748350488016	3.3160843594500453	2.460461536613268	23.667	0.115	g
60797.096359560186	10.695248625441499	3.3160818251110897	2.4604746554076207	23.68	0.111	g
60797.09683826389	10.695372356794374	3.316081198329818	2.4604778993990597	23.578	0.107	g
60797.097803460645	10.695621839979257	3.316079934566953	2.460484439587827	23.646	0.112	g
60797.101671261575	10.696621682982608	3.3160748703150564	2.460510640146635	23.953	0.138	g
60797.10659076389	10.6978936279384	3.3160684289968585	2.4605439473643016	23.759	0.139	g
60797.109007453706	10.69851856627051	3.3160652647045086	2.4605603023608644	23.725	0.13	g
60797.11094186342	10.699018839236466	3.3160627318779836	2.4605733902202647	23.65	0.101	g
60797.11142436343	10.699143629092625	3.316062100114475	2.4605766542701075	23.669	0.117	g
60797.123610462964	10.702296293239154	3.316046144046808	2.4606590335195646	23.561	0.106	g
60797.126062662035	10.70293093152692	3.3160429331899617	2.460675597532092	23.533	0.117	g
60797.13096675926	10.704200374095858	3.316036511838984	2.460708710955293	23.655	0.134	g
60797.13193596065	10.704451294467793	3.3160352427766044	2.4607152532490773	23.448	0.104	g
60798.01398425926	10.93402467979837	3.3148796388780615	2.4668821262847493	22.876	0.185	i
60798.01544466435	10.934396464042658	3.3148777244579666	2.466892452983722	22.781	0.163	i
60798.015929664354	10.934519933155178	3.3148770886786796	2.466895882000868	22.647	0.159	i
60798.01691505787	10.934770789595582	3.3148757969405684	2.4669028481323205	23.059	0.207	i
60798.02035626157	10.935646831088317	3.31487128590237	2.466927167653092	23.074	0.188	i
60798.02083716435	10.935769256397979	3.3148706554902585	2.4669305653156113	22.985	0.183	i
60798.02528725695	10.936902136909698	3.3148648218771677	2.46696199493422	22.96	0.203	i
60798.02721395833	10.93739262997161	3.3148622961595224	2.466975596444152	22.889	0.196	i
60798.02768925926	10.937513630879703	3.3148616730860248	2.46697895124465	22.991	0.216	i
60798.0296540625	10.938013828804829	3.314859097412611	2.4669928169577435	22.847	0.18	i
60798.03502335648	10.939380769350091	3.314852058737124	2.4670306886272653	22.921	0.183	i
60798.04419876157	10.94171684366763	3.3148400304694547	2.4670953399419764	23.243	0.175	r
60798.04664755787	10.942340356241376	3.3148368202573355	2.46711258051354	23.164	0.134	r
60798.049075856485	10.942958672170187	3.3148336369066995	2.467129670984056	23.407	0.202	r
60798.05003346065	10.943202512955812	3.314832381543031	2.4671364090682824	23.063	0.132	r
60798.053933854164	10.94419573624065	3.3148272683387248	2.4671638446023447	23.455	0.215	r
60798.05645005787	10.944836518272352	3.3148239697185065	2.4671815359088196	23.091	0.162	r
60798.05841686342	10.945337412056011	3.3148213913249553	2.4671953602037457	22.997	0.124	r
60798.06135585648	10.946085936116217	3.3148175384248963	2.4672160109592394	23.241	0.163	r
60798.06329706019	10.946580363356823	3.3148149935783326	2.4672296462933407	23.138	0.138	r
60798.0637790625	10.946703133530463	3.314814361690088	2.4672330314071296	22.978	0.143	r
60798.06475395834	10.94695145239923	3.314813083634217	2.467239877458678	23.131	0.124	r
60798.06865775463	10.947945862107606	3.3148079658723946	2.4672672823578963	23.091	0.155	r
60798.07117206018	10.948586383008928	3.314804669678116	2.4672849254699485	23.061	0.154	r
60798.07601665509	10.949820676118637	3.314798318499852	2.4673189041215906	23.254	0.164	r
60798.07797766204	10.950320347399213	3.3147957476435446	2.467332652037166	23.068	0.138	r
60798.07845956019	10.950443141478692	3.3147951158795053	2.4673360299257565	23.113	0.155	r
60798.08335165509	10.951689820818748	3.3147887023701794	2.4673703095846493	23.146	0.147	r
60798.085868159724	10.952331196069748	3.314785403230296	2.467387934911114	23.115	0.148	r
60798.09070195602	10.953563336006932	3.3147790660898027	2.4674217749072094	23.112	0.124	r
60798.09263865741	10.954057065867667	3.3147765270493967	2.467435327587594	23.028	0.115	r
60798.09311585648	10.954178725470884	3.3147759014345013	2.4674386664511534	23.075	0.128	r
60798.097968263886	10.955415954533844	3.3147695398347654	2.467472606948642	23.179	0.15	r
60798.107463657405	10.957837745413183	3.3147570910765363	2.4675389676006567	23.804	0.178	g
60798.109881261575	10.95845451654999	3.314753921497699	2.4675558521686694	23.519	0.14	g
60798.111828761575	10.958951406902202	3.314751368237093	2.4675694502545733	23.633	0.138	g
60798.11717415509	10.960315483308637	3.3147443601526096	2.4676067588297386	23.437	0.133	g
60798.12211305556	10.961576150041752	3.314737884958408	2.46764121158422	23.727	0.169	g
60798.12454546296	10.962197145870798	3.3147346959116404	2.4676581731556526	23.616	0.155	g
60798.12554076389	10.962451270073696	3.3147333910031542	2.4676651123584943	23.376	0.13	g
60798.131434953706	10.963956476683183	3.314725663279709	2.4677061925499104	23.624	0.142	g
60798.13191865741	10.96408002229922	3.314725029105259	2.4677095627414416	23.707	0.152	g
60798.13290076389	10.964330878025491	3.314723741484101	2.46771640506343	23.666	0.159	g
60798.134443055555	10.964724847702412	3.314721719411007	2.467727148921479	23.512	0.134	g
60798.13690225694	10.965353108081962	3.314718495184172	2.467744276963367	23.564	0.143	g
60799.02601576389	11.193507923567127	3.3135521230886598	2.4741570115305733	22.605	0.101	i
60799.0284990625	11.194131028579486	3.3135488635452863	2.4741750671008216	23.073	0.143	i
60799.03095555556	11.194747416578041	3.3135456391766422	2.4741929216785112	23.118	0.166	i
60799.032896157405	11.19523436402868	3.3135430919540885	2.4742070223234895	23.023	0.139	i
60799.03339486111	11.195359502991295	3.3135424373575955	2.474210645355911	22.934	0.135	i
60799.08498846065	11.208311977000458	3.313474713546807	2.4745841717434813	23.249	0.117	r
60799.08746826389	11.208934999949992	3.3134714583465583	2.4746020634905666	23.316	0.151	r
60799.08988535879	11.209542324486343	3.313468285451996	2.474619497736413	23.186	0.111	r
60799.09183615741	11.210032528038008	3.3134657246526125	2.4746335650276556	23.34	0.124	r
60799.092355960645	11.210163152445078	3.313465042309496	2.4746373128113173	23.512	0.155	r
60799.0973028588	11.211406426456804	3.3134585485184953	2.4746729687387385	23.672	0.192	r
60799.09828436343	11.211653132711334	3.313457260093027	2.4746800407726055	23.222	0.134	r
60799.102375462964	11.212681565229488	3.3134518896704095	2.474709509993637	23.337	0.175	r
60799.10482486111	11.213297391831786	3.3134486743108456	2.474727147244634	23.467	0.137	r
