mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60795.03208975695	12.007478494611714	2.835046181212639	1.9565330986813794	22.666	0.07	r
60795.0340403588	12.008102362922795	2.8350442129513334	1.9565458388965773	22.893	0.086	r
60795.03453106481	12.008259307598456	2.835043717801913	1.9565490433004218	22.76	0.072	r
60795.06876835648	12.019211266444065	2.8350091695312725	1.9567720275734353	22.904	0.077	r
60795.06974466435	12.01952365766664	2.835008184328133	1.9567783694424583	22.875	0.072	r
60795.07123925926	12.02000189954012	2.8350066761127453	1.95678807623862	22.869	0.069	r
60795.07370555556	12.020791103850282	2.835004187332776	1.9568040892523046	22.808	0.075	r
60797.021838761575	12.643332455551986	2.8330352685811175	1.9699900535254404	22.38	0.075	i
60797.02284755787	12.64364490391766	2.833034247463071	1.969997063915848	22.308	0.065	i
60797.02526956019	12.644395053945384	2.8330317958718023	1.970013890781427	22.528	0.077	i
60797.02671626157	12.644843130452724	2.833030331491732	1.9700239388785512	22.66	0.076	i
60797.027719861115	12.645153968252577	2.8330293156266935	1.9700309081416343	22.744	0.102	i
60797.02870606481	12.645459418713937	2.8330283173679525	1.970037755605274	22.644	0.085	i
60797.032566354166	12.646655047545645	2.8330244098782713	1.9700645490329636	22.581	0.068	i
60797.034055358796	12.647116234297938	2.833022902661079	1.9700748798397227	22.614	0.062	i
60797.035119155094	12.647445724098802	2.833021825850997	1.9700822591470541	22.543	0.085	i
60797.0365740625	12.64789635611945	2.833020353142154	1.9700923496470082	22.42	0.068	i
60797.039948564816	12.648941566442227	2.8330169373383924	1.9701157452561502	22.563	0.068	i
60797.04140956019	12.649394100488534	2.8330154584563405	1.9701258708584848	22.681	0.082	i
60797.042377164355	12.649693813176524	2.8330144790039853	1.9701325757762365	22.475	0.06	i
60797.04386826389	12.650155682870645	2.83301296964308	1.9701429063690787	22.507	0.081	i
60797.04725445602	12.651204588370144	2.8330095419672934	1.9701663582489575	22.5	0.069	i
60797.05475565972	12.65352833068665	2.8330019488041795	1.970218269190471	22.705	0.066	r
60797.05619736111	12.653974976718594	2.8330004894184415	1.9702282399393005	22.651	0.058	r
60797.05715296296	12.654271033110247	2.8329995220931936	1.9702348477268736	22.654	0.058	r
60797.058633657405	12.654729779853069	2.8329980232299588	1.9702450846736572	22.658	0.062	r
60797.05959505787	12.655027646479954	2.8329970500314627	1.970251730282498	22.654	0.055	r
60797.061048159725	12.655477866025562	2.8329955790939896	1.9702617730532426	22.605	0.049	r
60797.06202135417	12.65577940171573	2.83299459395277	1.9702684979196647	22.627	0.055	r
60797.0634640625	12.656226423671464	2.8329931335313905	1.9702784655001093	22.638	0.049	r
60797.06685865741	12.65727829372021	2.8329896972448783	1.9703019107201551	22.782	0.056	r
60797.068297858794	12.657724278957401	2.8329882403624773	1.9703118474563561	22.674	0.051	r
60797.06936555556	12.658055151210942	2.8329871595466374	1.9703192179374152	22.727	0.073	r
60797.07080085648	12.658499955986134	2.8329857066063915	1.9703291243672	22.734	0.063	r
60797.07321025463	12.659246674669438	2.832983267590961	1.9703457496773744	22.713	0.066	r
60797.07416415509	12.659542320213353	2.832982301962526	1.9703523302827446	22.767	0.064	r
60797.075621157404	12.659993909336368	2.8329808270433228	1.970362379983816	22.751	0.057	r
60797.076608958334	12.660300083009739	2.8329798270936877	1.9703691922471063	22.671	0.053	r
60797.07808165509	12.66075656926055	2.832978336281144	1.9703793468882158	22.609	0.059	r
60797.08151956018	12.661822283343364	2.8329748560740704	1.9704030444900946	22.603	0.051	r
60797.08296266204	12.662269664341268	2.832973395209534	1.9704129886697253	22.658	0.059	r
60797.08402585648	12.662599282472181	2.832972318926445	1.9704203137775678	22.625	0.065	r
60797.0886553588	12.66403468819054	2.8329676324119335	1.9704521980532133	23.057	0.068	g
60797.09009395833	12.664480782586867	2.832966176089117	1.9704621021378028	23.192	0.07	g
60797.091053854165	12.664778449136172	2.832965204365549	1.970468709573164	23.195	0.074	g
60797.092498460646	12.665226445837453	2.8329637419562252	1.970478652009919	23.132	0.067	g
60797.093455462964	12.665523241748105	2.8329627731583056	1.9704852375469215	23.236	0.071	g
60797.0949015625	12.665971742390957	2.832961309232195	1.9704951872838554	23.196	0.072	g
60797.09587005787	12.666272130582433	2.832960328795954	1.9705018499226052	23.179	0.073	g
60797.097315555555	12.66672048699263	2.832958865473746	1.9705117925634132	23.034	0.067	g
60797.10321956019	12.668552033933771	2.832952888631511	1.970552384329832	23.053	0.076	g
60797.10562635417	12.669298804156249	2.8329504521293614	1.9705689235609667	23.113	0.077	g
60797.10707456018	12.669748185875529	2.832948986042841	1.9705788732356273	23.3	0.079	g
60797.10804425926	12.670049102077977	2.8329480043694133	1.9705855344685117	23.075	0.071	g
60797.10948665509	12.670496729599636	2.8329465441596633	1.970595441458369	23.032	0.069	g
60797.11045716435	12.670797930467174	2.832945561662289	1.9706021064120358	23.162	0.073	g
60797.111904756945	12.671247221123153	2.8329440961855927	1.970612046362902	23.062	0.063	g
60797.115291458336	12.672298475265357	2.832940667631286	1.9706352949708161	23.112	0.061	g
60797.11674175926	12.67274871077048	2.832939199402263	1.9706452481488599	23.133	0.069	g
60797.11924275463	12.673525203004873	2.8329366674821124	1.9706624083785902	23.174	0.082	g
60797.12022145833	12.673829090887338	2.83293567667422	1.9706691223561277	23.233	0.078	g
60797.12264466435	12.674581562789703	2.8329332234924416	1.9706857427149926	23.063	0.055	g
60797.12409755787	12.675032771412296	2.8329317526217186	1.9706957058334091	23.165	0.079	g
60797.12509055556	12.675341175342181	2.832930747335026	1.9707025143837091	23.215	0.091	g
60797.126062662035	12.67564310643062	2.8329297631972628	1.970709179011941	23.12	0.072	g
60797.12655335648	12.675795519616356	2.832929266428654	1.970712542896701	23.056	0.062	g
60797.13144895833	12.677316349645839	2.8329243102080643	1.9707460948452546	23.169	0.068	g
60797.132505960646	12.677644763736469	2.8329232401127835	1.970753336857788	23.157	0.086	g
60798.01153016204	12.952035632489025	2.8320327191129913	1.9769844993472958	23.011	0.193	i
60798.01202335648	12.95218580927763	2.8320322191276643	1.9769880289775588	23.106	0.204	i
60798.0198665625	12.954573996631904	2.8320242678757515	1.977044126435396	23.17	0.207	i
