mjd	mag_val	mag_band
60797.119243125	23.17	g
60799.14432112269	23.46	g
60797.09009412037	23.19	g
60798.13240711806	23.58	g
60798.133472118054	23.48	g
60797.08865511574	23.06	g
60797.10322011574	23.05	g
60797.11674211806	23.13	g
60797.126553125	23.06	g
60798.127023125	23.41	g
60797.131449120374	23.17	g
60799.15064412037	23.20	g
60798.122597118054	23.62	g
60797.124098125	23.16	g
60798.127506122684	23.50	g
60798.12357711806	23.71	g
60797.12264511574	23.06	g
60797.10707511574	23.30	g
60798.11279612269	23.46	g
60798.12016412037	23.56	g
60799.14579112268	23.17	g
60797.105626122684	23.11	g
60799.14676711806	23.33	g
60798.110361122686	23.71	g
60799.14917511574	23.18	g
60797.108044120374	23.07	g
60798.107938125	23.48	g
60799.14821612269	23.26	g
60797.120221122685	23.23	g
60797.09105412037	23.20	g
60798.13093511574	23.57	g
60797.109487118054	23.03	g
60798.11134011574	23.51	g
60797.111905115744	23.06	g
60798.12114412037	23.74	g
60797.12509112268	23.21	g
60798.125047118054	23.77	g
60797.092498125	23.13	g
60797.09345511574	23.24	g
60797.11529112268	23.11	g
60798.10890412037	23.63	g
60798.11231211806	23.57	g
60797.09490211806	23.20	g
60797.09731612269	23.03	g
60797.110457118055	23.16	g
60798.11870612269	23.41	g
60798.10649511574	23.66	g
60798.11765511574	23.43	g
60797.09587011574	23.18	g
60798.11620912037	23.51	g
60798.10407511574	23.64	g
60797.126063125	23.12	g
60799.150132118055	23.04	g
60797.13250612268	23.16	g
60799.03240912037	22.48	i
60797.043868125	22.51	i
60799.02995011574	22.66	i
60797.04237711806	22.48	i
60798.02335412037	22.91	i
60797.027720115744	22.74	i
60797.02671612269	22.66	i
60799.02752912037	22.59	i
60799.03735412037	22.63	i
60798.026731122685	22.86	i
60797.03657412037	22.42	i
60797.03994912037	22.56	i
60799.02898112268	22.59	i
60799.02652011574	22.63	i
60798.019867118055	23.17	i
60799.03884612268	22.48	i
60798.012023125	23.11	i
60797.025270115744	22.53	i
60797.04725412037	22.50	i
60797.028706122685	22.64	i
60798.01153011574	23.01	i
60799.03144011574	22.59	i
60797.022848125	22.31	i
60797.03256612268	22.58	i
60798.03551011574	23.04	i
60797.03405511574	22.61	i
60797.041410115744	22.68	i
60797.03511912037	22.54	i
60799.03388511574	22.65	i
60797.02183912037	22.38	i
60799.128357118054	22.83	r
60799.126801122686	22.70	r
60797.05959511574	22.65	r
60798.084898125	23.00	r
60798.044687118054	23.18	r
60798.09215211806	23.04	r
60797.057153125	22.65	r
60798.04712912037	23.20	r
60798.07020511574	22.73	r
60799.137197118056	22.63	r
60797.06936612268	22.73	r
60799.112548125	22.72	r
60799.121921122685	22.80	r
60797.07562112268	22.75	r
60797.07416412037	22.77	r
60799.10727511574	22.82	r
60799.10040011574	22.71	r
60798.05793711806	22.92	r
60798.052971122685	22.84	r
60798.071651122686	23.53	r
60797.084026122684	22.62	r
60798.09118011574	22.97	r
60799.092837118056	22.75	r
60795.07123912037	22.87	r
60799.10628211805	22.67	r
60798.06768412037	23.12	r
60798.074073125	22.76	r
60798.05938912037	23.02	r
60798.06281511574	22.84	r
60795.03209011574	22.67	r
60798.05696711806	23.16	r
60798.08634711806	22.99	r
60799.09779112269	22.66	r
60799.107752118056	22.72	r
60797.061048125	22.61	r
60799.11755711806	22.80	r
60799.09235612269	22.73	r
60799.08549511574	22.62	r
60798.083352118054	23.02	r
60797.07660912037	22.67	r
60798.04955112268	23.22	r
60798.09844612268	23.23	r
60798.072618125	23.02	r
60798.08731011574	22.89	r
60795.03404011574	22.89	r
60797.07808211805	22.61	r
60798.07746612268	23.38	r
60798.07893711806	23.11	r
60799.083994120374	22.73	r
60797.068298125	22.67	r
60799.11512112268	22.86	r
60798.05442511574	22.99	r
60799.10384912037	22.70	r
60797.082963125	22.66	r
60799.101367118055	22.90	r
60797.05619711806	22.65	r
60798.055488125	23.02	r
60799.09134112269	22.64	r
60799.088911122686	22.69	r
60799.11852711806	22.76	r
60799.120928125	22.65	r
60797.06685912037	22.78	r
60799.09634412037	22.74	r
60799.13672011574	22.69	r
60798.08972711806	23.01	r
60798.082378125	22.78	r
60799.09887112268	22.74	r
60799.13231612268	22.65	r
60799.13474112268	22.71	r
60797.07321011574	22.71	r
60798.04046211806	23.23	r
60798.076498125	23.12	r
60798.048107118055	23.28	r
60795.034531122685	22.76	r
60799.12986912037	22.85	r
60798.04320011574	23.15	r
60799.133273125	22.69	r
60797.062021122685	22.63	r
60797.05863412037	22.66	r
60799.10289011574	22.71	r
60797.06346412037	22.64	r
60798.06426912037	23.27	r
60799.11608412037	22.68	r
60799.08794612269	22.60	r
60795.07370612268	22.81	r
60798.09700412037	22.90	r
60797.07080112268	22.73	r
60799.09037612269	22.77	r
60798.06914011574	23.08	r
60795.06974511574	22.88	r
60798.06035912037	22.89	r
60799.12729211806	22.74	r
60799.11996711806	22.72	r
60798.097968125	23.05	r
60799.135720115744	22.87	r
60798.06183612269	22.96	r
60797.054756122685	22.70	r
60799.11111612269	22.69	r
60797.08152011574	22.60	r
60798.09359511574	23.08	r
60795.068768125	22.90	r
