mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60787.11079675926	11.152310878179676	2.6384217554068976	1.7226657760627484	21.966	0.049	i
60787.11345665509	11.153297454526896	2.6384186972847443	1.7226790011992692	21.974	0.045	i
60787.11446835648	11.153672729463251	2.638417534118945	1.722684029870034	21.899	0.042	i
60787.115997361114	11.154239918783162	2.6384157762055764	1.7226916281838929	21.888	0.045	i
60787.11701686343	11.154618126193228	2.6384146040737964	1.722696693477385	21.959	0.053	i
60787.118650358796	11.155224141062574	2.638412726031562	1.7227048075487932	21.872	0.045	i
60787.12533436342	11.157704297878809	2.6384050414124824	1.7227379865671923	21.967	0.045	i
60787.12636576389	11.158087072839015	2.63840385561316	1.7227431032160867	21.997	0.055	i
60787.12890445602	11.15902931253965	2.6384009368897265	1.7227556938104673	22.042	0.051	i
60787.13043505787	11.159597451584819	2.638399177166611	1.722763282397054	21.949	0.044	i
60787.13145516204	11.159976123324059	2.638398004361209	1.7227683389860686	21.966	0.043	i
60787.13298486111	11.160543995744542	2.6383962456809624	1.7227759201249413	21.925	0.043	i
60790.11832945602	12.260246015079955	2.634969588480721	1.7389114980026525	22.173	0.049	r
60790.12192716435	12.261530370052196	2.6349654657552164	1.7389316923264173	22.253	0.071	r
60790.124511354166	12.262453042606891	2.6349625044625595	1.7389461914914957	22.247	0.065	r
60790.13322856482	12.265566360016418	2.6349525152392563	1.7389950644475238	22.138	0.05	r
60790.13563986111	12.266427794126317	2.6349497521042626	1.7390085736182743	22.86	0.047	g
60790.138225462964	12.267351622959064	2.6349467892393816	1.7390230547848011	22.804	0.057	g
60790.14074466435	12.268251853441345	2.634943902471213	1.7390371596314633	22.787	0.062	g
60790.14326486111	12.26915256669636	2.634941014570385	1.7390512657600914	22.775	0.058	g
60790.14901275463	12.271207339411573	2.634934428074034	1.7390834224596017	22.754	0.051	g
60790.17689106482	12.281183718252427	2.634902482993864	1.7392391132040672	22.765	0.058	g
60790.17793346065	12.28155709892964	2.6349012885571694	1.7392449268392114	22.792	0.055	g
60790.18188925926	12.282974289798446	2.634896755789787	1.7392669846453357	21.985	0.06	i
60790.18323115741	12.283455122311594	2.6348952181753122	1.7392744656221113	22.09	0.08	i
60790.184789363426	12.284013519832389	2.6348934327070657	1.7392831515554628	22.024	0.054	i
60790.18588255787	12.28440531281961	2.6348921800736904	1.7392892447740265	21.897	0.062	i
60790.18743475695	12.28496166220153	2.6348904014933625	1.73929789556345	22.014	0.064	i
60795.0355124537	13.971830386077016	2.6293508042770246	1.769584386681219	22.23	0.062	r
60795.09771436342	13.992311041303697	2.6292799371126434	1.7699985454038913	22.261	0.044	r
