mjd	mag_val	mag_band
60797.11094211806	23.71	g
60798.108421122684	23.23	g
60798.13143511574	23.51	g
60798.109388125	23.40	g
60797.12070612269	23.63	g
60799.14531011574	23.60	g
60798.12653511574	23.16	g
60797.10852511574	23.57	g
60797.10900711806	23.51	g
60798.11182912037	23.43	g
60798.10698011574	23.32	g
60798.124066122684	23.33	g
60798.11327912037	23.17	g
60799.14480011574	23.84	g
60797.11239412037	23.50	g
60797.10119511574	23.73	g
60797.107563125	23.59	g
60798.12799511574	23.52	g
60797.09153912037	23.82	g
60797.09636011574	23.88	g
60798.109881122684	23.16	g
60798.12454511574	23.18	g
60797.11577412037	23.66	g
60797.09297612269	23.82	g
60799.14774112269	23.49	g
60797.12361011574	23.71	g
60798.136418125	23.36	g
60797.125583125	23.83	g
60798.11669711806	23.26	g
60799.14965511574	23.46	g
60797.097803125	23.65	g
60798.12163011574	23.32	g
60799.15112511574	23.47	g
60797.095388125	23.67	g
60799.02946912037	23.00	i
60799.015928125	22.82	i
60797.02822511574	22.78	i
60799.034408125	22.96	i
60797.03306912037	23.04	i
60798.02625511574	22.72	i
60798.02721412037	22.42	i
60797.041893125	23.12	i
60798.02035612269	22.58	i
60799.014427118054	22.72	i
60798.02965412037	23.01	i
60799.030471122685	23.02	i
60799.01795511574	23.08	i
60797.040428125	23.13	i
60799.025526122685	22.84	i
60797.04288011574	22.99	i
60798.02481011574	22.66	i
60798.02383711805	22.68	i
60798.034551122684	22.66	i
60797.04437112268	22.98	i
60799.01194211806	22.88	i
60799.01943511574	23.16	i
60799.032896122684	22.93	i
60799.03095612268	23.13	i
60799.01045112268	23.08	i
60799.012951122684	23.03	i
60797.038033125	23.12	i
60797.02575112269	23.23	i
60797.02966912037	22.96	i
60797.023327118055	23.00	i
60799.02294011574	22.85	i
60798.02238511574	22.46	i
60798.01691511574	22.60	i
60797.03947112268	22.92	i
60799.01693412037	23.10	i
60799.027043125	22.87	i
60797.022357118054	22.89	i
60798.028663125	22.52	i
60798.03113112268	22.73	i
60799.02445211806	23.07	i
60798.037063125	22.37	i
60797.03705612269	22.80	i
60799.03193011574	22.74	i
60797.035602118056	23.06	i
60797.047738125	23.11	i
60798.01544511574	22.76	i
60799.028013125	22.84	i
60797.03453211806	23.06	i
60797.02719912037	22.94	i
60797.02478612268	22.88	i
60798.097968125	22.81	r
60798.054914120374	22.80	r
60799.12044412037	22.94	r
60799.12141112269	22.84	r
60798.07310011574	22.80	r
60798.06962711806	22.85	r
60797.082003125	23.05	r
60798.04368711806	22.64	r
60799.08988511574	22.85	r
60799.131831122686	22.88	r
60799.13621011574	22.83	r
60798.09893612268	22.72	r
60799.11804112269	23.09	r
60799.09085912037	23.10	r
60798.084326122684	22.80	r
60799.09935912037	22.74	r
60797.06734511574	23.14	r
60798.07069112269	22.78	r
60799.13426112269	23.16	r
60798.087793125	23.03	r
60798.046138125	22.76	r
60798.04094211805	22.89	r
60797.07709112269	23.23	r
60798.04517412037	22.71	r
60798.068166122684	22.93	r
60799.09828412037	22.92	r
60798.053453125	22.91	r
60799.10482511574	22.90	r
60799.10433912037	23.06	r
60798.061356122686	22.84	r
60799.131318125	22.96	r
60799.08940211806	23.04	r
60799.11207711806	23.04	r
60799.126288125	22.92	r
60799.11704011574	22.89	r
60799.126801122686	22.90	r
60798.057448125	22.98	r
60798.072137118055	22.66	r
60798.060843125	22.71	r
60799.108230115744	22.85	r
60798.04859211806	22.88	r
60798.075533125	22.67	r
60799.086953125	22.96	r
60798.09408912037	22.84	r
60799.09183612269	22.98	r
60799.133749120374	23.05	r
60798.04761612268	22.88	r
60799.10185612269	22.94	r
60797.072242118054	23.16	r
60798.05987711805	22.82	r
60799.10580612269	23.08	r
60799.085977118055	23.10	r
60799.08446612269	22.85	r
60798.07455912037	22.91	r
60798.06231912037	22.81	r
60798.090220115744	22.80	r
60799.09334211805	22.93	r
60799.097303125	23.22	r
60797.07369011574	23.16	r
60799.10337711806	22.84	r
60797.083450115744	23.11	r
60798.06475412037	22.86	r
60797.063948125	23.10	r
60798.05841711805	22.75	r
60798.08539011574	22.63	r
60797.07610511574	23.14	r
60799.088431122684	23.13	r
60797.057638125	23.13	r
60799.10676511574	23.05	r
60797.07465011574	23.01	r
60799.11304011574	22.94	r
60797.06153211805	23.23	r
60798.06329711805	22.58	r
60797.05911912037	23.16	r
60797.07856511574	23.09	r
60799.13767711806	22.95	r
60797.06007511574	23.18	r
60798.07601711806	22.94	r
60798.08286711806	22.63	r
60799.122903125	22.99	r
60798.077978125	22.62	r
60799.096828125	23.00	r
60797.05523511574	22.96	r
60799.12778412037	22.79	r
60798.089243125	22.99	r
60798.09263912037	22.74	r
60798.07697711806	23.02	r
