mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60793.137054363426	15.773049061170337	2.190503182952106	1.296244142715967	22.606	0.047	g
60793.13803065972	15.773414374235612	2.1905040011228385	1.2962507841125908	22.492	0.044	g
60793.139491354166	15.773960988108895	2.190505225244501	1.2962607194124691	22.557	0.048	g
60793.14193525463	15.774875661523629	2.190507273356115	1.2962773388529103	22.529	0.043	g
60793.18501516204	15.791027911093122	2.1905433812024855	1.2965696864295875	21.858	0.033	r
60793.20333736111	15.797915647682348	2.1905587408365297	1.2966937460652848	22.383	0.046	g
60795.031108958334	16.480250262523345	2.192099052622428	1.309707700643809	22.164	0.047	r
60795.03257805556	16.480780666710046	2.192100297079063	1.3097183570143152	22.15	0.039	r
60795.03599975695	16.482016077274324	2.1921031956046986	1.3097431682774712	22.176	0.043	r
60795.06772796296	16.493475776858773	2.1921300752427864	1.309972664713822	22.015	0.035	r
60795.06925565972	16.49402782309025	2.1921313696042612	1.3099836894456804	21.985	0.037	r
60795.07023085648	16.494380234936962	2.192132195858447	1.3099907258313306	21.957	0.038	r
60795.07172695602	16.494920913232022	2.1921334634662433	1.3100015189158511	22.049	0.036	r
60797.022357361115	17.200027685991024	2.1937951932304793	1.3245371044862309	21.738	0.038	i
60797.02332706018	17.200365755131397	2.193796023770442	1.3245444753486586	21.771	0.04	i
60797.024786458336	17.200874554615652	2.1937972737423754	1.3245555666476028	21.801	0.047	i
60797.025751354166	17.201210956161965	2.1937981001793396	1.3245628985462994	21.718	0.045	i
60797.0271990625	17.2017156916615	2.1937993401552762	1.3245738973378691	21.651	0.035	i
60797.03560236111	17.20464563747841	2.1938065378544054	1.3246376972324074	21.823	0.045	i
60797.03705585648	17.20515246072359	2.1938077828543885	1.324648725084735	21.856	0.042	i
60797.040427858796	17.2063283061533	2.193810671200571	1.3246743004812005	21.715	0.044	i
60797.04189255787	17.206839083853968	2.1938119258300537	1.3246854060338769	21.786	0.036	i
60797.0552353588	17.211492903399556	2.1938233554489663	1.3247864722407705	21.842	0.032	r
60797.05763766204	17.212330988822398	2.193825413382313	1.3248046496083374	21.828	0.031	r
60797.05911865741	17.21284769263193	2.193826682090507	1.3248158529009355	21.868	0.03	r
60797.06007535879	17.213181489602533	2.1938275016632023	1.3248230889083492	21.844	0.03	r
60797.06153175926	17.213689654735116	2.1938287493185826	1.3248341026450552	21.884	0.029	r
60797.06635175926	17.215371634043322	2.19383287854176	1.32487053804455	21.853	0.03	r
60797.068792858794	17.216223594632027	2.193834969837354	1.3248889821768364	21.786	0.035	r
60797.06984195602	17.216589762489544	2.1938358686099564	1.3248969070309256	21.874	0.031	r
60797.07128576389	17.21709372275218	2.193837105543913	1.3249078117852977	21.892	0.03	r
60797.0722424537	17.217427671630894	2.1938379251612568	1.3249150363441542	21.933	0.031	r
60797.07368966435	17.217932871119103	2.193839165026579	1.3249259634633281	21.879	0.032	r
60797.07610505787	17.218776120334653	2.1938412343828864	1.3249441963758157	21.919	0.029	r
60797.08913925926	17.22332822473412	2.1938524017346324	1.3250424926931113	22.451	0.038	g
60797.09057775463	17.22383079527687	2.1938536342473145	1.3250533314591497	22.422	0.039	g
60797.09153856481	17.224166497714275	2.193854457481479	1.3250605699329256	22.375	0.038	g
