mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60795.033550960645	10.064994599204356	3.395897213654534	2.52982444324812	23.81	0.174	r
60795.0340403588	10.065122925110341	3.3958966037285596	2.529827788720025	23.795	0.176	r
60795.03649755787	10.065767234731089	3.3958935413582902	2.5298445822567426	23.791	0.182	r
60795.070718055555	10.07474196552021	3.395850889710873	2.5300778456223876	23.873	0.17	r
60795.07321585648	10.075397247299154	3.395847776277893	2.5300948280940023	23.692	0.169	r
60795.09254275463	10.080468989424068	3.395823684827511	2.530226039976699	23.662	0.118	r
60795.148054861114	10.095057159349475	3.395754477180913	2.5306012369681627	24.455	0.209	g
60795.15003055555	10.095577082321716	3.3957520137716655	2.530614551133049	24.671	0.208	g
60795.15494915509	10.096871709153815	3.39574588089487	2.5306476876543855	24.404	0.198	g
60797.024286354164	10.586749973368109	3.393406244187303	2.5439224378838965	23.6	0.212	i
60797.02671626157	10.58736888434022	3.3934031915203464	2.5439401293268173	23.781	0.203	i
60797.03111365741	10.588488932794561	3.3933976670435078	2.5439721303734233	23.685	0.19	i
60797.03354505787	10.589108235598157	3.393394612418223	2.543989816007785	23.815	0.181	i
60797.034055358796	10.589238215497547	3.393393971311307	2.543993527108708	23.697	0.167	i
60797.03608695602	10.589755692061697	3.393391418939741	2.544008299072375	23.407	0.174	i
60797.03899376158	10.590496109126041	3.3933877669755517	2.5440294276214974	23.28	0.147	i
60797.04093456019	10.590990476286574	3.3933853286296634	2.5440435299396085	23.493	0.181	i
60797.04582275463	10.592235656661659	3.3933791872048458	2.5440790322671987	23.696	0.201	i
60797.05811815972	10.595368052880472	3.3933637389842777	2.5441682291171572	23.804	0.173	r
60797.058633657405	10.595499395813345	3.3933630912848556	2.5441719656055986	23.608	0.156	r
60797.05959505787	10.59574435300229	3.3933618833259054	2.544178933456267	23.974	0.177	r
60797.060553564814	10.595988577594003	3.3933606789974595	2.5441858794629075	23.686	0.125	r
60797.06298335648	10.596607702151655	3.3933576260335623	2.5442034835178813	23.901	0.146	r
60797.0653840625	10.597219446835359	3.3933546095858538	2.5442208713765733	23.789	0.15	r
60797.06734466435	10.597719069080872	3.393352146100619	2.5442350676363867	23.745	0.149	r
60797.068297858794	10.5979619809553	3.3933509484097484	2.5442419682025035	23.969	0.166	r
60797.07080085648	10.598599870939436	3.393347803366601	2.544260084417784	23.966	0.188	r
60797.072723958336	10.599090001353597	3.3933453869479835	2.5442739995318133	23.974	0.19	r
60797.075621157404	10.599828441673665	3.3933417465193956	2.54429495660464	23.954	0.172	r
60797.07760085648	10.600333062649007	3.3933392589367037	2.5443092725005885	24.108	0.192	r
60797.078565358795	10.600578922516556	3.3933380469880343	2.5443162458752115	23.958	0.18	r
60797.08003706019	10.600954085128354	3.393336197707485	2.544326884705193	23.885	0.174	r
60797.08151956018	10.601332017054858	3.3933343348473337	2.5443375996415263	23.85	0.157	r
60797.08200335648	10.601455354407335	3.3933337269223136	2.5443410959133206	23.914	0.19	r
60797.082482060185	10.601577395312539	3.393333125395191	2.544344555179203	23.907	0.162	r
60797.08296266204	10.601699921808583	3.3933325214824746	2.5443480279538293	23.867	0.187	r
60797.09009395833	10.603518226963509	3.3933235603256593	2.544399534203403	24.226	0.186	g
60797.10659076389	10.607726302542472	3.393302829530455	2.5445185191130615	24.31	0.201	g
60797.11142436343	10.608959809860842	3.3932967551038744	2.544553340499672	24.292	0.174	g
60797.12118805556	10.611452266848799	3.393284484628713	2.5446236244563116	24.437	0.182	g
60797.123610462964	10.612070832684395	3.3932814402055107	2.544641051389144	24.167	0.16	g
60797.126062662035	10.612697081062306	3.3932783583109085	2.5446586884301428	24.352	0.207	g
60798.04564805556	10.84843725210679	3.392120505564924	2.5514913624548026	23.623	0.214	r
60798.04712925926	10.848808742404762	3.3921186371524406	2.5515024287248993	23.629	0.201	r
60798.049075856485	10.849296966611256	3.3921161816694947	2.551516968749328	23.533	0.193	r
60798.053933854164	10.850515462119887	3.3921100535941635	2.5515532393125566	23.459	0.2	r
60798.058896863426	10.851760406310653	3.392103792931049	2.5515902704564546	23.6	0.196	r
60798.07601665509	10.856055889344024	3.392082195961536	2.5517178310872586	23.651	0.214	r
60798.07649835648	10.856176780095348	3.3920815882639666	2.551721416386486	23.344	0.18	r
60798.07845956019	10.856668993738381	3.392079114066723	2.5517360114577463	23.461	0.179	r
60798.08237775463	10.857652453255175	3.3920741709289617	2.551765160008485	23.529	0.209	r
60798.08383525463	10.85801831462375	3.3920723321485244	2.551775999309841	23.413	0.183	r
60798.08730986111	10.858890582139981	3.392067948544857	2.5518018322093643	23.512	0.208	r
60798.09070195602	10.859742238007646	3.392063668980729	2.5518270416434023	23.747	0.199	r
60798.09117975694	10.859862208281902	3.3920630661685287	2.55183059178876	23.624	0.208	r
60798.09263865741	10.86022853428699	3.392061225556495	2.5518414304833135	23.58	0.2	r
60798.11620856482	10.866149902252365	3.392031487260738	2.5520163018245223	23.896	0.206	g
60798.134933263886	10.870858722253491	3.392007860206864	2.552154932958823	23.914	0.182	g
60799.03388516204	11.097772931643018	3.3908714823131647	2.559027124088201	23.49	0.214	i
60799.08498846065	11.11038672799988	3.3908067601450966	2.5594188527834483	23.772	0.182	r
60799.08645275463	11.110748415634472	3.3908049054285874	2.559430041986813	23.533	0.16	r
60799.087946458334	11.11111738739793	3.390803013449745	2.559441454031511	23.608	0.173	r
60799.08891106481	11.111355673461368	3.3908017916382174	2.559448822714825	23.812	0.205	r
60799.08988535879	11.111596361266104	3.390800557551796	2.5594562646001946	23.842	0.195	r
