mjd	mag_val	mag_band
60797.10659112268	23.95	g
60798.10746412037	24.01	g
60797.11142412037	24.01	g
60797.126063125	23.98	g
60798.125047118054	23.80	g
60799.14821612269	24.21	g
60797.033545115744	23.30	i
60797.04093511574	23.31	i
60797.050303125	23.39	i
60799.038336122685	23.14	i
60799.02601612268	23.21	i
60798.020837118056	22.99	i
60798.035023125	22.83	i
60797.02380711806	23.13	i
60797.03851412037	23.00	i
60797.043357118055	23.41	i
60799.02849912037	23.12	i
60797.028706122685	23.24	i
60797.06055412037	23.79	r
60798.04907612268	23.13	r
60798.090702118054	23.35	r
60799.088911122686	23.14	r
60798.046648125	23.30	r
60798.083352118054	23.38	r
60799.09235612269	23.60	r
60798.058897118055	23.46	r
60797.08248211806	23.59	r
60799.133273125	23.45	r
60799.13621011574	23.68	r
60799.08988511574	23.24	r
60799.09779112269	23.38	r
60797.07513612269	23.46	r
60799.12141112269	23.60	r
60797.062983125	23.27	r
60799.11996711806	23.59	r
60797.067821122684	23.56	r
60799.10237511574	23.19	r
60799.10384912037	23.33	r
60799.087468125	23.32	r
60798.08827412037	23.19	r
60799.105318125	23.78	r
60797.077601122684	23.41	r
60798.061356122686	23.38	r
60798.07601711806	23.19	r
60798.09311612268	23.60	r
60799.10727511574	23.84	r
60798.073585115744	23.19	r
60798.04419912037	23.22	r
