mjd	mag	rmsmag	band
60787.109270960646	23.016	0.148	i
60787.11079675926	23.138	0.135	i
60787.111820162034	23.363	0.174	i
60787.11345665509	23.14	0.127	i
60787.11446835648	23.399	0.168	i
60787.115997361114	23.156	0.139	i
60787.11701686343	22.926	0.124	i
60787.118650358796	23.047	0.13	i
60787.12378716435	23.132	0.166	i
60787.12533436342	22.944	0.11	i
60787.12788755787	23.027	0.116	i
60787.12890445602	23.068	0.128	i
60787.13043505787	22.812	0.096	i
60787.13145516204	22.879	0.096	i
60787.13298486111	22.758	0.092	i
60790.11832945602	22.906	0.082	r
60790.11935736111	22.74	0.086	r
60790.120883564814	23.04	0.113	r
60790.12192716435	22.893	0.097	r
60790.12346195602	22.843	0.095	r
60790.124511354166	22.886	0.106	r
60790.132723159724	22.946	0.103	r
60790.13322856482	22.989	0.091	r
60790.13563986111	23.537	0.094	g
60790.13667755787	23.331	0.086	g
60790.138225462964	23.811	0.105	g
60790.14074466435	23.632	0.102	g
60790.14326486111	23.683	0.116	g
60790.14901275463	23.886	0.11	g
60790.17689106482	23.769	0.132	g
60790.17793346065	23.882	0.135	g
60790.180328159724	23.067	0.115	i
60790.18137706019	22.994	0.146	i
60790.18188925926	22.93	0.108	i
60790.18323115741	22.925	0.121	i
60790.184789363426	22.772	0.107	i
60790.18588255787	22.961	0.133	i
60790.18692346065	23.298	0.179	i
60790.18743475695	23.125	0.151	i
60790.19006706018	23.176	0.138	i
60793.13511145833	23.52	0.098	g
60793.137539560186	23.579	0.109	g
60793.1390024537	23.548	0.1	g
60793.139983263885	23.292	0.082	g
60793.14243385417	23.583	0.097	g
60793.14390425926	23.683	0.101	g
60793.18452115741	23.152	0.098	r
60793.18701505787	23.069	0.095	r
60793.19150346065	23.223	0.114	r
60793.19250736111	23.246	0.105	r
60793.19351395834	23.042	0.103	r
60793.19399436343	23.276	0.119	r
60793.19631126158	23.668	0.107	g
60793.197317164355	24.084	0.185	g
60793.19783606481	23.937	0.141	g
60793.19881956019	23.999	0.154	g
60793.200338055554	23.653	0.115	g
60793.20133846065	23.7	0.12	g
60793.20284346065	23.943	0.149	g
60793.20382966435	23.941	0.159	g
60793.20536186342	24.01	0.175	g
60795.0355124537	23.305	0.129	r
60795.056069363425	23.429	0.103	r
60795.067234953705	23.532	0.127	r
60795.06974466435	23.285	0.105	r
60795.07123925926	23.341	0.11	r
60795.07221305556	23.364	0.112	r
60795.07370555556	23.263	0.107	r
60795.09771436342	23.0	0.075	r
60795.10069865741	23.055	0.124	r
60795.10270055556	23.025	0.078	r
60795.14657815972	23.846	0.128	g
60795.14905206019	23.683	0.093	g
60795.15052096065	23.767	0.102	g
60795.151510358795	23.996	0.132	g
60795.15297725694	24.011	0.151	g
60795.153967060185	23.955	0.124	g
60795.15644216435	23.823	0.116	g
60795.15793016204	24.398	0.192	g
60797.021838761575	23.425	0.17	i
60797.02284755787	23.217	0.137	i
60797.024286354164	23.257	0.144	i
60797.02526956019	23.298	0.152	i
60797.02671626157	23.27	0.133	i
60797.027719861115	23.228	0.16	i
60797.02918745371	23.283	0.146	i
60797.030152453706	22.991	0.1	i
60797.03111365741	23.303	0.132	i
60797.031588564816	23.316	0.13	i
60797.032566354166	23.205	0.117	i
60797.034055358796	23.159	0.109	i
60797.035119155094	23.354	0.17	i
60797.037545162035	23.026	0.111	i
60797.03899376158	23.169	0.131	i
60797.039948564816	23.104	0.124	i
60797.04140956019	22.956	0.109	i
60797.042377164355	22.961	0.097	i
60797.04386826389	22.921	0.115	i
60797.0448578588	23.057	0.097	i
60797.04629665509	23.107	0.106	i
60797.04725445602	23.01	0.108	i
60797.05078275463	22.905	0.091	i
60797.05475565972	23.193	0.1	r
60797.05619736111	23.119	0.083	r
60797.05715296296	23.066	0.08	r
60797.058633657405	23.048	0.089	r
60797.05959505787	22.971	0.075	r
60797.061048159725	22.935	0.068	r
60797.06202135417	23.099	0.082	r
60797.0634640625	22.899	0.062	r
60797.06442966435	23.103	0.079	r
60797.0653840625	23.063	0.08	r
60797.06586576389	22.965	0.067	r
60797.06685865741	22.966	0.066	r
60797.068297858794	23.011	0.074	r
60797.06936555556	22.842	0.081	r
60797.07080085648	22.923	0.068	r
60797.07176186342	22.819	0.063	r
60797.07321025463	22.756	0.066	r
60797.07416415509	22.896	0.073	r
60797.075621157404	23.065	0.08	r
60797.07808165509	22.949	0.08	r
60797.07907425926	23.141	0.086	r
60797.08003706019	23.105	0.086	r
60797.08052525463	23.005	0.063	r
60797.08151956018	23.012	0.076	r
60797.08296266204	22.898	0.075	r
60797.08402585648	23.028	0.096	r
60797.09009395833	23.795	0.112	g
60797.091053854165	23.639	0.103	g
60797.092498460646	23.656	0.106	g
60797.093455462964	23.594	0.102	g
60797.0949015625	23.48	0.099	g
