mjd	phase angle	mag	rmsmag	band
60790.11832945602	15.81384789908535	23.501	0.161	r
60790.11935736111	15.814412171627895	23.739	0.171	r
60790.120883564814	15.815220655072446	23.423	0.156	r
60790.12192716435	15.815786725664504	23.393	0.144	r
60790.12346195602	15.816561719859521	23.593	0.168	r
60790.124511354166	15.817187629559088	23.457	0.15	r
60790.132723159724	15.821618414562375	23.598	0.167	r
60790.13322856482	15.821875998700873	23.674	0.155	r
60790.138225462964	15.824546542490037	24.023	0.134	g
60790.14074466435	15.825899081365685	24.176	0.161	g
60793.13511145833	17.42508500334456	24.325	0.203	g
60793.14390425926	17.42977681570785	24.396	0.184	g
60793.1830649537	17.450691696449297	23.681	0.18	r
60793.18452115741	17.451510540010478	23.708	0.179	r
60793.18551106482	17.451995814676515	23.852	0.179	r
60793.18701505787	17.452830404440416	23.759	0.177	r
60793.19150346065	17.455180336173555	23.77	0.186	r
60793.19250736111	17.455756221777243	23.807	0.182	r
60793.19399436343	17.456536735568214	23.913	0.204	r
60793.19881956019	17.459091985831215	24.401	0.216	g
60793.20536186342	17.46259938396403	23.978	0.177	g
60795.03062936343	18.431176738185368	23.425	0.135	r
60795.03208975695	18.431933973689162	23.685	0.15	r
60795.03306525463	18.432464664857694	23.678	0.178	r
60795.03453106481	18.433209100122077	23.939	0.201	r
60795.0355124537	18.433744128405998	23.573	0.141	r
60795.056069363425	18.4446879861689	24.048	0.165	r
60795.06876835648	18.451427467169275	24.034	0.184	r
60795.06974466435	18.45197645652546	24.077	0.198	r
60795.07123925926	18.45276638396503	23.961	0.176	r
60795.07221305556	18.4533038671912	23.926	0.178	r
60795.07370555556	18.45406576266982	23.728	0.153	r
60795.09254275463	18.464076876130747	23.86	0.169	r
60795.09771436342	18.4668358562776	23.536	0.115	r
60795.10119706018	18.468632003946645	23.464	0.208	r
60795.10270055556	18.469435134488297	23.477	0.125	r
60795.148054861114	18.49357785136274	24.413	0.186	g
60795.14905206019	18.494089864221003	24.592	0.203	g
60795.15052096065	18.494869280504386	24.609	0.208	g
60797.021838761575	19.481888094223066	23.64	0.211	i
60797.02284755787	19.48243964887543	23.459	0.175	i
60797.024286354164	19.483171572370647	23.413	0.16	i
60797.02526956019	19.483678158789125	23.457	0.173	i
60797.02671626157	19.484437870855466	23.822	0.204	i
60797.027719861115	19.48499995407201	23.55	0.206	i
60797.02870606481	19.485507906055066	23.539	0.196	i
60797.02918745371	19.485739429898086	23.581	0.182	i
60797.030152453706	19.486279630468484	23.622	0.177	i
60797.031588564816	19.4870583284625	23.928	0.223	i
60797.032566354166	19.487546753090584	23.594	0.16	i
60797.034055358796	19.48835116797632	23.608	0.154	i
60797.0365740625	19.48967889220751	23.568	0.175	i
60797.037545162035	19.490168836362194	23.553	0.172	i
60797.03899376158	19.490950289561518	23.548	0.174	i
60797.039948564816	19.491456355902613	23.742	0.201	i
60797.04140956019	19.492218487964504	23.251	0.131	i
60797.042377164355	19.49272864374514	23.535	0.153	i
60797.04335706018	19.493236093307477	23.603	0.182	i
60797.0448578588	19.494037934663446	23.593	0.163	i
60797.04629665509	19.494810121702837	23.688	0.183	i
60797.04725445602	19.49530943805479	23.222	0.124	i
60797.05078275463	19.497174323708958	23.505	0.151	i
60797.05619736111	19.50001327751185	23.962	0.174	r
60797.05715296296	19.50051215507462	23.845	0.156	r
60797.058633657405	19.501310538715835	23.56	0.134	r
60797.05959505787	19.501822968450988	23.843	0.149	r
60797.061048159725	19.502590531917793	23.901	0.145	r
60797.0634640625	19.503867598347522	24.125	0.173	r
60797.06442966435	19.50438818762777	24.085	0.194	r
60797.06586576389	19.505139192644062	23.988	0.166	r
60797.06685865741	19.505662024490512	24.105	0.17	r
60797.068297858794	19.506422197702957	24.26	0.207	r
60797.06936555556	19.506958553069865	23.713	0.171	r
60797.07080085648	19.50774436418786	24.069	0.191	r
60797.07176186342	19.508258531896967	23.986	0.173	r
60797.07321025463	19.50897319545567	24.085	0.211	r
60797.076608958334	19.510809215028008	24.144	0.178	r
60797.07907425926	19.512083580957	23.998	0.188	r
60797.102168460646	19.524315318265632	24.248	0.157	g
60797.10465436343	19.52561738330806	24.467	0.208	g
60797.10707456018	19.52687700807825	24.229	0.167	g
60797.10948665509	19.5281510137984	24.279	0.211	g
60797.111904756945	19.52944067850018	24.383	0.193	g
60797.11432986111	19.530706414827105	24.237	0.175	g
60797.115291458336	19.531216044747485	24.284	0.17	g
60797.11924275463	19.533316734312308	24.225	0.201	g
60797.12022145833	19.533828155875224	23.811	0.121	g
60797.12167315972	19.534610364782313	24.41	0.172	g
60797.12264466435	19.535121129441332	24.396	0.181	g
60797.12409755787	19.53583880712328	24.154	0.182	g
60797.12509055556	19.53638461045788	24.313	0.224	g
60797.12655335648	19.53717685125599	24.376	0.196	g
60797.12755085648	19.537687332138812	23.903	0.134	g
60797.129973854164	19.538975538692437	23.907	0.15	g
60797.13144895833	19.539753090636687	24.265	0.177	g
60797.132505960646	19.540296837392937	23.877	0.168	g
60798.01886736111	20.00527177669387	23.023	0.184	i
60798.04046236111	20.01664739037348	23.483	0.169	r
60798.042705162035	20.017833207442354	23.422	0.182	r
60798.04319975695	20.018101532407577	23.258	0.159	r
60798.04468675926	20.01887855264442	23.595	0.214	r
60798.04810665509	20.020650995467275	23.585	0.2	r
60798.04955085648	20.021447077230615	23.406	0.167	r
60798.051993657406	20.022672863385818	23.585	0.204	r
60798.05548796296	20.02454002898996	23.596	0.209	r
60798.059389155096	20.026636074265376	23.545	0.204	r
60798.06035925926	20.027081964495775	23.471	0.18	r
60798.06668425926	20.030420525913975	23.368	0.181	r
60798.069139756946	20.031753807542167	23.508	0.199	r
60798.07261826389	20.033544526028553	23.519	0.215	r
60798.074073055555	20.034293177209822	23.557	0.196	r
60798.07993525463	20.037393690203068	23.372	0.172	r
60798.11134025463	20.05391401962726	24.037	0.202	g
60798.115237453705	20.056009010772918	23.973	0.2	g
60798.12114415509	20.059120185992057	24.046	0.201	g
60798.12504675926	20.06116987552306	23.997	0.197	g
60798.12996216435	20.06372321181189	23.898	0.179	g
60799.083993657405	20.56240265683568	23.65	0.17	r
60799.087946458334	20.564469670536752	23.565	0.182	r
60799.091341354164	20.566247779081607	23.586	0.146	r
60799.09383925926	20.567569341281335	23.806	0.207	r
60799.09779126157	20.569620158611727	23.768	0.172	r
