mjd	mag	rmsmag	band
60797.022357361115	23.57	0.206	i
60797.0271990625	23.586	0.192	i
60797.033068854165	23.572	0.182	i
60797.034531655096	23.52	0.155	i
60797.03705585648	23.63	0.199	i
60797.038033460645	23.599	0.188	i
60797.040427858796	23.482	0.199	i
60797.04189255787	23.712	0.192	i
60797.04437076389	23.296	0.171	i
60797.0552353588	23.761	0.187	r
60797.05667326389	23.655	0.15	r
60797.05763766204	23.982	0.211	r
60797.05911865741	23.58	0.13	r
60797.06007535879	23.711	0.15	r
60797.06153175926	23.79	0.147	r
60797.06734466435	23.789	0.148	r
60797.06984195602	23.494	0.127	r
60797.07128576389	23.835	0.164	r
60797.0722424537	23.634	0.141	r
60797.07368966435	23.897	0.19	r
60797.07465025463	24.07	0.212	r
60797.07610505787	23.959	0.172	r
60797.08344966435	23.836	0.168	r
60797.09153856481	24.204	0.178	g
60797.09297585648	24.366	0.218	g
60797.09538766204	24.15	0.175	g
60797.106114560185	23.952	0.181	g
60797.10852475694	24.016	0.154	g
60797.120706354166	24.264	0.185	g
60797.12215945602	24.17	0.166	g
60797.12313206019	23.998	0.149	g
60797.13193596065	24.026	0.156	g
60798.04094195602	23.462	0.191	r
60798.04613766204	23.671	0.217	r
60798.05596936343	23.364	0.196	r
60798.08779326389	23.394	0.177	r
60798.10842106481	23.916	0.188	g
60798.1108465625	23.75	0.16	g
60798.11918826389	23.902	0.197	g
60798.13396335648	24.097	0.22	g
60799.104338564815	23.794	0.179	r
60799.10580626158	23.589	0.207	r
60799.11159645834	23.621	0.165	r
60799.11303956019	23.913	0.194	r
60799.11560005787	23.808	0.185	r
60799.119009953705	23.505	0.133	r
60799.120443761574	23.947	0.206	r
60799.12290326389	23.761	0.183	r
60799.12884745371	23.538	0.146	r
60799.13034956018	23.545	0.136	r
60799.131317962965	23.995	0.203	r
60799.132796157406	23.998	0.202	r
60799.13374925926	23.554	0.134	r
60799.13523115741	23.594	0.154	r
60799.13767675926	23.398	0.129	r
60799.1428590625	24.055	0.208	g
60799.14384546296	24.143	0.202	g
60799.147246458335	24.25	0.197	g
60799.148693159725	24.27	0.208	g
60799.1571115625	23.964	0.193	g
