mjd	phase angle	mag	rmsmag	band
60787.1129465625	14.421780904697583	23.318	0.166	i
60787.118035162035	14.42458362725013	23.226	0.167	i
60787.124827962965	14.428295069275812	23.23	0.169	i
60787.12636576389	14.429157712751277	23.295	0.183	i
60787.12738085648	14.429675761598778	23.359	0.162	i
60787.12788755787	14.429984491478914	23.35	0.182	i
60790.11781895833	16.050294031293888	23.517	0.183	r
60790.1203753588	16.051675750207767	23.926	0.196	r
60790.132723159724	16.058344677089995	23.759	0.173	r
60790.13667755787	16.060523510813688	24.305	0.181	g
60790.138225462964	16.061363639221444	24.345	0.195	g
60790.14024085648	16.062451184287607	24.303	0.185	g
60790.18692346065	16.087848987483817	23.383	0.205	i
60790.18956115741	16.089217542969028	23.424	0.194	i
60790.19061106481	16.089782579571196	23.343	0.203	i
60793.1390024537	17.673791801593698	24.173	0.166	g
60793.14144395833	17.675124597600448	24.361	0.195	g
60793.14243385417	17.675614181422734	24.428	0.22	g
60793.143418761574	17.676187654284945	24.187	0.158	g
60793.14390425926	17.676451906739917	24.148	0.154	g
60793.184043263886	17.698011109629835	23.458	0.162	r
60793.18452115741	17.698249486490187	23.533	0.141	r
60793.18551106482	17.698772645931818	23.697	0.155	r
60793.1865253588	17.699359595803532	23.747	0.177	r
60793.18701505787	17.699576461345806	23.907	0.2	r
60793.19150346065	17.702021931493874	23.438	0.141	r
60793.19250736111	17.702537027404954	23.675	0.178	r
60793.19351395834	17.703086664923106	23.775	0.17	r
60793.19399436343	17.703322589922436	23.564	0.165	r
60793.19881956019	17.705921278804112	24.132	0.176	g
60793.19981975694	17.7064935659483	24.44	0.214	g
60793.200338055554	17.70673773888033	24.351	0.22	g
60793.2023190625	17.70779067826118	24.094	0.162	g
60793.20284346065	17.708093614163374	24.0	0.166	g
60793.20484445602	17.709204922584025	24.225	0.192	g
60795.0355124537	18.682910770864368	23.622	0.149	r
60795.03649755787	18.68342593607873	23.542	0.146	r
60795.056069363425	18.69383723291583	23.902	0.148	r
60795.067234953705	18.699803787123393	23.971	0.187	r
60795.068243761576	18.70034308368179	23.629	0.149	r
60795.06876835648	18.70060785024197	24.072	0.194	r
60795.06974466435	18.70110932801947	23.871	0.175	r
60795.070718055555	18.701658866113622	23.722	0.144	r
60795.07221305556	18.702454378705458	23.854	0.169	r
60795.07321585648	18.70297916208079	23.528	0.139	r
60795.07370555556	18.703270862963283	23.705	0.151	r
60795.09254275463	18.71329351446564	23.571	0.12	r
60795.09771436342	18.716052403084078	23.807	0.147	r
60795.10119706018	18.717944218647613	23.262	0.183	r
60795.102194259256	18.718412543468848	23.369	0.136	r
60795.10270055556	18.718706967905913	23.912	0.199	r
60795.152488657404	18.74524616247534	24.238	0.168	g
60795.15297725694	18.745439861425847	24.282	0.181	g
60795.155432060186	18.746779180600264	24.532	0.204	g
60795.15644216435	18.747353646670334	24.197	0.162	g
60795.15793016204	18.74809803735625	24.483	0.203	g
60797.02526956019	19.7324433987798	23.5	0.177	i
60797.02918745371	19.734492471404543	23.542	0.181	i
60797.03111365741	19.735501564197744	23.424	0.139	i
60797.031588564816	19.735780174805782	23.73	0.191	i
60797.03354505787	19.736810322574264	23.67	0.157	i
60797.035119155094	19.737631515878483	23.297	0.145	i
60797.0365740625	19.73838906417882	23.478	0.166	i
60797.037545162035	19.738885881493072	23.622	0.183	i
60797.03851436343	19.73944276556307	23.665	0.216	i
60797.03899376158	19.739680917249974	23.668	0.199	i
60797.039948564816	19.740179942006442	23.538	0.172	i
60797.042377164355	19.741468833071128	23.636	0.174	i
60797.04335706018	19.741977100532957	23.441	0.149	i
60797.0448578588	19.742747835418164	23.552	0.16	i
60797.0453449537	19.743013378920175	23.516	0.157	i
60797.04582275463	19.74326897741021	23.454	0.147	i
60797.04629665509	19.743524795002667	23.556	0.164	i
60797.04677826389	19.74378364825563	23.382	0.169	i
60797.04725445602	19.744064862980114	23.627	0.185	i
60797.05475565972	19.747963130572764	23.84	0.163	r
60797.055713657406	19.748460973420816	23.861	0.192	r
60797.05619736111	19.748742816363038	23.8	0.153	r
60797.05715296296	19.74926587011307	23.799	0.152	r
60797.05811815972	19.749754974398297	23.703	0.161	r
60797.058633657405	19.750054105123755	23.893	0.183	r
60797.05959505787	19.750552343557658	24.112	0.193	r
60797.060553564814	19.75106681175291	24.266	0.209	r
60797.061048159725	19.751333438766554	24.161	0.186	r
60797.06202135417	19.751852938895418	24.041	0.185	r
60797.0634640625	19.75259281093574	24.095	0.176	r
60797.06442966435	19.753104227801572	23.954	0.175	r
60797.06491126157	19.75336272981281	23.967	0.202	r
60797.0653840625	19.753626460133336	23.961	0.166	r
60797.06586576389	19.75387436024136	23.98	0.164	r
60797.06685865741	19.754396478858745	24.25	0.197	r
60797.06782055555	19.754878724330727	23.792	0.131	r
60797.07080085648	19.75646242740798	23.852	0.151	r
60797.07176186342	19.75694230084184	24.063	0.183	r
60797.072723958336	19.757501034453004	23.841	0.165	r
60797.075621157404	19.759020904510283	23.865	0.157	r
60797.07760085648	19.76002939221961	24.068	0.195	r
60797.07808165509	19.760323687089564	23.949	0.19	r
60797.07907425926	19.760808003117823	23.799	0.165	r
60797.07955865741	19.761076504913795	23.771	0.16	r
60797.08151956018	19.762103742353386	23.877	0.154	r
60797.082482060185	19.762620582442715	24.147	0.199	r
60797.09830315972	19.770944224611963	24.249	0.21	g
60797.102168460646	19.773021231866274	24.483	0.186	g
60797.11289425926	19.77865003873769	24.269	0.167	g
60797.115291458336	19.779951976143515	24.44	0.206	g
60797.11625346065	19.78048114390419	24.301	0.177	g
60797.11779525463	19.781295788889977	24.448	0.202	g
60797.12167315972	19.783330867535593	24.692	0.222	g
60797.12264466435	19.783822515336404	24.298	0.162	g
60797.12655335648	19.785895058171906	24.271	0.18	g
60797.12804005787	19.786660297803945	24.377	0.198	g
60797.128516655095	19.786919288952912	24.425	0.196	g
60797.13144895833	19.788454893864824	24.332	0.192	g
60798.080912060184	20.28516470767738	23.498	0.169	r
60798.08335165509	20.286425030729646	23.318	0.177	r
60798.08383525463	20.286663628785924	23.549	0.193	r
60798.09311585648	20.291572479382758	23.694	0.201	r
60798.09604236111	20.293147490298104	23.555	0.208	r
60798.097968263886	20.294119413887564	23.587	0.2	r
60798.09844565972	20.294420746979842	23.562	0.2	r
60798.09950956018	20.294954294787974	23.487	0.174	r
60798.10649486111	20.29865395967196	23.908	0.18	g
60798.12504675926	20.30830921757334	23.983	0.198	g
60798.13191865741	20.3119211706993	23.819	0.173	g
60798.13240675926	20.312205643393828	24.033	0.196	g
60799.0363765625	20.782506840625242	23.443	0.213	i
60799.038335763886	20.78355740563582	23.275	0.188	i
60799.083993657405	20.807401031237553	23.771	0.166	r
60799.085495162035	20.80817573267996	23.808	0.174	r
60799.08645275463	20.808690329761998	23.922	0.217	r
60799.08891106481	20.8099963443318	23.817	0.202	r
60799.091341354164	20.8112152059804	23.955	0.208	r
60799.092355960645	20.811767884303602	23.737	0.178	r
60799.092836655094	20.81204928919658	23.836	0.206	r
60799.09482096065	20.813033358054692	23.714	0.181	r
60799.09533966435	20.8133397713324	23.776	0.203	r
60799.0973028588	20.814292022503537	23.784	0.209	r
60799.098870856484	20.815167305994276	23.838	0.194	r
60799.09988065972	20.81569468478729	23.524	0.189	r
60799.100400358795	20.815955252708488	23.78	0.197	r
60799.101367256946	20.81647552158949	23.715	0.168	r
60799.102889664355	20.81726105180565	23.692	0.197	r
60799.106282256944	20.81903927973219	23.717	0.182	r
60799.110164363425	20.821069717765262	23.846	0.196	r
60799.11254835648	20.822303147215635	23.733	0.173	r
60799.11361826389	20.822855875550164	23.963	0.211	r
60799.11512106482	20.823632730780943	23.879	0.197	r
60799.116083657405	20.824168050624653	23.615	0.156	r
60799.118527453706	20.82544382818541	23.835	0.184	r
60799.11948596065	20.825922632703758	23.713	0.176	r
60799.120927662036	20.826671449886746	24.003	0.198	r
60799.12339356481	20.827959805127684	23.982	0.202	r
60799.12434456019	20.82844544412538	23.99	0.208	r
60799.12485115741	20.82873314826904	23.766	0.173	r
60799.126800555554	20.82973416556125	23.64	0.184	r
60799.12835706019	20.83057514418728	23.914	0.208	r
60799.130825555556	20.83182727352379	23.872	0.188	r
60799.13183106481	20.832343089665304	23.847	0.203	r
60799.13327326389	20.833124815644897	23.744	0.156	r
60799.13474085648	20.833909113514792	23.909	0.188	r
60799.13571986111	20.834378228228978	24.099	0.216	r
60799.13719736111	20.835180217953365	23.522	0.125	r
60799.138160462964	20.835677357117316	23.625	0.14	r
60799.14335815972	20.83840108585985	23.9	0.18	g
60799.148215960646	20.840920320501297	24.412	0.21	g
60799.151614664355	20.84272502283421	23.975	0.179	g
60799.15313716435	20.843484844859372	24.231	0.215	g
60799.15662165509	20.845312131880753	24.17	0.188	g
60799.15758856481	20.845763104051972	24.321	0.218	g
