mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60787.109270960646	15.205323385888116	1.839479893326572	0.8933243791796507	21.545	0.037	i
60787.11028865741	15.205856124052595	1.8394802729401356	0.8933290069568529	21.689	0.044	i
60787.11079675926	15.206122114710393	1.8394804624694723	0.8933313171119212	21.576	0.036	i
60787.111820162034	15.20665788911544	1.8394808442149702	0.8933359694637044	21.616	0.035	i
60787.1129465625	15.207247624177247	1.839481264383229	0.8933410889859538	21.558	0.036	i
60787.11345665509	15.207514700378328	1.8394814546582332	0.893343407009355	21.591	0.035	i
60787.11446835648	15.208044435606235	1.8394818320451727	0.8933480038342483	21.619	0.036	i
60787.115997361114	15.208845099024101	1.8394824024020582	0.8933549494337242	21.64	0.037	i
60787.118650358796	15.21023452751263	1.8394833920492222	0.8933669960988274	21.622	0.041	i
60787.12378716435	15.212925467011873	1.839485308276616	0.893390304306215	21.584	0.038	i
60787.12533436342	15.213736158172344	1.8394858854536806	0.8933973204124499	21.711	0.037	i
60787.12636576389	15.214276632946019	1.8394862702170007	0.8934019964288641	21.717	0.04	i
60787.12788755787	15.215074155004821	1.8394868379255644	0.8934088941366266	21.613	0.037	i
60787.12890445602	15.215607125822043	1.8394872172846475	0.8934135023013565	21.617	0.038	i
60787.12992315972	15.216141081997202	1.8394875973197848	0.8934181178154719	21.686	0.041	i
60787.13043505787	15.21640940949847	1.8394877882881413	0.8934204367952935	21.677	0.038	i
60787.13145516204	15.216944158826685	1.8394881688492277	0.8934250574058812	21.552	0.035	i
60787.132473564816	15.217478055952206	1.8394885487779187	0.893429669486062	21.688	0.039	i
60787.16882076389	15.236561599259318	1.839502110141292	0.8935937795855131	22.898	0.21	u
60790.11832945602	16.796242465146108	1.8406125942104623	0.9082597226189028	21.191	0.02	r
60790.11935736111	16.796772535462264	1.8406129846309256	0.9082650439096507	21.23	0.018	r
60790.120883564814	16.7975596368049	1.8406135643204604	0.9082729432330402	21.197	0.022	r
60790.12192716435	16.798097894390867	1.8406139607080625	0.9082783436154586	21.175	0.02	r
60790.124511354166	16.79943091046548	1.8406149422643	0.9082917124564404	21.198	0.021	r
60790.13322856482	16.803929383456495	1.8406182534441566	0.9083367710887684	21.275	0.019	r
60790.13563986111	16.805174237902264	1.840619169390601	0.9083492247696988	21.684	0.024	g
60790.13718815972	16.805973683539502	1.8406197575285943	0.9083572190521972	21.684	0.021	g
60790.138225462964	16.80650933660139	1.8406201515623204	0.9083625739520836	21.731	0.019	g
60790.14074466435	16.807810410248738	1.8406211085255508	0.9083755756865802	21.792	0.021	g
60790.14901275463	16.812082438990846	1.8406242494055052	0.9084182166621879	21.715	0.02	g
60790.17689106482	16.826509679638722	1.840634840935619	0.9085616783673242	21.81	0.027	g
60790.17793346065	16.827049856579027	1.8406352369963979	0.9085670342157273	21.786	0.027	g
60790.180328159724	16.828291015400083	1.8406361468771852	0.9085793362183054	21.111	0.028	i
60790.18188925926	16.829100282116237	1.840636740033606	0.9085873543997945	21.095	0.022	i
60790.18323115741	16.829796015889748	1.8406372499063692	0.9085942458039817	21.11	0.027	i
60790.184789363426	16.8306040157612	1.8406378419734228	0.9086022470442693	21.157	0.027	i
60790.18588255787	16.831170961517046	1.8406382573545625	0.9086078598470076	21.117	0.031	i
60790.18743475695	16.831976060996233	1.8406388471484973	0.9086158284290363	21.192	0.029	i
60790.1885165625	16.832537249765338	1.840639258208478	0.9086213815204742	21.147	0.026	i
60790.19006706018	16.83334168157264	1.8406398473649943	0.9086293396363625	21.111	0.024	i
60790.19446815972	16.835625763615298	1.8406415197191692	0.9086519235198983	23.0	0.163	u
60790.197796458335	16.837353774967816	1.840642784453291	0.9086689974941803	23.106	0.184	u
60793.14243385417	18.356167449415796	1.841771336780678	0.9251865697113665	21.606	0.022	g
60793.14390425926	18.356902728902064	1.841771905076468	0.9251950409539759	21.587	0.02	g
60793.16503846065	18.367481585246786	1.841780073737829	0.9253166536402342	22.788	0.117	u
60793.16678775463	18.36835813739057	1.8417807499076564	0.92532670845746	23.164	0.188	u
60793.19250736111	18.381263652131558	1.841790692299687	0.9254743827135039	21.118	0.018	r
60793.19399436343	18.382010846749946	1.8417912671720358	0.9254829127756651	21.113	0.019	r
60793.19631126158	18.383175287054335	1.8417921628902547	0.9254962020545484	21.668	0.023	g
