mjd	mag_val	mag_band
60798.13046211805	23.67	g
60797.09153912037	24.29	g
60799.15457912037	24.48	g
60797.13299412037	24.29	g
60797.11973511574	24.20	g
60797.10852511574	24.27	g
60797.107563125	24.36	g
60797.09636011574	24.22	g
60797.047738125	23.67	i
60799.13621011574	23.87	r
60797.083450115744	23.80	r
60799.10433912037	23.93	r
60799.110643125	23.80	r
60797.07369011574	23.77	r
60797.057638125	23.87	r
60797.072242118054	24.11	r
60797.082003125	24.05	r
60799.12884711805	23.54	r
60798.09166511574	23.47	r
60799.133749120374	23.88	r
60799.13767711806	24.04	r
60797.071286122686	24.03	r
60799.09828412037	23.91	r
60799.13035011574	23.99	r
60799.12387412037	23.85	r
60798.06329711805	23.47	r
60799.11159612268	23.84	r
60799.11901011574	23.72	r
60798.09998511574	23.53	r
60797.07709112269	24.08	r
60799.088431122684	23.87	r
60798.046138125	23.66	r
60797.07465011574	23.94	r
60799.11410612269	23.96	r
60797.06984211806	23.94	r
60797.056673125	24.03	r
60799.131318125	23.69	r
60797.05911912037	24.02	r
60798.087793125	23.66	r
60799.09183612269	23.89	r
60799.12044412037	23.64	r
60797.06007511574	23.86	r
60797.06250412037	23.59	r
60799.132796122685	23.80	r
60797.07610511574	24.02	r
