mjd	mag_val	mag_band
60797.09587011574	22.94	g
60798.12850011574	22.75	g
60799.15161511574	22.73	g
60799.15064412037	22.75	g
60798.11134011574	22.62	g
60799.15313711805	22.67	g
60797.098303125	23.47	g
60799.14917511574	22.83	g
60797.11289412037	22.62	g
60798.12996211806	22.69	g
60798.11378112269	22.64	g
60798.02917511574	21.98	i
60799.03388511574	22.29	i
60797.04237711806	23.40	i
60798.01641011574	22.19	i
60798.03062211806	22.11	i
60798.01496612268	22.24	i
60799.03240912037	22.15	i
60797.027720115744	22.05	i
60799.13816011574	22.28	r
60799.09134112269	22.37	r
60799.11016412037	22.30	r
60798.04955112268	22.38	r
60798.09459412037	22.21	r
60799.122415115744	22.28	r
60799.09383912037	22.25	r
60799.120928125	22.43	r
60798.09215211806	22.24	r
60799.12339412037	22.34	r
60799.10628211805	22.23	r
60797.062021122685	22.19	r
60799.12485112269	22.20	r
60798.06281511574	22.27	r
60799.10871612268	22.28	r
60798.07746612268	22.32	r
60799.135720115744	22.29	r
60799.09534011574	22.23	r
60798.08139912037	22.32	r
60798.09604211806	22.26	r
