mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60793.1355990625	12.468818258064038	2.7018593566187143	1.8176273312400604	24.336	0.204	g
60793.143418761574	12.471517257676638	2.701845690740666	1.817669809103375	24.196	0.164	g
60793.19300085648	12.488661163255516	2.7017590300187218	1.8179383394576776	23.913	0.194	r
60793.19351395834	12.488838878028961	2.7017581331174507	1.817941112599112	23.782	0.176	r
60793.201834155094	12.491721529242739	2.7017435891704924	1.8179860687462128	24.252	0.205	g
60793.20484445602	12.492764922458104	2.70173832695734	1.8180023292183851	24.323	0.212	g
60793.20585346065	12.493114702979197	2.7017365631335752	1.8180077789385705	23.96	0.175	g
60795.03011165509	13.121350314468826	2.6985359686693386	1.8285662490497911	23.722	0.199	r
60795.03160115741	13.121849171568714	2.6985333458958842	1.8285751080314943	23.715	0.161	r
60795.03208975695	13.122012811792361	2.6985324855479575	1.8285780135412857	23.746	0.165	r
60795.03257805556	13.12217635188374	2.698531625727237	1.8285809170238094	23.841	0.18	r
60795.033550960645	13.122502196623147	2.698529912583938	1.8285867013105346	23.866	0.197	r
60795.03502016204	13.122994264816228	2.698527325522073	1.8285954344575797	23.819	0.202	r
60795.067234953705	13.133786133765629	2.6984705959138795	1.82878638522443	23.904	0.186	r
60795.068243761576	13.134124192815403	2.6984688193067132	1.828792348583872	23.963	0.2	r
60795.070718055555	13.13495338540441	2.6984644618073292	1.8288069707996388	24.148	0.213	r
60795.07123925926	13.13512805970818	2.698463543906152	1.8288100501971347	23.68	0.145	r
60795.07321585648	13.135790512758682	2.6984600628661783	1.828821726109647	23.995	0.215	r
60795.09254275463	13.142270076390405	2.6984260243028877	1.8289357036704954	23.936	0.163	r
60795.147565555555	13.160747280495531	2.6983291037905803	1.8292585287882757	24.385	0.187	g
60795.14954466435	13.161412927275757	2.698325617275073	1.8292701012946153	24.4	0.18	g
60795.15200436342	13.162240329247537	2.698321284083972	1.8292844807736066	24.392	0.206	g
60795.15297725694	13.162567629949548	2.6983195701499336	1.829290167378192	24.332	0.212	g
60797.02284755787	13.788840023975585	2.695013259205763	1.8408724047182548	23.271	0.16	i
60797.02332706018	13.788995862385812	2.695012408228405	1.8408754522811777	23.339	0.154	i
60797.02380675926	13.789151765050901	2.6950115568998747	1.840878500860605	23.434	0.16	i
60797.02526956019	13.789627178418915	2.6950089608373875	1.8408877957867846	23.646	0.206	i
60797.039948564816	13.79439815542534	2.694982908885567	1.8409809486630124	23.697	0.207	i
60797.04582275463	13.796307610362376	2.69497248309293	1.8410181654765014	23.841	0.213	i
60797.05030326389	13.797764160612864	2.6949645307090138	1.8410465293977345	23.664	0.185	i
60797.05811815972	13.800304981628408	2.6949506598429753	1.8410959546123518	23.972	0.202	r
60797.060553564814	13.801096885205563	2.694946337091599	1.841111345210785	24.268	0.204	r
60797.061048159725	13.801257715055389	2.694945459198885	1.8411144701211961	23.694	0.125	r
60797.0639478588	13.802200665010782	2.69494031227932	1.8411327860627682	24.031	0.196	r
60797.06635175926	13.802982442303037	2.6949360453497864	1.8411479642434656	24.169	0.205	r
60797.06782055555	13.803460138395463	2.694933438212857	1.8411572355127637	24.362	0.213	r
60797.068297858794	13.803615375924771	2.6949325909886523	1.8411602478889477	24.057	0.179	r
60797.06936555556	13.803962640123254	2.6949306957971237	1.841166985608047	23.822	0.204	r
60797.0703203588	13.804273195653119	2.694929000987244	1.841173010012359	23.966	0.198	r
60797.07080085648	13.804429483788507	2.6949281480844918	1.8411760414277103	23.916	0.164	r
60797.072723958336	13.805055020779006	2.694924734486053	1.841188171952866	24.069	0.205	r
60797.07321025463	13.805213206928238	2.6949238712819197	1.841191238869509	23.953	0.194	r
60797.07416415509	13.805523505764961	2.6949221780500956	1.8411972541793842	24.111	0.214	r
