mjd	mag	rmsmag	band
60793.137054363426	23.768	0.134	g
60793.13803065972	23.446	0.096	g
60793.139491354166	23.887	0.148	g
60793.14193525463	23.903	0.145	g
60793.18501516204	23.351	0.126	r
60793.187517858794	23.343	0.155	r
60793.19100565972	23.143	0.121	r
60793.19200236111	23.228	0.135	r
60793.20585346065	23.94	0.201	g
60795.03011165509	23.219	0.132	r
60795.03257805556	23.324	0.112	r
60795.06772796296	23.199	0.1	r
60795.06925565972	23.276	0.116	r
60795.07023085648	23.278	0.123	r
60795.07172695602	23.545	0.139	r
60795.07269936342	23.567	0.145	r
60797.022357361115	23.358	0.175	i
60797.024786458336	23.104	0.161	i
60797.0271990625	23.11	0.133	i
60797.03560236111	23.072	0.151	i
60797.03705585648	23.447	0.177	i
60797.038033460645	23.552	0.193	i
60797.039471261574	23.181	0.148	i
60797.04189255787	23.322	0.146	i
60797.0552353588	23.211	0.113	r
60797.05667326389	23.426	0.122	r
60797.05911865741	23.369	0.117	r
60797.06007535879	23.41	0.123	r
60797.06153175926	23.576	0.128	r
60797.068792858794	23.34	0.145	r
60797.06984195602	23.403	0.125	r
60797.07128576389	23.456	0.125	r
60797.07368966435	23.419	0.135	r
60797.07610505787	23.121	0.086	r
60797.08344966435	23.181	0.098	r
60797.08450626158	23.377	0.118	r
60797.08913925926	23.738	0.12	g
60797.09057775463	23.876	0.141	g
60797.09297585648	23.616	0.117	g
60797.09394315972	23.748	0.123	g
60797.09538766204	23.742	0.128	g
60797.10265266203	23.811	0.144	g
60797.10852475694	23.993	0.163	g
60797.10996495371	23.599	0.144	g
60797.118279560185	23.962	0.162	g
60797.11973456018	23.752	0.137	g
60797.120706354166	23.798	0.13	g
60797.12215945602	24.086	0.165	g
60797.12313206019	24.069	0.16	g
60797.1245890625	23.963	0.148	g
60797.13193596065	23.605	0.111	g
60797.1329940625	23.842	0.149	g
60798.02238516204	22.963	0.203	i
60798.04094195602	23.158	0.157	r
60798.043686655095	23.394	0.215	r
60798.04517415509	23.225	0.193	r
60798.05744766204	23.296	0.19	r
60798.06084315972	23.004	0.147	r
60798.0623190625	23.175	0.164	r
60798.074559155095	23.199	0.177	r
60798.076976655095	22.794	0.126	r
60798.08432576389	23.121	0.155	r
60798.08682986111	23.112	0.147	r
60798.08779326389	23.367	0.185	r
60798.089243055554	23.417	0.209	r
60798.090219756945	23.256	0.159	r
60798.09893606482	23.431	0.212	r
60798.10697975694	23.751	0.175	g
60798.10842106481	23.829	0.192	g
60798.10938775463	23.874	0.213	g
60798.1108465625	23.962	0.21	g
60798.12065145833	23.888	0.183	g
60798.12163046296	23.589	0.162	g
60798.12554076389	23.84	0.201	g
60798.13396335648	23.626	0.152	g
60798.135430358794	23.563	0.14	g
60799.02552645833	23.086	0.166	i
60799.02704335648	23.15	0.162	i
60799.03193025463	22.972	0.154	i
60799.08446626157	23.429	0.139	r
60799.085976863425	23.473	0.138	r
60799.08695305556	23.425	0.162	r
60799.08843145833	23.488	0.143	r
60799.0894015625	23.507	0.16	r
60799.09085936342	23.401	0.187	r
60799.09828436343	23.245	0.128	r
60799.099358761574	23.652	0.184	r
60799.10088755787	23.499	0.146	r
60799.101856458336	23.484	0.195	r
60799.1033765625	23.315	0.126	r
60799.104338564815	23.376	0.14	r
60799.11560005787	23.372	0.131	r
60799.116566157405	23.507	0.158	r
60799.11804055556	23.401	0.134	r
60799.119009953705	23.286	0.123	r
60799.120443761574	23.6	0.155	r
60799.12884745371	23.523	0.159	r
60799.13034956018	23.307	0.113	r
60799.13374925926	23.602	0.152	r
60799.13523115741	23.156	0.108	r
60799.1428590625	23.719	0.15	g
60799.14384546296	23.734	0.144	g
60799.14627415509	23.921	0.172	g
60799.148693159725	24.07	0.187	g
