mjd	phase angle	mag	rmsmag	band
60790.11731216435	16.107952024151288	22.5	0.068	r
60790.118846157406	16.108730353093666	22.512	0.06	r
60790.1198728588	16.10926741398947	22.641	0.075	r
60790.12139645834	16.110067966977464	22.496	0.079	r
60790.122444155095	16.110590270948887	22.458	0.073	r
60790.12398135417	16.111378400848384	22.434	0.061	r
60790.132206064816	16.115606496764812	22.492	0.067	r
60790.13375065972	16.116411542162844	22.566	0.069	r
60790.13875005787	16.118985159294933	23.092	0.07	g
60790.14126815972	16.12026134147511	23.131	0.065	g
60790.14800275463	16.123722038886573	23.118	0.079	g
60790.1826790625	16.14155861380082	22.274	0.083	i
60793.1355990625	17.651608022442755	23.168	0.071	g
60793.137054363426	17.652353896672555	22.995	0.062	g
60793.13803065972	17.652850511635645	23.001	0.06	g
60793.139491354166	17.65359884799321	23.051	0.067	g
60793.14047425926	17.654104917318918	23.028	0.069	g
60793.14193525463	17.65487369579799	22.945	0.056	g
60793.142930462964	17.655379392543157	23.087	0.064	g
60793.144401157406	17.6561325915967	23.207	0.076	g
60793.18356665509	17.67624790600427	22.418	0.058	r
60793.18501516204	17.676993662840676	22.532	0.056	r
60793.1860074537	17.67750964912753	22.422	0.053	r
60793.187517858794	17.67828345927744	22.436	0.056	r
60793.19100565972	17.680073863682818	22.364	0.054	r
60793.19200236111	17.680584793755894	22.364	0.055	r
60793.19300085648	17.681098147954184	22.538	0.065	r
60793.19449115741	17.68184947877598	22.441	0.06	r
60793.196798460645	17.68304798636415	23.027	0.068	g
60793.19832956018	17.683834143452174	23.153	0.08	g
60793.199321458334	17.684336236638217	23.034	0.07	g
60793.201834155094	17.68563310158815	23.064	0.075	g
60793.20333736111	17.686408139194363	22.969	0.069	g
60793.2043240625	17.686903739855126	23.039	0.074	g
60793.20585346065	17.68768710656132	23.038	0.078	g
60795.06772796296	18.636970873154745	22.497	0.05	r
60795.06925565972	18.637761126432554	22.55	0.057	r
60795.07023085648	18.638262274504026	22.383	0.053	r
60795.07172695602	18.63902649425237	22.507	0.051	r
60795.07269936342	18.63952580528081	22.519	0.051	r
60795.10168895833	18.65436263034227	22.52	0.092	r
60795.14708055556	18.677622529678423	23.215	0.07	g
60795.148545358796	18.6783650947044	23.26	0.069	g
60795.14954466435	18.67888202121336	23.143	0.054	g
60795.15101126157	18.67963395147483	23.152	0.062	g
60795.15347065972	18.680898811989593	23.136	0.069	g
60795.1544653588	18.68139880930541	23.119	0.058	g
60795.155931458336	18.682157815324054	23.217	0.064	g
60795.15693766204	18.682654054705075	23.13	0.081	g
60797.021351655094	19.628830284719935	22.57	0.096	i
60797.022357361115	19.629342417270504	22.474	0.074	i
60797.02332706018	19.629835102856934	22.372	0.064	i
60797.024786458336	19.630574571491877	22.376	0.076	i
60797.025751354166	19.63108642218514	22.376	0.078	i
60797.0271990625	19.63181220443782	22.487	0.071	i
60797.028225358794	19.632333682070797	22.503	0.084	i
60797.02966876158	19.63306467582738	22.257	0.058	i
60797.03063516204	19.633553645055464	22.402	0.064	i
60797.03208005787	19.634288706463096	22.531	0.075	i
60797.033068854165	19.634796600692315	22.396	0.055	i
60797.03560236111	19.636098177468092	22.567	0.086	i
60797.03608695602	19.63633248211965	22.343	0.069	i
60797.03705585648	19.63682716699398	22.326	0.061	i
60797.038033460645	19.637329855857203	22.423	0.061	i
60797.03851436343	19.637573895011606	22.423	0.079	i
60797.039471261574	19.638056194542642	22.483	0.07	i
60797.040427858796	19.63854262516137	22.425	0.073	i
60797.04093456019	19.638796957760366	22.43	0.072	i
60797.04189255787	19.63929685152476	22.44	0.061	i
60797.0453449537	19.641053759010816	22.38	0.055	i
60797.04677826389	19.64177044929543	22.443	0.07	i
60797.04773835648	19.642276051410526	22.457	0.063	i
60797.0552353588	19.646083025604838	22.593	0.06	r
60797.055713657406	19.646332389944224	22.587	0.059	r
60797.05667326389	19.64681829216955	22.549	0.051	r
60797.05811815972	19.647560125362535	22.564	0.065	r
60797.05911865741	19.64807109426671	22.627	0.055	r
60797.06007535879	19.648548697285978	22.618	0.054	r
60797.060553564814	19.64879735057812	22.602	0.053	r
60797.06153175926	19.64930074537884	22.61	0.051	r
60797.0625040625	19.64978980579612	22.612	0.054	r
60797.0639478588	19.650526898177397	22.623	0.055	r
60797.06491126157	19.651008057904203	22.712	0.066	r
60797.06635175926	19.651749796641024	22.651	0.054	r
60797.06734466435	19.65225623967875	22.621	0.05	r
60797.068792858794	19.652990300155935	22.507	0.062	r
60797.06984195602	19.65352813756799	22.665	0.062	r
60797.0703203588	19.653766587955882	22.673	0.063	r
60797.07128576389	19.65426754883491	22.602	0.052	r
60797.0722424537	19.654750015274335	22.676	0.055	r
60797.072723958336	19.654996333514188	22.648	0.064	r
60797.07368966435	19.65549425914882	22.681	0.062	r
60797.07465025463	19.655978792990712	22.575	0.053	r
60797.07513615741	19.656224854932265	22.649	0.057	r
60797.07610505787	19.656733592619837	22.674	0.053	r
60797.07709076389	19.657228639962895	22.593	0.05	r
60797.078565358795	19.657972275215545	22.586	0.052	r
60797.08101275463	19.6592191601107	22.628	0.053	r
60797.08200335648	19.659722030323444	22.575	0.054	r
60797.08344966435	19.66046126245754	22.659	0.055	r
60797.08450626158	19.661004018492658	22.639	0.061	r
60797.08913925926	19.663353998455833	23.171	0.067	g
60797.08961436342	19.66359868626351	23.225	0.074	g
60797.09057775463	19.664095008450545	23.186	0.071	g
60797.09297585648	19.6653279259479	23.143	0.07	g
60797.09394315972	19.665800943395556	23.145	0.067	g
60797.096359560186	19.667040290970686	23.342	0.079	g
60797.097803460645	19.667781666524228	23.242	0.075	g
60797.09878255787	19.668272063819384	23.247	0.074	g
60797.10022266204	19.66900751124467	23.204	0.061	g
60797.10119525463	19.66949526640469	23.349	0.082	g
60797.10265266203	19.67024585949652	23.226	0.075	g
60797.10369606481	19.670766943666365	23.076	0.07	g
60797.10417576389	19.671018365724382	23.219	0.076	g
60797.10514255787	19.671515549955274	23.238	0.075	g
60797.106114560185	19.672005564430428	23.142	0.079	g
60797.10756266204	19.67271717761203	23.224	0.078	g
60797.10852475694	19.67323030097049	23.315	0.077	g
60797.109007453706	19.673481474640713	23.453	0.103	g
60797.10996495371	19.673975258549508	23.259	0.09	g
60797.1123940625	19.675202222249638	23.127	0.063	g
60797.11337576389	19.675706627350625	23.321	0.078	g
60797.114815057874	19.676429074403643	23.233	0.072	g
60797.11577425926	19.676918598477904	23.172	0.069	g
60797.1172224537	19.67765616964522	23.262	0.089	g
60797.118279560185	19.678197468381086	23.406	0.092	g
60797.11973456018	19.678942222266198	23.137	0.07	g
60797.120706354166	19.679435603153692	23.312	0.075	g
60797.12215945602	19.680162145381612	23.334	0.08	g
60797.12313206019	19.68066024148299	23.053	0.061	g
60797.123610462964	19.68091274371077	23.361	0.083	g
60797.1245890625	19.681408245648548	23.226	0.066	g
60797.12558305555	19.681932934511117	23.36	0.1	g
60797.12704315972	19.682665509824012	23.32	0.072	g
60797.12804005787	19.683172698563563	23.255	0.069	g
60797.12949516204	19.6839138776406	23.337	0.09	g
60797.130467662035	19.684394175346167	23.264	0.088	g
60797.13193596065	19.6851570603729	23.451	0.088	g
60797.1329940625	19.685693034098932	23.381	0.097	g
60797.13347255787	19.68595898029948	23.381	0.091	g
60798.01398425926	20.13056088872265	22.16	0.103	i
60798.01544466435	20.131279571869246	22.225	0.097	i
60798.01691505787	20.13202295775572	22.126	0.087	i
60798.01790626157	20.132547556769957	22.296	0.103	i
60798.019378460645	20.13326923977488	22.214	0.088	i
60798.02083716435	20.134032631890463	22.12	0.087	i
60798.02238516204	20.134803052363367	22.114	0.09	i
60798.02287126157	20.13504074070062	22.328	0.113	i
60798.02383695602	20.135556385378333	22.092	0.083	i
60798.02625486111	20.13677519788712	22.027	0.085	i
60798.02721395833	20.137258698536584	22.15	0.107	i
60798.02768925926	20.137496319527177	22.137	0.115	i
60798.02866315972	20.137984308787537	22.228	0.104	i
60798.0296540625	20.13851286690332	22.109	0.094	i
60798.031131157404	20.13923764561869	22.116	0.101	i
60798.03213115741	20.139750960274625	22.325	0.124	i
60798.03358826389	20.140506602763306	22.129	0.093	i
60798.03455076389	20.14096852325851	22.094	0.089	i
60798.03502335648	20.14121175999625	22.346	0.12	i
60798.03599975695	20.141722773349436	22.135	0.083	i
60798.043686655095	20.14561913993852	22.354	0.071	r
60798.04419876157	20.145868025761697	22.24	0.07	r
60798.04517415509	20.146361614011244	22.38	0.08	r
60798.04613766204	20.146861559558428	22.309	0.06	r
60798.04664755787	20.147126911375214	22.333	0.067	r
60798.047616261574	20.147613698916956	22.318	0.069	r
60798.04859175926	20.148092422255843	22.397	0.075	r
60798.05003346065	20.148836749667716	22.387	0.075	r
60798.05248475695	20.150088970642955	22.401	0.075	r
60798.05345305555	20.150581838074253	22.241	0.072	r
60798.053933854164	20.150811418398582	22.444	0.096	r
60798.05491445602	20.151315475900404	22.416	0.075	r
60798.05596936343	20.151841444465727	22.306	0.072	r
60798.05645005787	20.152102249833987	22.39	0.085	r
60798.05841686342	20.153096285821643	22.428	0.076	r
60798.058896863426	20.153338408714742	22.416	0.085	r
60798.06084315972	20.154317662577558	22.396	0.071	r
60798.06135585648	20.154585307741506	22.329	0.076	r
60798.0623190625	20.155092193487654	22.374	0.068	r
60798.06329706019	20.155575691826765	22.296	0.072	r
