mjd	phase angle	mag	rmsmag	band
60787.109270960646	15.403483742389183	23.07	0.175	i
60787.11079675926	15.404307292870898	23.332	0.163	i
60787.111820162034	15.404843189366707	23.398	0.182	i
60787.11345665509	15.405759547169353	23.452	0.174	i
60787.11446835648	15.406327617052936	23.276	0.14	i
60787.115997361114	15.407170089737491	23.286	0.157	i
60787.11701686343	15.407730881534917	23.135	0.152	i
60787.118650358796	15.408636647750065	23.359	0.169	i
60787.12378716435	15.411460510248435	23.434	0.198	i
60787.12533436342	15.412336129517099	23.284	0.138	i
60787.12636576389	15.41291808215327	23.507	0.21	i
60787.12788755787	15.4137467431041	23.125	0.135	i
60787.12890445602	15.414317082239158	23.451	0.178	i
60787.13145516204	15.415751482230508	23.173	0.133	i
60787.13298486111	15.416597870887108	23.189	0.135	i
60790.11679915509	17.047340493698748	23.285	0.115	r
60790.11832945602	17.048181698160473	23.559	0.162	r
60790.11935736111	17.048714009056255	23.215	0.19	r
60790.124511354166	17.05153401164807	23.232	0.176	r
60790.13322856482	17.05627463247785	23.309	0.141	r
60790.13563986111	17.057619299792687	24.293	0.174	g
60790.13718815972	17.05848244494761	23.996	0.138	g
60790.138225462964	17.059008183108762	24.186	0.203	g
60790.14326486111	17.06179936823777	24.049	0.184	g
60790.14901275463	17.06492395878697	24.17	0.164	g
60790.17689106482	17.080128384883224	24.103	0.193	g
60790.17793346065	17.08068378213473	24.067	0.163	g
60790.18188925926	17.08283578018236	23.266	0.201	i
60790.18588255787	17.085015992324767	23.094	0.199	i
60790.18743475695	17.08587566724406	23.039	0.165	i
60790.1885165625	17.086477629355738	23.077	0.152	i
60790.19006706018	17.087327263853926	23.153	0.157	i
60797.030152453706	20.723771787490023	23.524	0.175	i
60797.031588564816	20.7245235390611	23.611	0.184	i
60797.0448578588	20.731502020352224	23.765	0.202	i
60797.06442966435	20.74174148253796	23.779	0.166	r
60797.06586576389	20.7425220058027	24.057	0.199	r
60797.08052525463	20.750165187668358	24.222	0.209	r
60797.099738854165	20.760242716685987	24.467	0.196	g
60797.11432986111	20.767850012587253	24.021	0.162	g
60797.12755085648	20.7747784224746	24.271	0.194	g
