mjd	mag_val	mag_band
60797.093943125	23.94	g
60797.10119511574	23.90	g
60793.20083412037	23.70	g
60793.19932112269	23.85	g
60799.14627412037	24.12	g
60797.08913912037	23.95	g
60799.14724612269	24.11	g
60797.11973511574	23.94	g
60797.10852511574	23.95	g
60797.12215912037	24.09	g
60797.11828011574	23.72	g
60797.11722211805	23.99	g
60797.09297612269	24.03	g
60797.11239412037	23.90	g
60797.103696122686	23.97	g
60797.095388125	24.10	g
60793.13949112268	23.70	g
60797.12070612269	23.96	g
60797.11577412037	23.57	g
60797.10996511574	24.01	g
60797.107563125	24.02	g
60799.148693125	23.92	g
60797.09153912037	24.09	g
60793.13803112268	23.74	g
60797.12458912037	24.06	g
60799.14480011574	24.28	g
60797.130468125	23.97	g
60793.14193511574	23.49	g
60797.02822511574	23.19	i
60798.02383711805	22.91	i
60799.025526122685	23.23	i
60797.02719912037	23.49	i
60799.030471122685	23.38	i
60799.027043125	23.45	i
60797.04437112268	23.25	i
60797.023327118055	23.31	i
60799.032896122684	23.22	i
60797.04288011574	23.39	i
60797.035602118056	23.27	i
60797.03947112268	23.50	i
60799.03193011574	23.25	i
60797.03453211806	23.36	i
60798.02238511574	22.90	i
60797.02966912037	23.22	i
60798.037063125	23.10	i
60797.03705612269	23.41	i
60797.038033125	23.52	i
60797.047738125	23.24	i
60797.03306912037	23.37	i
60797.041893125	23.39	i
60799.133749120374	23.37	r
60798.07069112269	23.26	r
60797.08450612269	23.40	r
60797.071286122686	23.62	r
60798.072137118055	23.54	r
60798.090220115744	23.63	r
60798.046138125	23.32	r
60799.13523112269	23.21	r
60799.11901011574	23.34	r
60795.06925612268	23.49	r
60793.186007118056	23.19	r
60799.08446612269	23.63	r
60799.11804112269	23.69	r
60799.085977118055	23.68	r
60799.132796122685	23.49	r
60797.06007511574	23.61	r
60793.187518125	23.17	r
60797.06153211805	23.70	r
60799.09828412037	23.55	r
60799.10337711806	23.41	r
60799.122903125	23.32	r
60798.050033125	23.46	r
60797.083450115744	23.53	r
60799.13035011574	23.37	r
60797.07856511574	23.58	r
60799.09183612269	23.35	r
60797.057638125	23.64	r
60797.07610511574	23.80	r
60799.13767711806	23.36	r
60798.04859211806	23.49	r
60799.086953125	23.36	r
60793.18501511574	23.60	r
60798.06231912037	23.33	r
60798.054914120374	23.42	r
60799.126288125	23.57	r
60799.131318125	23.63	r
60798.04368711806	23.14	r
60799.12044412037	23.39	r
60797.05523511574	23.43	r
60797.05911912037	23.50	r
60797.07369011574	23.68	r
60793.19100612269	23.06	r
60797.068793125	23.46	r
60799.10433912037	23.57	r
60797.072242118054	23.54	r
60799.100888125	23.49	r
60797.063948125	23.52	r
60798.04761612268	23.03	r
60799.09935912037	23.34	r
60799.11159612268	23.68	r
60793.192002118056	23.10	r
60799.11410612269	23.69	r
60799.12778412037	23.30	r
60798.087793125	23.57	r
60799.116566122684	23.36	r
60797.082003125	23.56	r
60799.10580612269	23.43	r
60795.03502011574	23.43	r
60795.067728125	23.51	r
60799.10185612269	23.41	r
60799.088431122684	23.56	r
60799.11304011574	23.41	r
60797.056673125	23.53	r
60798.04094211805	23.12	r
60799.12141112269	23.32	r
60799.096828125	23.50	r
60795.032578125	23.68	r
60798.08683011574	23.25	r
60795.070231122685	23.37	r
