mjd	mag	rmsmag	band
60787.109270960646	22.695	0.093	i
60787.11079675926	22.886	0.106	i
60787.111820162034	22.99	0.113	i
60787.11345665509	22.993	0.112	i
60787.11446835648	22.949	0.11	i
60787.11701686343	23.016	0.137	i
60787.118035162035	22.744	0.105	i
60787.118650358796	22.806	0.107	i
60787.12533436342	22.846	0.096	i
60787.12636576389	23.049	0.136	i
60787.12788755787	22.763	0.093	i
60787.12890445602	22.832	0.105	i
60787.12992315972	22.871	0.115	i
60787.13043505787	22.797	0.094	i
60787.13145516204	22.699	0.083	i
60787.132473564816	23.233	0.148	i
60787.13298486111	23.044	0.118	i
60790.11832945602	23.205	0.108	r
60790.11935736111	23.267	0.122	r
60790.120883564814	23.094	0.115	r
60790.12192716435	23.009	0.105	r
60790.12346195602	23.366	0.15	r
60790.124511354166	22.884	0.1	r
60790.13563986111	23.766	0.13	g
60790.13667755787	23.897	0.151	g
60790.13718815972	23.689	0.1	g
60790.138225462964	23.865	0.111	g
60790.14074466435	23.556	0.093	g
60790.14326486111	23.644	0.107	g
60790.17689106482	23.772	0.133	g
60790.17793346065	23.858	0.142	g
60790.180328159724	23.018	0.116	i
60790.18137706019	23.195	0.172	i
60790.18323115741	23.286	0.17	i
60790.184789363426	23.203	0.162	i
60790.18692346065	23.164	0.153	i
60790.18743475695	23.182	0.16	i
60790.1885165625	23.174	0.149	i
60790.18956115741	23.143	0.169	i
60790.19006706018	23.163	0.139	i
60793.13511145833	23.784	0.124	g
60793.13656775463	23.75	0.124	g
60793.137539560186	23.966	0.155	g
60793.1390024537	24.084	0.168	g
60793.139983263885	23.661	0.117	g
60793.14144395833	23.858	0.125	g
60793.14243385417	23.926	0.133	g
60793.14390425926	24.046	0.141	g
60793.1830649537	23.257	0.117	r
60793.18452115741	23.257	0.111	r
60793.18701505787	23.4	0.132	r
60793.19150346065	23.402	0.142	r
60793.19250736111	23.452	0.122	r
60793.19399436343	23.444	0.134	r
60793.19631126158	23.685	0.109	g
60793.19783606481	23.881	0.136	g
60793.19881956019	23.76	0.123	g
60793.200338055554	23.975	0.164	g
60793.20133846065	24.089	0.17	g
60793.20284346065	24.139	0.177	g
60793.20536186342	23.661	0.127	g
60795.0355124537	23.416	0.143	r
60795.056069363425	23.487	0.113	r
60795.067234953705	23.513	0.133	r
60795.06876835648	23.506	0.128	r
60795.06974466435	23.777	0.17	r
60795.07221305556	23.858	0.172	r
60795.07370555556	23.515	0.141	r
60795.09771436342	23.38	0.105	r
60795.10069865741	23.431	0.185	r
60795.10119706018	23.264	0.159	r
60795.10270055556	23.389	0.113	r
60795.14657815972	23.857	0.148	g
60795.14905206019	24.049	0.13	g
60795.15052096065	23.938	0.125	g
60795.151510358795	23.967	0.131	g
60795.15297725694	24.048	0.167	g
60795.153967060185	23.881	0.119	g
60795.155432060186	23.756	0.113	g
60795.15644216435	23.996	0.135	g
60795.15793016204	24.067	0.143	g
60797.030152453706	23.805	0.209	i
60797.031588564816	23.794	0.209	i
60797.037545162035	23.563	0.188	i
60797.042377164355	23.836	0.211	i
60797.0448578588	23.341	0.13	i
60797.04629665509	23.29	0.126	i
60797.05475565972	23.602	0.185	r
60797.05715296296	23.361	0.115	r
60797.0634640625	23.544	0.106	r
60797.06442966435	23.49	0.113	r
60797.06586576389	23.47	0.102	r
60797.06685865741	23.348	0.096	r
60797.07176186342	23.412	0.119	r
60797.07808165509	23.254	0.111	r
60797.07907425926	23.07	0.082	r
60797.08052525463	23.438	0.092	r
60797.08402585648	23.454	0.169	r
60797.0886553588	23.778	0.128	g
60797.091053854165	24.095	0.167	g
60797.09587005787	24.126	0.179	g
60797.097315555555	24.057	0.16	g
60797.09830315972	24.093	0.163	g
60797.099738854165	24.029	0.12	g
60797.10071115741	24.049	0.149	g
60797.10562635417	23.876	0.146	g
60797.11045716435	23.729	0.117	g
60797.111904756945	23.802	0.122	g
60797.11289425926	24.204	0.169	g
60797.11432986111	23.866	0.128	g
60797.12022145833	23.917	0.152	g
60797.12509055556	23.961	0.18	g
60797.12900046296	24.044	0.166	g
60797.129973854164	24.138	0.206	g
60797.13144895833	24.31	0.216	g
60798.01496635417	23.211	0.222	i
60798.01740255787	23.135	0.197	i
60798.03162195602	23.01	0.188	i
60798.03309925926	23.115	0.206	i
60798.051993657406	23.528	0.192	r
60798.0628153588	23.226	0.164	r
60798.06426895833	23.174	0.155	r
60798.06524016204	23.573	0.2	r
60798.08139925926	23.626	0.194	r
60798.09359525463	23.421	0.18	r
60798.09459395833	23.388	0.166	r
60798.09604236111	23.272	0.144	r
60798.112796354166	23.892	0.207	g
60798.115237453705	23.908	0.209	g
60799.03488716435	23.326	0.171	i
60799.0363765625	23.24	0.17	i
60799.091341354164	23.725	0.193	r
60799.09383925926	23.677	0.191	r
60799.09533966435	23.381	0.147	r
60799.110164363425	23.865	0.198	r
60799.12339356481	23.707	0.16	r
60799.12485115741	23.776	0.186	r
60799.151614664355	24.257	0.205	g
