mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60787.109270960646	9.938008470712344	2.875654976477778	1.958456675880031	23.203	0.185	i
60787.10978266204	9.93818205483841	2.875654202402356	1.9584590353853153	23.069	0.194	i
60787.11028865741	9.938353706266854	2.8756534369585327	1.9584613683564327	23.058	0.119	i
60787.11079675926	9.938526075669651	2.8756526683261363	1.9584637108225458	23.013	0.124	i
60787.111820162034	9.938873266108468	2.8756511201691275	1.9584684282721239	22.868	0.112	i
60787.1129465625	9.939255413966888	2.87564941619621	1.9584736194715537	23.022	0.112	i
60787.11345665509	9.939428475679028	2.8756486445469465	1.9584759699636791	22.946	0.112	i
60787.11395915509	9.939598964496213	2.875647884383179	1.9584782852526097	23.096	0.126	i
60787.11497945602	9.939945143672762	2.875646340904772	1.9584829856802028	23.088	0.136	i
60787.115488159725	9.940117747407367	2.875645571352699	1.9584853289026776	22.965	0.109	i
60787.115997361114	9.940290523267606	2.875644801047247	1.9584876741993889	23.095	0.145	i
60787.11650885417	9.940464080241057	2.8756440272734984	1.9584900298349481	22.884	0.117	i
60787.11752716435	9.94080961795257	2.875642486796169	1.9584947189251027	22.911	0.115	i
60787.118035162035	9.940981999079181	2.8756417183075484	1.958497057817233	22.851	0.111	i
60787.11915486111	9.94136196416463	2.8756400244442855	1.9585022123204183	23.226	0.16	i
60787.124827962965	9.943287372218458	2.8756314421895923	1.958528312564017	23.003	0.118	i
60787.12533436342	9.943459262890942	2.8756306761017085	1.9585306411009882	23.074	0.125	i
60787.125841863424	9.94363153046545	2.8756299083495716	1.9585329744884232	22.933	0.142	i
60787.12636576389	9.943809369035945	2.8756291157853417	1.9585353830679915	23.126	0.15	i
60787.126874953705	9.943982217722052	2.8756283454753255	1.9585377238060786	22.924	0.124	i
60787.12738085648	9.944153954495324	2.8756275801363618	1.9585400492326697	23.122	0.124	i
60787.12788755787	9.944325966147483	2.8756268135882195	1.958542378128003	23.155	0.148	i
60787.128398657405	9.944499474711526	2.8756260403853924	1.9585447270338037	23.2	0.138	i
60787.12890445602	9.944671187480022	2.875625275201144	1.9585470513754035	23.342	0.181	i
60787.12941436343	9.944844299074177	2.875624503799666	1.9585493943971182	22.985	0.125	i
60787.13043505787	9.945190832634136	2.875622959662855	1.9585540838744113	23.582	0.208	i
60787.13094915509	9.9453653784447	2.8756221819201553	1.9585564455349356	23.309	0.15	i
60787.13196466435	9.945710175229175	2.8756206456213467	1.9585611099860254	23.244	0.156	i
60787.132473564816	9.945882968509139	2.8756198757373927	1.9585634471750715	23.049	0.12	i
60787.13298486111	9.946056579453439	2.8756191022271937	1.9585657951697042	23.094	0.138	i
60787.13354326389	9.946246189985334	2.875618257451479	1.958568359259624	23.036	0.128	i
60790.11679915509	10.95535164113085	2.871087298618103	1.9736568992741939	23.282	0.132	r
60790.11781895833	10.955687757112267	2.8710857436915727	1.973662301461211	23.123	0.105	r
