mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60793.137539560186	13.25113619311244	2.4699938304507407	1.5717744662050772	24.139	0.205	g
60793.1390024537	13.25169746856334	2.469991929181235	1.5717822473059058	24.398	0.229	g
60793.142930462964	13.253204779390177	2.4699868240437812	1.5718031330313427	24.291	0.212	g
60793.143418761574	13.2533921801045	2.4699861894095565	1.5718057286464628	24.317	0.186	g
60793.18551106482	13.269568393496305	2.4699314787905933	1.5720289491099375	23.746	0.188	r
60793.1865253588	13.269958764880426	2.4699301603394686	1.5720343171282432	23.81	0.203	r
60795.03160115741	13.976570657060769	2.4675244425546934	1.5824800082144657	23.678	0.163	r
60795.03453106481	13.97766036619212	2.4675206107054675	1.5824970546233643	23.694	0.155	r
60795.03649755787	13.978391765126807	2.4675180388267948	1.5825084909054348	23.745	0.177	r
60795.056069363425	13.9856718865649	2.467492440930163	1.582622099130798	23.804	0.159	r
60795.067234953705	13.989826191361947	2.4674778367556325	1.582686741643495	23.698	0.161	r
60795.06876835648	13.990396795958313	2.4674758310805864	1.5826956097450342	23.78	0.161	r
60795.06974466435	13.990760107827022	2.4674745540746437	1.5827012548354946	23.942	0.187	r
60795.070718055555	13.99112234355836	2.4674732808793087	1.582706882156522	23.921	0.164	r
60795.07221305556	13.9916787078282	2.4674713254122547	1.5827155232184382	23.909	0.199	r
60795.07321585648	13.992051912970423	2.46747001373826	1.5827213181951039	23.69	0.16	r
60795.07370555556	13.992234164333762	2.4674693732058115	1.5827241477152745	23.907	0.203	r
60795.09254275463	13.999246948859062	2.467444733116606	1.5828328221881	23.726	0.127	r
60795.14905206019	14.020319745582846	2.46737080670148	1.5831570714836478	24.213	0.161	g
60795.151510358795	14.021237994467565	2.467367590403015	1.5831711259885546	24.073	0.139	g
60795.15297725694	14.021785994980904	2.4673656711841616	1.5831795107735334	24.419	0.21	g
60795.15494915509	14.022522735131895	2.467363091233273	1.5831907801522718	24.487	0.212	g
60797.024286354164	14.717993907575156	2.4649098360309587	1.5945146032696427	23.409	0.165	i
60797.02526956019	14.718348398318106	2.464908541777545	1.5945207114343614	23.613	0.196	i
60797.02671626157	14.718870001804648	2.4649066373895967	1.594529697248305	23.577	0.166	i
60797.02918745371	14.719760987774972	2.4649033843769095	1.5945450414303215	23.515	0.174	i
60797.03111365741	14.720455485565063	2.4649008487548207	1.5945569972985785	23.869	0.215	i
60797.032566354166	14.720979264188314	2.464898936439187	1.594566011606186	23.75	0.191	i
60797.034055358796	14.721516139266969	2.4648969763186273	1.5945752489684322	23.747	0.162	i
60797.04582275463	14.72575926544061	2.4648814854267997	1.594648171130674	23.758	0.207	i
60797.04725445602	14.726275557109588	2.4648796006589073	1.5946570337903863	23.773	0.205	i
60797.05030326389	14.727375039906281	2.464875587017821	1.5946758999825905	23.87	0.216	i
60797.05078275463	14.727547962448554	2.4648749557829825	1.5946788662525666	23.625	0.167	i
60797.05475565972	14.728980803366657	2.464869725534885	1.5947034350425566	23.711	0.163	r
60797.055713657406	14.729326325153	2.464868464340781	1.5947093570478046	23.867	0.19	r
60797.05619736111	14.729500785654347	2.464867827548104	1.5947123467921613	23.924	0.172	r
60797.05811815972	14.730193590299441	2.4648652988200626	1.5947242168682028	23.955	0.205	r
60797.058633657405	14.730379527998823	2.4648646201655504	1.5947274019058046	24.087	0.215	r
60797.05959505787	14.730726306513796	2.4648633544760936	1.5947333412878117	23.792	0.145	r
60797.060553564814	14.731072049225714	2.4648620925915714	1.5947392618997158	23.964	0.159	r
60797.061048159725	14.731250457566164	2.4648614414503007	1.5947423166203905	24.207	0.195	r
60797.06298335648	14.73194853456736	2.4648588937275755	1.594754266510215	23.882	0.138	r
60797.0634640625	14.732121943251672	2.4648582608667717	1.5947572343201324	24.098	0.172	r
60797.0653840625	14.732814581101367	2.464855733130689	1.5947690859094206	23.747	0.142	r
60797.06685865741	14.733346563728984	2.4648537917726157	1.5947781857444898	24.022	0.162	r
60797.06782055555	14.733693594676495	2.464852525394122	1.5947841205673554	23.962	0.156	r
60797.068297858794	14.733865798364235	2.464851897003079	1.5947870651581404	23.737	0.128	r
60797.06936555556	14.734251015403473	2.464850491329408	1.5947936512336365	23.633	0.168	r
60797.07080085648	14.734768880408176	2.4648486016789626	1.5948025031729056	23.953	0.188	r
60797.07176186342	14.73511562960887	2.4648473364575816	1.594808428906738	23.975	0.168	r
60797.072723958336	14.735462781624484	2.464846069799624	1.594814360480308	23.763	0.159	r
60797.07321025463	14.735638255557218	2.4648454295585243	1.5948173582981684	23.931	0.18	r
60797.07416415509	14.735982466177404	2.4648441736835944	1.594823238058259	24.047	0.193	r
60797.07513615741	14.736333219635439	2.464842893972002	1.5948292285249739	24.033	0.18	r
60797.075621157404	14.736508239292093	2.4648422554325125	1.594832217260762	23.841	0.152	r
60797.076608958334	14.736864710750242	2.4648409549148975	1.5948383037493536	24.089	0.179	r
60797.07808165509	14.737396190430363	2.4648390159852744	1.594847376327297	24.09	0.208	r
60797.08003706019	14.73810191521359	2.4648364415160313	1.59485941955268	23.844	0.164	r
60797.08151956018	14.738636996193392	2.4648344896587435	1.594868547853228	24.109	0.187	r
60797.082482060185	14.73898440825935	2.464833222426862	1.5948744732556221	24.054	0.185	r
60797.08296266204	14.73915788472172	2.46483258966348	1.5948774316493908	23.801	0.16	r
60797.093455462964	14.742946136952714	2.4648187745229047	1.5949419698935132	24.398	0.193	g
60797.09587005787	14.743818117382379	2.4648155953276554	1.59495680775989	24.295	0.204	g
60797.12167315972	14.753142639044663	2.464781619921781	1.5951150713257054	24.56	0.199	g
60797.12264466435	14.753493960192317	2.464780340669068	1.5951210199802468	24.542	0.206	g
60797.126062662035	14.75473015151901	2.4647758399036896	1.5951419434058751	24.308	0.202	g
60797.13144895833	14.75667872221994	2.4647687472122337	1.5951748990732513	24.388	0.202	g
60798.01202335648	15.076994683897375	2.4636075459483404	1.600765149181995	23.119	0.201	i
60798.01496635417	15.078038275132641	2.463603659538234	1.600784014063214	23.041	0.188	i
60798.016410462966	15.078550354419251	2.463601752490193	1.6007932676270773	23.07	0.204	i
60798.02432895833	15.081358235059184	2.463591295398656	1.6008439692215504	23.033	0.193	i
60798.04712925926	15.089443948718303	2.4635611840471605	1.6009895976783546	23.732	0.217	r
60798.05645005787	15.092750183030606	2.4635488738455935	1.601048979872559	23.26	0.175	r
60798.061836458335	15.09466114023644	2.463541759729559	1.6010832573708327	23.52	0.185	r
60798.08335165509	15.102297230687865	2.4635133421967828	1.6012198993066267	23.556	0.2	r
60798.088755763885	15.104216163092426	2.463506204075576	1.6012541540621807	23.511	0.175	r
60798.09070195602	15.104907336575074	2.463503633380535	1.6012664840030362	23.538	0.174	r
60798.1123115625	15.112585997993316	2.4634750885017938	1.6014031763979764	24.083	0.209	g
60799.083993657405	15.459478403195272	2.462189517821615	1.6077512145737605	23.774	0.166	r
60799.08645275463	15.460336672301601	2.4621862592860726	1.6077672497119528	23.857	0.211	r
60799.092836655094	15.462565195563085	2.4621777998971153	1.6078088529044239	23.529	0.149	r
60799.09634415509	15.463789886972942	2.462173151990363	1.6078316960957786	23.925	0.208	r
60799.0973028588	15.464124666862997	2.4621718815710074	1.6078379380206604	23.776	0.202	r
60799.098870856484	15.464672246404485	2.4621698037408235	1.607848145296151	23.899	0.205	r
60799.100400358795	15.465206423140542	2.4621677769132346	1.6078581000233791	23.847	0.212	r
60799.101367256946	15.465544132178277	2.462166495618159	1.6078643920697018	23.95	0.211	r
60799.106282256944	15.467261055490992	2.462159982394308	1.6078963645612263	23.763	0.19	r
60799.10968055556	15.46844842041837	2.4621554790019133	1.6079184596043392	23.891	0.194	r
60799.11111615741	15.468950085284183	2.4621535765420015	1.6079277909006755	23.684	0.154	r
60799.118527453706	15.471540576899924	2.462143754950263	1.607975938972707	23.963	0.204	r
60799.11996665509	15.472043754046162	2.4621418476664907	1.6079852841568625	23.79	0.158	r
60799.120927662036	15.472379767750466	2.4621405740987305	1.6079915234455102	23.934	0.182	r
60799.127292164354	15.474605595394529	2.462132139489674	1.6080328282033178	23.832	0.2	r
60799.13183106481	15.476193505169963	2.4621261241695405	1.6080622681381196	23.91	0.196	r
60799.13231626157	15.47636327596325	2.4621254811422806	1.608065414383293	23.871	0.177	r
60799.134261354164	15.477043919660794	2.462122903316604	1.6080780257512584	23.883	0.185	r
60799.13671986111	15.477904346247941	2.462119645042105	1.6080939624694395	23.886	0.177	r
