mjd	mag	rmsmag	band
60787.111309155094	23.658	0.22	i
60787.11395915509	23.653	0.204	i
60787.11497945602	23.463	0.176	i
60787.13094915509	23.693	0.198	i
60787.13354326389	23.672	0.219	i
60793.1355990625	24.425	0.212	g
60793.142930462964	24.074	0.154	g
60793.184043263886	23.8	0.205	r
60793.19200236111	23.625	0.173	r
60793.196798460645	24.282	0.202	g
60793.199321458334	24.086	0.187	g
60793.201834155094	24.135	0.182	g
60797.0453449537	23.851	0.209	i
60797.05667326389	23.812	0.177	r
60797.05763766204	23.971	0.205	r
60797.0703203588	23.804	0.188	r
60797.09153856481	24.28	0.203	g
60797.11875346065	24.259	0.214	g
