mjd	phase angle	mag	rmsmag	band
60787.10978266204	15.174417798056362	21.898	0.059	i
60787.111309155094	15.175195119945242	21.903	0.047	i
60787.11395915509	15.176539897140858	21.967	0.047	i
60787.11497945602	15.177050008576138	21.981	0.05	i
60787.11650885417	15.177838353681983	21.932	0.051	i
60787.125841863424	15.18258536208719	21.938	0.043	i
60787.126874953705	15.183107615671085	21.911	0.051	i
60787.128398657405	15.183868811453095	21.974	0.049	i
60787.12941436343	15.184394797030558	21.975	0.054	i
60787.13094915509	15.185150731016082	21.468	0.03	i
60787.13196466435	15.18567671566251	21.94	0.054	i
60787.13354326389	15.186498333402524	21.894	0.047	i
60790.11731216435	16.70745262608883	22.093	0.039	r
60790.11781895833	16.707717508644595	22.165	0.05	r
60790.118846157406	16.708253239642048	22.11	0.049	r
60790.1198728588	16.708786115904903	22.097	0.062	r
60790.12139645834	16.70958096955274	22.144	0.061	r
60790.122444155095	16.710120921806112	22.372	0.072	r
60790.12295456018	16.71038338778704	22.05	0.054	r
60790.12398135417	16.710912562391822	22.191	0.054	r
60790.132206064816	16.715204859860783	22.219	0.049	r
60790.13375065972	16.716001993660072	22.163	0.045	r
60790.13617025463	16.717254830550953	22.655	0.042	g
60790.13875005787	16.718608221770097	22.628	0.045	g
60790.14024085648	16.719381272702467	22.691	0.057	g
60790.14126815972	16.719908076100975	22.778	0.047	g
60790.14800275463	16.723413341271183	22.732	0.045	g
60790.17741975695	16.738703453696356	22.748	0.056	g
60790.17847115741	16.739242029674227	22.729	0.047	g
60790.180868055555	16.740492770142748	22.084	0.059	i
60790.1826790625	16.741436805950187	22.269	0.106	i
60790.18377085648	16.74200498295196	22.144	0.072	i
60790.18532755787	16.742793379938306	22.237	0.08	i
60790.18642106481	16.743389416208984	22.124	0.066	i
60790.18797385417	16.744186734868972	22.116	0.06	i
60790.18904986111	16.744743672647022	22.214	0.079	i
60790.19061106481	16.74554993172815	22.066	0.054	i
60793.053003761575	18.225629395661013	22.975	0.148	i
60793.0534890625	18.225898854840924	23.045	0.168	i
60793.054462962966	18.226403011068804	23.157	0.159	i
60793.05789296296	18.228195214882803	22.771	0.13	i
60793.05837335648	18.22846759656674	22.741	0.124	i
60793.05934335648	18.228964551456265	22.617	0.115	i
60793.060328657404	18.22949858151757	22.878	0.134	i
