mjd	phase angle	mag	rmsmag	band
60787.10978266204	14.724003701180555	22.578	0.098	i
60787.111309155094	14.72482407838485	22.483	0.078	i
60787.11233025463	14.725340703226246	22.507	0.076	i
60787.11395915509	14.726193795151165	22.667	0.086	i
60787.11497945602	14.726746916726317	22.837	0.102	i
60787.11650885417	14.727508893629889	22.683	0.098	i
60787.11752716435	14.7280648623212	22.48	0.084	i
60787.11915486111	14.72892072406329	22.63	0.095	i
60787.12431576389	14.731611827394609	22.576	0.093	i
60787.125841863424	14.732401736038566	22.636	0.08	i
60787.126874953705	14.732932442784021	22.55	0.082	i
60787.128398657405	14.733736116594924	22.691	0.086	i
60787.12941436343	14.734264747467314	22.593	0.09	i
60787.13196466435	14.735620865608766	22.6	0.096	i
60790.11731216435	16.29124261912907	22.66	0.071	r
60790.118846157406	16.292041118978673	22.661	0.064	r
60790.1198728588	16.292587526268857	22.699	0.081	r
60790.1203753588	16.292840922787725	22.839	0.102	r
60790.12139645834	16.293378656167068	22.648	0.086	r
60790.122444155095	16.293928005861574	22.801	0.094	r
60790.12398135417	16.294732993048356	22.739	0.082	r
60790.132206064816	16.29904814517426	22.922	0.088	r
60790.13375065972	16.299858212999606	22.608	0.063	r
60790.13617025463	16.301127340113677	23.08	0.063	g
60790.1377149537	16.301931460240464	23.04	0.059	g
60790.14126815972	16.303797402973863	23.167	0.062	g
60790.14800275463	16.307334672490697	23.223	0.071	g
60790.17847115741	16.32329947966509	23.245	0.077	g
60790.180868055555	16.324569374547448	22.674	0.09	i
60790.1826790625	16.32550874479013	22.696	0.108	i
60790.18377085648	16.326082344533017	22.729	0.116	i
60790.18532755787	16.32690593611648	22.695	0.12	i
60790.18642106481	16.32747095639706	22.587	0.112	i
60790.18797385417	16.328294393324725	22.922	0.138	i
60790.19061106481	16.329669166570568	22.832	0.108	i
60793.1355990625	17.866222424464688	23.335	0.077	g
60793.1360865625	17.866494200706835	23.19	0.078	g
60793.137054363426	17.866993244901735	23.308	0.079	g
60793.13803065972	17.867497886029586	23.12	0.067	g
60793.13851606481	17.867754410948564	23.217	0.079	g
60793.139491354166	17.868256144861693	23.202	0.076	g
60793.14047425926	17.86879491669272	23.29	0.087	g
60793.14095516204	17.869037266899912	23.25	0.08	g
60793.14193525463	17.86955815756033	23.264	0.073	g
60793.144401157406	17.870848187019778	23.174	0.072	g
60793.18356665509	17.891342272360856	22.926	0.092	r
60793.184043263886	17.891598443770793	22.795	0.084	r
60793.18501516204	17.89209567359014	22.792	0.069	r
60793.1860074537	17.89262013493958	22.735	0.071	r
60793.1865253588	17.89286697935591	22.92	0.1	r
60793.187517858794	17.89340746111893	22.858	0.079	r
60793.19100565972	17.89523173448474	22.74	0.075	r
60793.19200236111	17.8957400958586	22.816	0.08	r
60793.19300085648	17.896282338697464	22.818	0.074	r
60793.19449115741	17.897057615888496	22.844	0.085	r
60793.196798460645	17.898264510807618	23.25	0.078	g
60793.19832956018	17.89906447792557	23.284	0.083	g
60793.19981975694	17.89984796855073	23.162	0.087	g
60793.20083395833	17.900369722171728	23.259	0.079	g
60793.2023190625	17.901150704643648	23.22	0.088	g
60793.20333736111	17.901682077559276	23.281	0.089	g
60793.2043240625	17.902207767884917	23.422	0.096	g
60793.20484445602	17.902472388303682	23.112	0.082	g
60793.20585346065	17.902984188626316	23.027	0.074	g
60795.068243761576	18.871534178860898	22.674	0.064	r
60795.070718055555	18.87280704389985	22.754	0.063	r
60795.07172695602	18.873328429161848	22.698	0.06	r
60795.07321585648	18.874104870112962	22.868	0.082	r
60795.10168895833	18.888940204129284	22.901	0.115	r
60795.102194259256	18.889295205009613	23.25	0.158	r
60795.14708055556	18.912646365261857	23.299	0.073	g
60795.147565555555	18.91291161611702	23.272	0.069	g
60795.148545358796	18.913413083048976	23.123	0.062	g
60795.14954466435	18.91394211610527	23.227	0.06	g
60795.15003055555	18.914191284560133	23.393	0.066	g
60795.15101126157	18.91470874122315	23.331	0.074	g
60795.15200436342	18.915219200299745	23.169	0.064	g
60795.152488657404	18.91546377799717	23.289	0.069	g
60795.15347065972	18.915976177441568	23.25	0.076	g
60795.1544653588	18.916509381001287	23.279	0.067	g
60795.155931458336	18.91727253014765	23.381	0.077	g
60797.021351655094	19.883005924113515	22.838	0.12	i
60797.022357361115	19.883512352017327	22.793	0.097	i
60797.02332706018	19.884001598122524	22.931	0.1	i
60797.02380675926	19.884266282986417	22.706	0.089	i
60797.02622675926	19.885501837113914	22.945	0.114	i
60797.0271990625	19.88603085512986	22.841	0.097	i
60797.03208005787	19.88855107743429	22.849	0.096	i
60797.03354505787	19.88931099979139	23.015	0.091	i
60797.03608695602	19.890638751564143	22.947	0.114	i
60797.04189255787	19.893637418310675	22.806	0.084	i
60797.042879953704	19.89416399904591	22.867	0.095	i
60797.0453449537	19.895434249034228	22.886	0.084	i
60797.04677826389	19.89617493724896	22.716	0.091	i
60797.04773835648	19.896676947030308	22.772	0.086	i
60797.05030326389	19.89800860086993	22.764	0.088	i
60797.0552353588	19.900570310571023	23.032	0.101	r
60797.055713657406	19.90081905141264	22.889	0.071	r
60797.05667326389	19.901325131829413	22.916	0.069	r
60797.05763766204	19.90181312486563	22.872	0.07	r
60797.05811815972	19.902061945375273	22.908	0.082	r
60797.05911865741	19.902586939945998	22.908	0.071	r
60797.06007535879	19.903085317464974	22.761	0.061	r
60797.060553564814	19.903327292099792	23.035	0.073	r
60797.06153175926	19.903832437981976	22.937	0.068	r
60797.0625040625	19.904345966355642	22.927	0.067	r
60797.0639478588	19.90508905164099	22.95	0.073	r
60797.06491126157	19.90558230893443	22.809	0.067	r
60797.06635175926	19.906338772124915	22.919	0.067	r
60797.06734466435	19.906846496080316	22.842	0.059	r
60797.06782055555	19.9070936328516	22.857	0.061	r
60797.068792858794	19.907594719696323	22.899	0.089	r
60797.06984195602	19.908160002822136	22.732	0.072	r
60797.0703203588	19.908387534129847	22.773	0.068	r
60797.07128576389	19.908894938938296	23.03	0.074	r
60797.0722424537	19.909406211030326	22.996	0.074	r
60797.072723958336	19.909638512999695	22.914	0.077	r
60797.07368966435	19.910145305296762	22.846	0.075	r
60797.07465025463	19.910650404564056	22.835	0.066	r
60797.07513615741	19.910894840283834	22.941	0.069	r
60797.07709076389	19.9119106337526	22.802	0.06	r
60797.078565358795	19.912683516414162	22.887	0.064	r
60797.07955865741	19.913196262690004	22.977	0.073	r
60797.08101275463	19.91394658501118	22.927	0.07	r
60797.08200335648	19.914447517693215	22.828	0.066	r
60797.082482060185	19.914714854213013	22.872	0.066	r
60797.08344966435	19.915210139741788	22.917	0.07	r
60797.08450626158	19.915774265612242	22.986	0.092	r
60797.08913925926	19.91815999690311	23.286	0.076	g
60797.08961436342	19.91841321431906	23.209	0.074	g
60797.09057775463	19.918906090344926	23.248	0.074	g
60797.09153856481	19.91940744916433	23.308	0.077	g
60797.09201576389	19.919655178030407	23.199	0.067	g
60797.09297585648	19.920164428090455	23.347	0.084	g
60797.09394315972	19.92065593845587	23.227	0.072	g
60797.09442395833	19.92090921063533	23.24	0.077	g
60797.09538766204	19.921401823672596	23.295	0.085	g
60797.096359560186	19.921925371505644	23.342	0.079	g
60797.09878255787	19.923165168908195	23.422	0.086	g
60797.10022266204	19.923924055410087	23.275	0.064	g
60797.10119525463	19.924433123774755	23.289	0.076	g
60797.101671261575	19.924662801036444	23.414	0.082	g
60797.10265266203	19.925170786968977	23.257	0.081	g
60797.10369606481	19.925707985588897	23.122	0.076	g
60797.10417576389	19.92597829870436	23.23	0.073	g
60797.10514255787	19.92646396864496	23.233	0.074	g
60797.106114560185	19.926968153731806	23.204	0.083	g
60797.10659076389	19.927216958371407	23.195	0.076	g
60797.10756266204	19.92772683471097	23.167	0.074	g
60797.10852475694	19.928221422640764	23.304	0.077	g
60797.109007453706	19.928458071798776	23.273	0.086	g
60797.10996495371	19.928983838293185	23.25	0.1	g
60797.11094186342	19.92948134249244	23.452	0.084	g
60797.11142436343	19.929738405547575	23.176	0.071	g
60797.1123940625	19.930237916085762	23.326	0.077	g
60797.11337576389	19.930737728118565	23.274	0.077	g
60797.114815057874	19.931485326715414	23.299	0.078	g
60797.11625346065	19.932228614264428	23.22	0.069	g
60797.1172224537	19.932757374088713	23.225	0.085	g
60797.118279560185	19.93330169820275	23.348	0.092	g
60797.11875346065	19.93353792984674	23.285	0.084	g
60797.11973456018	19.93404208646077	23.279	0.078	g
60797.120706354166	19.9345451926928	23.276	0.072	g
60797.12118805556	19.93480499720727	23.338	0.073	g
60797.12215945602	19.935305368141584	23.268	0.075	g
60797.12313206019	19.935805240887074	23.249	0.072	g
60797.123610462964	19.936031209986908	23.394	0.085	g
60797.1245890625	19.9365694808788	23.327	0.08	g
60797.12704315972	19.937841333081167	23.245	0.069	g
60797.12804005787	19.93834477529457	23.332	0.075	g
60797.13096675926	19.93987240459674	23.397	0.1	g
60797.13193596065	19.940379521634977	23.347	0.082	g
60797.1329940625	19.940919989034974	23.209	0.087	g
60797.13347255787	19.941161863673248	23.259	0.08	g
60798.01398425926	20.394880914958232	22.936	0.196	i
60798.01790626157	20.39691040363754	22.911	0.174	i
60798.01839016204	20.39721847060374	22.951	0.196	i
60798.019378460645	20.39768201201053	22.607	0.123	i
60798.02083716435	20.39844330889693	22.831	0.158	i
60798.02238516204	20.39924223483332	22.635	0.179	i
60798.02287126157	20.39948445108467	23.073	0.215	i
60798.02383695602	20.39999243222218	23.025	0.189	i
60798.02480986111	20.400460871932587	22.775	0.165	i
60798.02528725695	20.40074402582467	22.684	0.155	i
60798.02625486111	20.401241554621432	22.726	0.165	i
60798.03213115741	20.404265503168418	22.806	0.188	i
60798.03262486111	20.404562316468336	22.624	0.159	i
60798.03599975695	20.40630349423001	22.763	0.151	i
60798.04094195602	20.408827205881767	22.911	0.112	r
60798.043686655095	20.41026233057108	23.032	0.138	r
60798.04419876157	20.41051682497102	22.936	0.128	r
60798.04517415509	20.411018852737858	22.952	0.133	r
60798.04613766204	20.411511009556495	23.055	0.12	r
60798.04664755787	20.411801454283673	22.587	0.082	r
60798.047616261574	20.412245168223514	22.951	0.128	r
60798.04859175926	20.412805652978584	22.932	0.12	r
60798.05248475695	20.414803231469367	23.038	0.132	r
60798.05345305555	20.415307798300656	23.134	0.172	r
60798.053933854164	20.415557327778078	22.886	0.137	r
60798.05491445602	20.416068826139444	22.821	0.115	r
60798.05596936343	20.416601302040874	22.897	0.136	r
60798.05645005787	20.416857979145533	22.804	0.11	r
60798.05744766204	20.417380233904503	22.853	0.108	r
60798.05841686342	20.417903681787447	22.729	0.098	r
60798.058896863426	20.418165598398264	22.889	0.119	r
60798.05987725694	20.418630297280007	22.718	0.097	r
60798.06084315972	20.41913675008941	22.818	0.113	r
60798.06135585648	20.41939390209376	22.874	0.117	r
