mjd	mag_val	mag_band
60793.136568125	22.91	g
60793.14341912037	22.95	g
60797.11385511574	22.95	g
60790.136678125	22.81	g
60790.177933125	22.72	g
60793.19731711806	22.85	g
60790.148003125	22.79	g
60793.20484412037	23.02	g
60790.14024112269	22.75	g
60790.17742011574	22.68	g
60793.14144412037	22.99	g
60790.136170115744	22.70	g
60798.11475011574	23.07	g
60793.20231912037	22.86	g
60793.14095511574	23.06	g
60797.099263125	22.92	g
60793.20536211805	22.94	g
60790.14850912037	22.91	g
60790.13771511574	22.80	g
60797.12851711806	23.08	g
60797.13250612268	23.25	g
60787.11915511574	22.12	i
60790.18428112268	22.11	i
60787.12431612269	21.99	i
60787.11650912037	22.06	i
60787.11233011574	22.22	i
60787.11028912037	22.05	i
60787.127888125	22.04	i
60797.03111412037	22.71	i
60790.190611122685	22.06	i
60790.18137711805	22.03	i
60797.045823125	22.76	i
60787.13043511574	22.15	i
60797.02183912037	22.20	i
60799.035886122685	22.57	i
60799.02652011574	22.56	i
60790.186421122686	22.16	i
60790.186923125	22.11	i
60787.126366122684	22.14	i
60787.127381122686	22.09	i
60787.11803511574	22.01	i
60787.112947118054	22.16	i
60787.12687511574	22.06	i
60787.12533412037	22.06	i
60787.11345711806	22.19	i
60787.11079711805	22.16	i
60799.020942118055	22.58	i
60787.11497912037	22.13	i
60787.133543125	22.13	i
60787.13247412037	21.99	i
60787.12941412037	22.03	i
60787.11395912037	22.24	i
60790.185328125	22.27	i
60799.011417118054	22.35	i
60790.18905011574	22.14	i
60787.12890412037	22.08	i
60798.02190112269	22.32	i
60787.13196511574	22.06	i
60798.02335412037	22.19	i
60787.11599711805	22.16	i
60798.010563125	22.45	i
60787.124828125	22.10	i
60787.10927112269	22.05	i
60787.129923125	22.13	i
60790.187974120374	22.03	i
60787.114468125	22.18	i
60797.02038412037	22.33	i
60787.115488125	22.05	i
60787.13094912037	22.20	i
60790.18956112269	22.16	i
60798.08091211806	22.53	r
60798.066211122685	22.39	r
60799.094821122686	22.46	r
60795.073216122684	22.56	r
60795.068768125	22.43	r
60797.06538412037	22.72	r
60790.11679912037	22.37	r
60795.03160112268	22.41	r
60795.036498125	22.39	r
60798.05151511574	22.50	r
60793.184043125	22.35	r
60793.19351412037	22.38	r
60790.12295511574	22.24	r
60793.18452112268	22.40	r
60790.132723125	22.25	r
60795.05606912037	22.54	r
60797.07080112268	22.64	r
60790.11832912037	22.23	r
60798.09556412037	22.33	r
60790.11781912037	22.26	r
60790.12037511574	22.23	r
