mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60787.11028865741	9.223881282471943	2.9949565430276324	2.0731688172113225	23.026	0.149	i
60787.1129465625	9.224746590853169	2.9949541958413697	2.0731824305237776	23.266	0.165	i
60787.11345665509	9.224912666355017	2.9949537453764616	2.073185042446427	23.225	0.152	i
60787.115488159725	9.225574112640691	2.9949519513348886	2.073195442575069	23.104	0.138	i
60787.12636576389	9.229116687473546	2.9949423448868253	2.073251072052748	23.216	0.164	i
60787.12788755787	9.229612424925318	2.994941000885564	2.0732588471467395	22.997	0.133	i
60787.132473564816	9.231106553754573	2.994936950599758	2.0732822669226283	23.192	0.165	i
60790.11832945602	10.201970299024882	2.992278952033429	2.0899645340554627	23.152	0.119	r
60790.12192716435	10.20311166609414	2.9922757241741214	2.0899855568772656	23.35	0.152	r
60790.12346195602	10.203598629957312	2.9922743471426116	2.0899945221995226	23.384	0.146	r
60790.124511354166	10.203931605354843	2.992273405605166	2.0900006511024647	23.474	0.181	r
60790.132723159724	10.206537769777459	2.99226603765782	2.090048582675028	23.852	0.184	r
60790.13322856482	10.20669820181218	2.9922655841787202	2.0900515310525924	23.614	0.162	r
60790.13667755787	10.207793129418043	2.9922624895070733	2.090071646518861	24.187	0.186	g
60790.13718815972	10.207955242260532	2.9922620313556636	2.090074623767926	24.021	0.177	g
60790.138225462964	10.208284592005944	2.9922611006035438	2.090080671574358	23.793	0.114	g
60790.14024085648	10.20892454015906	2.9922592922147966	2.090092419816964	24.143	0.182	g
60790.14074466435	10.209084524466002	2.9922588401510954	2.0900953562021223	24.056	0.149	g
60790.14326486111	10.209884875593701	2.992256578775611	2.0901100422765033	24.213	0.196	g
60790.148509259256	10.21155070145608	2.9922518728764813	2.0901405896215874	24.333	0.205	g
60790.14901275463	10.211710655688155	2.9922514210736697	2.0901435214137924	23.985	0.149	g
60790.17741975695	10.220742654565285	2.9922259286214166	2.090308689758376	23.984	0.2	g
60790.18137706019	10.222002110730953	2.9922223770367182	2.0903316653043333	23.177	0.141	i
60790.18188925926	10.222165147031287	2.992221917345041	2.0903346385364547	23.166	0.138	i
60790.184280960646	10.222926512427108	2.9922197708090277	2.09034852043936	23.199	0.162	i
60790.184789363426	10.223088370552649	2.992219314517788	2.090351470985858	23.164	0.2	i
60790.18692346065	10.223767853245478	2.9922173991522167	2.0903638551609283	23.183	0.169	i
60793.13511145833	11.153024647856547	2.9895510600525323	2.1089942375083273	24.036	0.155	g
60793.1360865625	11.153323499138342	2.9895501714581716	2.109000601476854	24.217	0.213	g
60793.13656775463	11.153470981153916	2.9895497329553202	2.1090037417154868	24.145	0.172	g
60793.13851606481	11.154068163270239	2.989547957479446	2.1090164547248587	24.05	0.168	g
60793.1390024537	11.154217257425792	2.9895475142353356	2.1090196280912825	23.966	0.139	g
60793.139983263885	11.154517919925585	2.9895466204236327	2.109026026760034	24.339	0.209	g
60793.14095516204	11.154815866353474	2.989545734728847	2.1090323666711353	23.835	0.137	g
60793.14243385417	11.155269206495733	2.9895443871826446	2.109042011341519	24.008	0.139	g
60793.143418761574	11.155571181676246	2.9895434896216884	2.1090484345577116	24.132	0.154	g
60793.14390425926	11.155720042745033	2.989543047178276	2.1090516005778626	24.183	0.154	g
60793.1830649537	11.167741631924418	2.9895073556856624	2.1093065446892676	23.352	0.131	r
