mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60797.024786458336	14.274452660899156	2.5043010861913966	1.6305950043192239	22.719	0.109	i
60797.025751354166	14.274787062994537	2.504300508539349	1.63060151349347	22.858	0.119	i
60797.033068854165	14.277323117757136	2.504296127605445	1.6306508461595974	23.148	0.115	i
60797.034531655096	14.277830099904376	2.5042952517985966	1.6306607014065186	23.101	0.104	i
60797.03705585648	14.278704960135787	2.5042937404807706	1.6306777024342254	22.96	0.112	i
60797.038033460645	14.279043792484591	2.504293155148441	1.6306842850614278	22.709	0.084	i
60797.039471261574	14.279542132790796	2.5042922942667043	1.6306939646253	23.16	0.127	i
60797.040427858796	14.279873692792336	2.5042917214982445	1.6307004034672286	22.742	0.098	i
60797.04437076389	14.281240358863835	2.504289360601679	1.6307269333236498	22.686	0.097	i
60797.04773835648	14.282407673203766	2.504287344111354	1.630749579774542	22.827	0.095	i
60797.0552353588	14.285006610541318	2.504282854714976	1.6307999550128385	23.096	0.108	r
60797.05667326389	14.285505122724427	2.5042819936222434	1.6308096104676353	23.225	0.11	r
60797.05911865741	14.286352960188623	2.5042805291637755	1.6308260264775092	23.104	0.086	r
60797.06007535879	14.286684668922971	2.5042799562197664	1.630832447248765	23.027	0.085	r
60797.06153175926	14.287189648095689	2.5042790840084073	1.630842219960106	23.058	0.079	r
60797.06734466435	14.28920534546011	2.50427560263968	1.6308812050645296	23.04	0.077	r
60797.06984195602	14.290071409100038	2.504274106940664	1.6308979435126376	23.098	0.095	r
60797.07128576389	14.290572151662115	2.5042732421858824	1.6309076181182622	23.091	0.09	r
60797.0722424537	14.290903963364737	2.504272669178811	1.630914027571828	23.058	0.084	r
60797.07368966435	14.291405922112535	2.504271802365166	1.6309237216750805	23.072	0.093	r
60797.07465025463	14.291739111127944	2.5042712270080685	1.6309301550721953	23.015	0.083	r
60797.07610505787	14.292243741393248	2.5042703556256884	1.630939896725525	23.245	0.102	r
60797.078565358795	14.293097204855988	2.5042688819520738	1.6309563668830291	23.003	0.079	r
60797.08200335648	14.294289944502259	2.504266822595578	1.6309793726825437	22.845	0.073	r
60797.08344966435	14.294791753209479	2.50426595623753	1.630989047582909	23.148	0.092	r
60797.09057775463	14.29726529941198	2.5042616862315943	1.6310367023132526	23.954	0.154	g
60797.09153856481	14.29759876642549	2.5042611106452255	1.6310431223069943	23.787	0.129	g
60797.09297585648	14.298097629471131	2.5042602496058244	1.6310527245534654	23.619	0.116	g
60797.09394315972	14.298433383056693	2.504259670115651	1.6310591858806214	23.447	0.102	g
60797.09538766204	14.29893479901118	2.5042588047355627	1.6310688332415242	23.683	0.119	g
60797.097803460645	14.299773440659377	2.5042573574380556	1.6310849635137272	23.718	0.13	g
60797.10119525463	14.30095104820526	2.5042553253652207	1.6311076020180555	23.952	0.149	g
60797.10369606481	14.301819428031285	2.5042538270495105	1.6311242873885512	23.547	0.119	g
60797.10514255787	14.30232175345396	2.504252960391939	1.6311339359696064	23.889	0.146	g
60797.106114560185	14.302659321197005	2.5042523780155426	1.631140418562638	23.779	0.154	g
60797.10756266204	14.303162263224888	2.5042515103729537	1.631150074963955	23.749	0.132	g
60797.10852475694	14.303496429081244	2.504250933918614	1.6311564895623072	23.637	0.111	g
