mjd	mag	rmsmag	band
60790.11781895833	23.079	0.154	r
60790.1203753588	23.011	0.096	r
60790.120883564814	22.96	0.12	r
60790.12295456018	23.031	0.091	r
60790.12346195602	23.085	0.133	r
60790.132206064816	23.053	0.102	r
60790.132723159724	22.97	0.084	r
60790.13375065972	22.963	0.107	r
60790.13667755787	23.556	0.115	g
60790.13875005787	23.329	0.093	g
60790.14024085648	23.683	0.112	g
60790.14074466435	23.473	0.107	g
60790.18137706019	22.636	0.084	i
60790.1826790625	22.792	0.117	i
60790.184280960646	22.777	0.127	i
60790.18956115741	22.811	0.126	i
60793.1360865625	23.404	0.089	g
60793.13656775463	23.627	0.121	g
60793.137539560186	23.453	0.106	g
60793.13851606481	23.556	0.096	g
60793.1390024537	23.623	0.114	g
60793.139983263885	23.515	0.108	g
60793.14144395833	23.691	0.117	g
60793.142930462964	23.485	0.098	g
60793.143418761574	23.497	0.087	g
60793.144401157406	23.524	0.11	g
60793.184043263886	23.086	0.116	r
60793.18452115741	22.932	0.091	r
60793.18551106482	23.171	0.103	r
60793.18701505787	22.979	0.091	r
60793.19150346065	23.002	0.102	r
60793.19300085648	23.295	0.115	r
60793.19449115741	23.031	0.104	r
60793.197317164355	23.489	0.096	g
60793.19881956019	23.588	0.117	g
60793.19981975694	23.443	0.085	g
60795.03062936343	22.932	0.09	r
60795.03160115741	23.022	0.086	r
60795.03208975695	22.945	0.076	r
60795.0340403588	22.898	0.077	r
60795.03502016204	22.836	0.086	r
60795.056069363425	22.932	0.065	r
60795.067234953705	22.84	0.069	r
60795.068243761576	23.019	0.083	r
60795.06876835648	23.029	0.075	r
60795.06974466435	23.152	0.091	r
60795.070718055555	23.062	0.077	r
60795.07123925926	23.172	0.087	r
60795.07321585648	23.053	0.09	r
60795.07370555556	22.864	0.082	r
60795.09254275463	22.983	0.066	r
60795.102194259256	22.948	0.106	r
60795.10270055556	23.091	0.115	r
60795.14657815972	23.638	0.128	g
60795.147565555555	23.753	0.108	g
60795.148054861114	23.644	0.093	g
60795.14905206019	23.656	0.094	g
60795.15003055555	23.622	0.08	g
60795.15052096065	23.563	0.087	g
60795.151510358795	23.6	0.092	g
60795.152488657404	23.5	0.084	g
60795.15297725694	23.74	0.114	g
60795.153967060185	23.693	0.106	g
