mjd	mag_val	mag_band
60790.141268125	22.97	g
60797.09442412037	23.44	g
60798.12016412037	24.11	g
60797.11973511574	24.11	g
60797.11722211805	23.78	g
60798.107938125	23.99	g
60795.167118125	23.67	g
60797.10465412037	23.90	g
60795.150031122685	23.75	g
60797.11481511574	24.17	g
60797.09636011574	23.66	g
60798.12357711806	23.89	g
60797.116253125	23.98	g
60797.121188125	24.00	g
60793.13559912037	23.12	g
60797.118753125	23.94	g
60795.15200412037	23.54	g
60797.12070612269	23.75	g
60797.126063125	23.70	g
60797.096838125	23.69	g
60793.20183412037	23.56	g
60799.15210612269	23.85	g
60797.097803125	23.78	g
60797.09009412037	23.65	g
60798.110361122686	23.96	g
60793.205853125	23.52	g
60797.11239412037	23.64	g
60799.143358125	23.65	g
60793.20333711806	23.45	g
60795.15248912037	23.65	g
60799.15409711806	23.78	g
60797.101671122684	23.81	g
60795.15494912037	23.82	g
60797.10611511574	23.84	g
60797.107563125	23.80	g
60799.15313711805	23.74	g
60797.100223125	23.57	g
60797.099263125	23.68	g
60797.103696122686	23.69	g
60797.09201612268	23.65	g
60797.09345511574	23.59	g
60799.150132118055	23.96	g
60793.14293011574	23.15	g
60797.11142412037	23.78	g
60797.12804011574	23.79	g
60797.10659112268	23.68	g
60798.109881122684	24.00	g
60797.09490211806	23.59	g
60795.15742011574	23.57	g
60797.102653125	23.72	g
60797.11385511574	23.66	g
60793.144401122685	23.30	g
60797.10119511574	23.75	g
60797.11577412037	23.94	g
60797.08865511574	23.83	g
60799.14531011574	23.73	g
60793.196798125	23.39	g
60797.11094211806	23.75	g
60799.14432112269	23.78	g
60793.14193511574	23.17	g
60797.125583125	23.40	g
60790.138750115744	22.90	g
60797.133473125	23.88	g
60797.108044120374	23.59	g
60797.124098125	23.77	g
60797.12851711806	23.83	g
60795.14756612269	23.67	g
60795.15101112268	23.45	g
60797.10900711806	23.58	g
60797.127043125	23.91	g
60793.13705412037	23.24	g
60797.08913912037	23.76	g
60797.09297612269	23.74	g
60795.15446511574	23.80	g
60797.10417612269	23.96	g
60797.11337612269	23.85	g
60793.14047412037	23.24	g
60797.105143125	23.68	g
60799.15262412037	23.66	g
60793.138516122686	23.00	g
60798.119673125	24.07	g
60795.15593112269	23.74	g
60797.093943125	23.83	g
60799.15064412037	24.01	g
60797.119243125	23.79	g
60798.13046211805	23.83	g
60797.10996511574	23.71	g
60793.19932112269	23.61	g
60797.092498125	23.52	g
60797.10852511574	23.71	g
60797.08961412037	23.70	g
60798.12899211806	23.90	g
60799.153621122685	23.72	g
60795.166131122685	23.62	g
60797.090578125	23.58	g
60797.12215912037	24.01	g
60795.156938125	23.55	g
60797.12361011574	23.70	g
60795.14708112268	23.45	g
60799.14579112268	23.98	g
60799.14676711806	24.07	g
60793.13803112268	23.17	g
60798.10407511574	23.80	g
60795.153471122685	23.61	g
60797.13096711806	23.83	g
60797.109487118054	23.98	g
60797.12313211805	23.83	g
60797.130468125	23.89	g
60797.09153912037	23.67	g
60799.02601612268	22.96	i
60799.022423125	23.21	i
60799.018926122684	22.97	i
60797.02183912037	22.47	i
60799.015928125	22.97	i
60798.02432912037	22.65	i
60799.01492011574	23.38	i
60797.035602118056	22.72	i
60797.03705612269	22.77	i
60799.020942118055	23.07	i
60798.03657912037	22.64	i
60798.02132112269	22.82	i
60799.02652011574	23.19	i
60798.01544511574	22.89	i
60797.046778125	22.78	i
60797.04288011574	22.80	i
60799.011417118054	23.21	i
60793.06032912037	22.26	i
60797.03208011574	22.66	i
60799.02393011574	22.90	i
60798.01593011574	22.61	i
60798.02335412037	22.67	i
60798.02190112269	22.57	i
60798.012517118055	22.81	i
60797.026227118055	22.79	i
60799.03339511574	23.10	i
60799.02342612269	23.16	i
60798.03551011574	22.67	i
60797.023327118055	22.72	i
60799.035886122685	23.38	i
60799.02752912037	23.20	i
60799.016413125	22.77	i
60798.010563125	22.71	i
60797.043357118055	22.80	i
60798.01691511574	22.98	i
60797.03063511574	22.64	i
60799.03388511574	23.29	i
60798.01446912037	22.59	i
60799.01843912037	22.96	i
60798.02965412037	22.90	i
60798.033588125	22.78	i
60797.02380711806	22.70	i
60797.03657412037	22.63	i
60797.02478612268	22.78	i
60797.04093511574	22.55	i
60793.057893125	22.34	i
60798.019378125	22.88	i
60798.02768912037	22.82	i
60798.028173125	22.84	i
60798.026731122685	22.74	i
60798.03013912037	22.59	i
60798.01398412037	22.59	i
60797.047738125	22.60	i
60798.01153011574	22.88	i
60797.03453211806	22.60	i
60797.033545115744	22.68	i
60797.028706122685	22.97	i
60797.050303125	22.81	i
60793.05688011574	22.20	i
60797.021352118056	22.76	i
60799.034887118054	23.22	i
60799.02995011574	23.14	i
60793.05543412037	22.40	i
60797.02671612269	22.84	i
60797.040428125	22.73	i
60799.02045412037	22.92	i
60798.01790612269	22.76	i
60799.038336122685	22.92	i
60798.02528711806	23.11	i
60799.03686612268	23.16	i
60798.01349511574	22.70	i
60793.059343125	22.18	i
60799.01243011574	22.97	i
60797.04437112268	22.75	i
60793.05591711806	22.26	i
60797.022357118054	22.73	i
60793.05348912037	22.30	i
60793.058373125	22.23	i
60798.01299511574	22.54	i
60797.02575112269	22.76	i
60793.054463125	22.24	i
60797.03608711805	22.69	i
60797.045823125	22.72	i
60799.021938125	23.20	i
60798.020837118056	22.61	i
60799.01344011574	22.91	i
60798.025773125	22.73	i
60799.02849912037	23.05	i
60798.03213112269	22.81	i
60797.03111412037	22.77	i
60799.03735412037	23.06	i
60797.03306912037	22.71	i
60799.00996511574	22.97	i
60798.011052118054	22.47	i
60799.03144011574	23.13	i
60798.01839011574	22.65	i
60797.038033125	22.84	i
60797.02822511574	23.10	i
60798.02287112269	22.75	i
60797.02966912037	22.76	i
60793.061818125	22.32	i
60799.03884612268	23.06	i
60797.07562112268	22.97	r
60790.119873125	22.36	r
60799.12986912037	23.72	r
60798.09408912037	23.36	r
60797.07856511574	23.09	r
60797.05619711806	22.93	r
60798.04907612268	23.02	r
60795.03011211805	22.54	r
60798.073585115744	22.82	r
60799.13672011574	23.60	r
60798.071651122686	22.96	r
60798.05393412037	23.46	r
60799.11704011574	23.79	r
60799.112548125	23.89	r
60795.03600011574	22.49	r
60798.068658125	23.08	r
60798.06035912037	23.35	r
60798.05938912037	23.06	r
60799.10040011574	23.68	r
60797.06055412037	22.94	r
60798.04368711806	23.01	r
60797.072242118054	22.94	r
60799.11852711806	23.40	r
60799.10482511574	23.62	r
60799.125336122685	23.64	r
60799.11755711806	23.82	r
60798.046648125	22.99	r
60799.09887112268	23.36	r
60799.137197118056	23.44	r
60798.07846011574	23.28	r
60799.08988511574	23.74	r
60795.092543125	22.74	r
60797.054756122685	22.94	r
60797.05863412037	23.05	r
60799.11608412037	23.70	r
60799.10727511574	23.73	r
60798.05442511574	22.81	r
60797.077601122684	23.20	r
60793.19300112269	22.87	r
60798.072618125	23.13	r
60798.079423125	23.11	r
60799.129358125	23.51	r
60797.06007511574	23.12	r
60798.08634711806	23.18	r
60795.032578125	22.57	r
60798.05103412037	23.00	r
60799.12434511574	23.52	r
60797.05571412037	22.93	r
60798.061356122686	23.06	r
60799.12141112269	23.40	r
60795.10219412037	23.05	r
60797.063948125	22.94	r
60799.13231612268	23.50	r
60799.086453125	23.60	r
60790.118846122685	22.40	r
60799.131831122686	23.39	r
60799.09037612269	23.48	r
60798.08091211806	23.34	r
60797.06250412037	22.97	r
60798.071172118056	23.17	r
60799.113618125	23.60	r
60799.10968112268	23.43	r
60799.09534011574	23.42	r
60798.09556412037	23.12	r
60793.186007118056	22.89	r
60797.068793125	22.96	r
