mjd	phase angle	mag	rmsmag	band
60790.11731216435	16.025714084910778	23.533	0.18	r
60790.118846157406	16.026542465044137	23.219	0.107	r
60790.1198728588	16.0270732541107	23.741	0.186	r
60790.122444155095	16.028412827603972	23.297	0.139	r
60790.132206064816	16.03347377135437	23.456	0.153	r
60790.13375065972	16.034275011959636	23.321	0.122	r
60790.13617025463	16.03557145425966	23.934	0.165	g
60790.1377149537	16.03631913073702	24.16	0.19	g
60790.13875005787	16.03689131664235	23.852	0.134	g
60790.14126815972	16.038180879915593	23.894	0.118	g
60790.14800275463	16.04169696725483	24.066	0.173	g
60790.180868055555	16.05876324949942	23.402	0.185	i
60790.1826790625	16.05970238322527	23.094	0.157	i
60793.137054363426	17.58250823265804	23.74	0.117	g
60793.13803065972	17.58304599238133	23.819	0.126	g
60793.13851606481	17.58328096765432	23.586	0.123	g
60793.139491354166	17.583781708855334	23.755	0.125	g
60793.14047425926	17.584290134713385	23.687	0.123	g
60793.14193525463	17.585062801553207	23.802	0.12	g
60793.144401157406	17.58631979236198	23.874	0.135	g
60793.18356665509	17.606621484632388	23.265	0.126	r
60793.184043263886	17.606850782052113	23.365	0.143	r
60793.18501516204	17.607350399325835	23.239	0.102	r
60793.1860074537	17.607885366521273	23.279	0.113	r
60793.1865253588	17.608144782071335	23.282	0.131	r
60793.187517858794	17.608649325579773	23.173	0.104	r
60793.19100565972	17.610467778484324	23.353	0.126	r
60793.19300085648	17.611495499471395	23.288	0.115	r
60793.19449115741	17.61226088629714	23.333	0.131	r
60793.196798460645	17.613456193414592	23.713	0.117	g
60793.19832956018	17.614254530198348	23.967	0.157	g
60793.199321458334	17.61475644705779	23.566	0.109	g
60793.20083395833	17.61553665355422	23.468	0.097	g
60793.201834155094	17.6160501529658	23.698	0.122	g
60793.20333736111	17.6168317609986	23.701	0.132	g
60793.2043240625	17.617366984139835	23.705	0.126	g
60793.20585346065	17.61814727570251	23.707	0.139	g
60795.03011165509	18.55320960718514	23.198	0.118	r
60795.031108958334	18.553726867636033	23.185	0.102	r
60795.03160115741	18.55399215863013	23.219	0.112	r
60795.03257805556	18.55448619070953	23.223	0.092	r
60795.033550960645	18.554995904536117	23.396	0.127	r
60795.03502016204	18.55574863289959	23.127	0.105	r
60795.03599975695	18.556255186650656	23.382	0.108	r
60795.06772796296	18.57261573727379	23.375	0.11	r
60795.068243761576	18.57286836763158	23.474	0.131	r
60795.06925565972	18.573392297966098	23.26	0.104	r
60795.07023085648	18.573883112362967	23.222	0.11	r
60795.070718055555	18.574138111023185	23.574	0.129	r
60795.07172695602	18.57464969045164	23.355	0.106	r
60795.07269936342	18.575159598500573	23.122	0.087	r
