mjd	mag	rmsmag	band
60790.120883564814	23.432	0.176	r
60790.12295456018	23.806	0.183	r
60790.132723159724	23.754	0.171	r
60790.13375065972	23.8	0.197	r
60790.13667755787	24.091	0.168	g
60790.13875005787	24.279	0.205	g
60790.14024085648	24.243	0.181	g
60790.14074466435	23.971	0.172	g
60790.148509259256	24.283	0.181	g
60790.180868055555	23.534	0.226	i
60790.18137706019	23.357	0.153	i
60790.1826790625	23.414	0.196	i
60793.13511145833	24.11	0.179	g
60793.142930462964	24.116	0.153	g
60793.184043263886	23.509	0.162	r
60793.18551106482	23.937	0.209	r
60793.18701505787	23.477	0.146	r
60793.19300085648	23.798	0.185	r
60793.197317164355	24.417	0.218	g
60793.199321458334	24.237	0.202	g
60793.19981975694	24.247	0.176	g
60793.2023190625	24.254	0.188	g
60795.02516716435	23.612	0.202	r
60795.03062936343	23.829	0.196	r
60795.03208975695	23.996	0.192	r
60795.0340403588	23.868	0.196	r
60795.03453106481	23.937	0.198	r
60795.03502016204	23.612	0.185	r
60795.056069363425	23.968	0.16	r
60795.068243761576	23.983	0.199	r
60795.06876835648	23.889	0.165	r
60795.070718055555	23.992	0.18	r
60795.07269936342	23.794	0.17	r
60795.07370555556	23.893	0.182	r
60795.09254275463	23.936	0.161	r
60795.09771436342	23.986	0.195	r
60795.10270055556	23.829	0.206	r
60797.0365740625	23.697	0.205	i
60797.042377164355	23.827	0.213	i
60797.055713657406	23.901	0.188	r
60797.05715296296	24.017	0.186	r
60797.05811815972	23.992	0.202	r
60797.05959505787	24.167	0.207	r
60797.060553564814	24.083	0.174	r
60797.06202135417	24.08	0.194	r
60797.0634640625	24.166	0.19	r
60797.0653840625	24.208	0.205	r
60797.068297858794	24.062	0.17	r
60797.07080085648	23.999	0.175	r
60797.07176186342	24.045	0.18	r
60797.07321025463	23.839	0.171	r
60797.07416415509	24.05	0.192	r
60797.07513615741	23.979	0.171	r
60797.075621157404	24.142	0.194	r
60797.076608958334	23.954	0.157	r
60797.07709076389	24.001	0.191	r
60797.07808165509	23.969	0.189	r
60797.07955865741	23.819	0.167	r
60797.08003706019	23.95	0.174	r
60797.082482060185	24.195	0.209	r
60797.08296266204	23.914	0.178	r
60797.08961436342	24.173	0.163	g
60797.091053854165	24.073	0.157	g
60797.092498460646	24.479	0.209	g
60797.093455462964	24.421	0.203	g
60797.09442395833	24.385	0.206	g
60797.096359560186	24.309	0.196	g
60797.09683826389	24.411	0.19	g
60797.10022266204	24.055	0.136	g
60797.10071115741	24.506	0.194	g
60797.101671261575	24.379	0.186	g
60797.10417576389	24.515	0.207	g
60797.10659076389	24.368	0.203	g
60797.10707456018	24.39	0.194	g
60797.11142436343	24.557	0.213	g
60797.11337576389	24.208	0.18	g
60797.113854953706	24.046	0.162	g
60797.11625346065	24.477	0.205	g
60797.12167315972	24.349	0.161	g
60797.12655335648	24.469	0.215	g
60797.13096675926	24.346	0.219	g
60797.13144895833	24.295	0.184	g
60797.132505960646	24.33	0.219	g
60798.03657885417	23.168	0.21	i
60798.04419876157	23.55	0.204	r
60798.049075856485	23.59	0.208	r
60798.07601665509	23.375	0.169	r
60798.07845956019	23.585	0.214	r
60798.08827385417	23.669	0.216	r
60798.088755763885	23.666	0.21	r
60798.08972686343	23.77	0.213	r
60798.108903761575	23.896	0.184	g
60798.110360659724	23.947	0.194	g
60798.12259716435	24.199	0.216	g
60798.13093535879	24.027	0.198	g
60799.083993657405	23.803	0.168	r
60799.08498846065	23.82	0.198	r
60799.08891106481	23.578	0.157	r
60799.091341354164	23.719	0.167	r
60799.09434145833	23.888	0.222	r
60799.09533966435	23.639	0.202	r
60799.098870856484	23.856	0.203	r
60799.102889664355	23.597	0.183	r
60799.10482486111	23.872	0.203	r
60799.106282256944	23.623	0.17	r
60799.107274664355	23.744	0.184	r
60799.10775186343	23.735	0.186	r
60799.10871606482	23.442	0.164	r
60799.110164363425	23.785	0.202	r
60799.11512106482	23.9	0.192	r
60799.116083657405	23.746	0.172	r
60799.117556655096	23.98	0.215	r
60799.120927662036	23.89	0.178	r
60799.12192055555	23.845	0.204	r
60799.12485115741	23.806	0.201	r
60799.126800555554	23.619	0.161	r
60799.12835706019	23.763	0.164	r
60799.12986915509	23.817	0.171	r
60799.130825555556	24.086	0.214	r
60799.13231626157	23.943	0.187	r
60799.13671986111	24.008	0.199	r
60799.138160462964	23.718	0.167	r
60799.14579055556	23.958	0.168	g
60799.14676686343	24.185	0.187	g
60799.1501324537	24.294	0.186	g
60799.1540965625	24.161	0.18	g
