mjd	phase angle	mag	rmsmag	band
60790.118846157406	15.843016504402359	23.128	0.112	r
60790.1198728588	15.843554704388303	23.173	0.112	r
60790.1203753588	15.843823722758966	23.378	0.131	r
60790.12139645834	15.84436832328353	23.435	0.167	r
60790.122444155095	15.844933104680358	23.276	0.124	r
60790.132206064816	15.850093548210555	23.331	0.117	r
60790.132723159724	15.850359071642742	23.101	0.116	r
60790.13375065972	15.850901536057705	23.433	0.124	r
60790.13617025463	15.852162954060415	24.033	0.174	g
60790.1377149537	15.852981696523068	23.79	0.126	g
60790.13875005787	15.853553285182693	24.048	0.155	g
60790.14126815972	15.854875517095593	23.933	0.122	g
60790.17847115741	15.874536860036459	23.609	0.134	g
60790.180868055555	15.87580304030331	23.308	0.188	i
60790.18137706019	15.87604930619945	23.042	0.138	i
60790.1826790625	15.876744563620734	23.113	0.147	i
60790.18377085648	15.877283444848931	23.154	0.185	i
60790.18797385417	15.87953641746812	23.182	0.175	i
60790.18904986111	15.880079964779284	23.299	0.181	i
60793.1355990625	17.424219063947398	23.882	0.13	g
60793.1360865625	17.42449834809822	23.878	0.165	g
60793.137054363426	17.424958938428798	24.075	0.162	g
60793.13803065972	17.425486838291192	23.996	0.152	g
60793.13851606481	17.425761965123694	23.857	0.132	g
60793.139491354166	17.42626056566005	24.043	0.166	g
60793.14047425926	17.426794221527835	23.818	0.138	g
60793.14095516204	17.427034904317015	23.881	0.164	g
60793.14193525463	17.427541356483857	23.888	0.13	g
60793.142930462964	17.42805779353931	24.12	0.153	g
60793.143418761574	17.428327364693722	23.812	0.138	g
60793.18356665509	17.449341107389174	23.511	0.163	r
60793.184043263886	17.44962307088124	23.33	0.143	r
60793.18501516204	17.450132961430544	23.525	0.138	r
60793.1865253588	17.45091995056157	23.366	0.123	r
60793.187517858794	17.451438673879768	23.304	0.118	r
60793.19100565972	17.453258424494052	23.65	0.163	r
60793.19200236111	17.453786545711615	23.474	0.143	r
60793.19300085648	17.454320295019123	23.636	0.152	r
60793.19351395834	17.45459063497573	23.254	0.121	r
60793.19449115741	17.45506021649369	23.555	0.159	r
60793.196798460645	17.456300751564527	24.092	0.172	g
60793.19832956018	17.457106420260025	23.951	0.155	g
60793.199321458334	17.457620983443565	23.842	0.127	g
60793.19981975694	17.457879851898557	23.813	0.128	g
60793.20083395833	17.458437918584675	23.982	0.149	g
60793.201834155094	17.458941632404297	23.865	0.142	g
60793.2023190625	17.459173380741134	23.893	0.15	g
60793.20333736111	17.459743488452506	23.65	0.13	g
60793.2043240625	17.460272187617885	23.806	0.143	g
60795.03011165509	18.409740674983485	23.204	0.112	r
60795.031108958334	18.410273379305405	23.306	0.112	r
60795.03257805556	18.41103168940061	23.141	0.085	r
60795.033550960645	18.411556236222957	23.206	0.104	r
60795.0340403588	18.41178552657634	23.258	0.106	r
60795.03502016204	18.412319943204945	23.33	0.125	r
60795.03599975695	18.412825434069635	23.116	0.083	r
60795.03649755787	18.413097115502506	23.303	0.11	r
60795.06772796296	18.429351019264665	23.229	0.094	r
60795.068243761576	18.429623810005438	23.223	0.098	r
60795.06925565972	18.43015457798239	23.079	0.087	r
60795.07023085648	18.430645834399176	23.409	0.127	r
60795.070718055555	18.430900276650494	23.184	0.087	r
60795.07172695602	18.43142746375554	23.184	0.088	r
60795.07269936342	18.431935633020473	23.236	0.093	r
60795.07321585648	18.432214360358095	23.43	0.131	r
60795.09254275463	18.442282983126432	23.107	0.075	r
60795.10168895833	18.447051325168673	23.004	0.138	r
60795.102194259256	18.44730300589245	23.241	0.157	r
60795.14708055556	18.47067804515098	23.658	0.113	g
60795.148545358796	18.471454269684596	23.722	0.11	g
