mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60787.11028865741	11.466532675036483	2.4386238854054048	1.5094711205106128	22.597	0.087	i
60787.11233025463	11.467357607416371	2.4386214511167497	1.5094797519423686	22.66	0.093	i
60787.1129465625	11.467606647043759	2.4386207162658886	1.5094823568432862	22.562	0.087	i
60787.115488159725	11.468633728321699	2.4386176858118245	1.5094930957374124	22.421	0.07	i
60787.118035162035	11.469663100084928	2.438614648920345	1.509503851891662	22.842	0.121	i
60787.11915486111	11.470115661512665	2.438613313860479	1.509508578704281	22.463	0.084	i
60787.124827962965	11.47240895787692	2.4386065496262965	1.5095325115155482	22.643	0.094	i
60787.12738085648	11.473441129037871	2.4386035057342377	1.5095432725748001	22.533	0.081	i
60787.128398657405	11.473852674136987	2.4386022921811814	1.5095475613684097	22.544	0.082	i
60787.12941436343	11.474263391543476	2.4386010811271133	1.5095518404984054	22.579	0.09	i
60787.12992315972	11.474469139089168	2.4386004744755936	1.5095539837255938	22.48	0.075	i
60787.13196466435	11.475294734453703	2.4385980403378156	1.5095625811683482	22.675	0.101	i
60787.132473564816	11.475500548981232	2.4385974335637948	1.5095647237968608	22.535	0.083	i
60787.13354326389	11.475933184010328	2.438596158136327	1.5095692268966328	22.67	0.099	i
60790.11832945602	12.678803245060228	2.4350419552689333	1.5234459493531982	22.827	0.091	r
60790.11935736111	12.679206218862987	2.4350407329006596	1.5234509503429223	22.644	0.08	r
60790.1203753588	12.679605327738704	2.435039522314703	1.523455902281949	22.688	0.064	r
60790.120883564814	12.679804578381926	2.4350389179651946	1.5234583740783278	22.921	0.109	r
60790.12139645834	12.680005671611967	2.4350383080418596	1.523460868460566	22.781	0.11	r
60790.122444155095	12.680416463767333	2.4350370621407644	1.5234659631221612	22.866	0.103	r
60790.12295456018	12.68061659615747	2.435036455177573	1.5234684447602032	22.658	0.064	r
60790.12346195602	12.680815553708381	2.4350358517924717	1.5234709115629272	22.679	0.092	r
60790.12398135417	12.681019222448414	2.435035234135187	1.523473436502212	22.605	0.073	r
60790.132206064816	12.684245032972845	2.435025453522624	1.5235133908627863	22.738	0.071	r
60790.132723159724	12.684447887805929	2.435024838609138	1.5235159010858677	22.793	0.074	r
60790.13375065972	12.684850989442724	2.435023616738204	1.5235208884570703	22.906	0.087	r
60790.13667755787	12.68599936988811	2.4350201361694013	1.523535090958709	23.374	0.086	g
