mjd	mag_val	mag_band
60797.101671122684	24.45	g
60797.120221122685	23.99	g
60797.121188125	24.58	g
60793.138516122686	24.21	g
60793.144401122685	23.96	g
60798.134443125	23.98	g
60798.11717412037	23.94	g
60790.138750115744	24.38	g
60797.100223125	24.45	g
60795.15446511574	24.51	g
60797.09105412037	24.26	g
60797.12997412037	24.24	g
60795.15593112269	24.08	g
60797.12804011574	24.47	g
60790.141268125	24.17	g
60793.13705412037	24.04	g
60797.11094211806	24.00	g
60797.12949511574	24.16	g
60793.19982011574	24.25	g
60795.14708112268	24.22	g
60793.19731711806	24.12	g
60797.096838125	24.19	g
60795.15200412037	23.98	g
60797.11674211806	24.09	g
60797.100711122686	24.48	g
60797.09345511574	24.46	g
60797.124098125	24.15	g
60797.116253125	24.29	g
60790.17847112269	24.10	g
60797.125583125	24.05	g
60795.15742011574	24.27	g
60793.20183412037	24.05	g
60798.114266122684	24.02	g
60797.12264511574	24.18	g
60798.122597118054	23.87	g
60797.10465412037	24.27	g
60793.13949112268	24.13	g
60797.10417612269	24.19	g
60798.12899211806	24.07	g
60797.11529112268	24.36	g
60797.10707511574	24.07	g
60798.129468125	23.92	g
60797.131449120374	24.14	g
60797.09442412037	24.46	g
60797.10322011574	24.21	g
60799.15112511574	24.11	g
60795.15248912037	24.38	g
60797.11577412037	24.31	g
60797.12851711806	24.47	g
60795.14954511574	24.11	g
60799.15758912037	24.31	g
60797.118753125	24.01	g
60798.13093511574	24.06	g
60795.167118125	23.99	g
60790.17742011574	24.12	g
60790.14024112269	24.38	g
60790.136170115744	24.44	g
60795.156938125	24.24	g
60797.08961412037	24.24	g
60799.150132118055	24.24	g
60795.15297711806	24.37	g
60795.16661412037	23.98	g
60793.20432412037	24.01	g
60795.146578125	24.40	g
60797.12361011574	24.11	g
60793.205853125	24.18	g
60790.13771511574	24.27	g
60793.14293011574	23.96	g
60795.14756612269	24.44	g
60797.097803125	24.12	g
60797.11385511574	24.06	g
60797.08865511574	24.33	g
60793.14341912037	24.37	g
60795.150031122685	24.37	g
60798.02335412037	23.07	i
60787.11915511574	23.45	i
60797.022848125	23.47	i
60787.129923125	23.16	i
60787.112947118054	23.55	i
60797.033545115744	23.78	i
60799.03884612268	23.35	i
60787.12839912037	23.68	i
60797.03511912037	23.52	i
60797.03851412037	23.68	i
60797.04288011574	23.71	i
60797.038033125	23.46	i
60787.133543125	23.44	i
60797.04437112268	23.48	i
60797.026227118055	23.49	i
60787.11497912037	23.42	i
60797.03994912037	23.43	i
60797.023327118055	23.53	i
60790.18905011574	23.32	i
60790.190611122685	23.45	i
60797.03208011574	23.62	i
60797.02380711806	23.70	i
60787.11395912037	23.44	i
60787.12941412037	23.30	i
60797.03405511574	23.91	i
60797.02183912037	23.46	i
60797.050783125	23.80	i
60797.02671612269	23.71	i
60798.03657912037	23.12	i
60787.11233011574	23.52	i
60797.07709112269	24.05	r
60799.084988125	23.92	r
60797.06250412037	23.76	r
60793.19449112268	23.83	r
60797.07808211805	23.89	r
60799.13082612269	24.07	r
60793.19300112269	23.87	r
60797.07321011574	23.88	r
60797.07513612269	23.67	r
60795.070718125	23.78	r
60799.11512112268	23.88	r
60797.082963125	23.89	r
60799.13231612268	23.80	r
60795.071727118055	23.91	r
60797.06538412037	24.14	r
60799.13474112268	24.03	r
60797.058118125	23.75	r
60797.066352118054	23.57	r
60799.113618125	23.80	r
60797.068298125	23.92	r
60795.032578125	23.80	r
60797.063948125	23.94	r
60798.09118011574	23.67	r
60797.08152011574	23.73	r
60798.06572711805	23.47	r
60797.05619711806	23.59	r
60793.19351412037	23.66	r
60799.126801122686	23.83	r
60799.13621011574	23.39	r
60797.06491112269	23.70	r
60797.072242118054	23.90	r
60790.13375112269	23.85	r
60799.08794612269	23.88	r
60798.05393412037	23.38	r
60790.119873125	23.87	r
60795.068768125	23.92	r
60797.067821122684	24.02	r
60799.088911122686	23.72	r
60799.11948612268	23.97	r
60790.12037511574	23.94	r
60799.09988112268	23.67	r
60795.07123912037	23.76	r
60797.07416412037	23.92	r
60797.054756122685	23.92	r
60797.08003711805	23.84	r
60799.10384912037	23.85	r
60799.110643125	23.84	r
60798.074073125	23.49	r
60795.03160112268	24.01	r
60799.08549511574	23.92	r
60799.128357118054	23.85	r
60797.07080112268	23.52	r
60799.122415115744	23.65	r
60797.07562112268	23.98	r
60799.11755711806	23.95	r
60797.077601122684	23.73	r
60797.061048125	23.77	r
60798.071651122686	23.54	r
60795.05606912037	23.77	r
60799.09183612269	23.68	r
60797.07272412037	23.73	r
60798.05793711806	23.57	r
60795.07269912037	23.68	r
60797.08248211806	23.78	r
60799.10482511574	23.82	r
60797.07955912037	23.86	r
60797.084026122684	23.68	r
60790.11781912037	23.64	r
60798.08091211806	23.58	r
60797.081013125	24.01	r
60799.08988511574	23.81	r
60797.06055412037	23.69	r
60799.09134112269	23.73	r
60799.129358125	23.71	r
60795.06925612268	23.93	r
60793.18452112268	23.85	r
60795.067728125	23.71	r
60797.07176211805	23.99	r
60795.03209011574	23.69	r
60790.118846122685	23.63	r
60795.06974511574	23.77	r
60797.05959511574	23.80	r
60797.06685912037	24.00	r
60798.058897118055	23.60	r
60799.12387412037	23.59	r
60799.092837118056	23.73	r
60795.092543125	24.05	r
60797.07032011574	23.80	r
60797.062983125	23.87	r
