mjd	phase angle	mag	rmsmag	band
60793.1360865625	17.584814065279527	24.253	0.211	g
60793.137054363426	17.585324369372913	24.192	0.177	g
60793.13851606481	17.586122028661382	24.11	0.166	g
60793.139491354166	17.586596806502385	24.153	0.177	g
60793.14047425926	17.587095720820408	24.019	0.168	g
60793.14095516204	17.587352109514317	24.157	0.185	g
60793.14193525463	17.587842654509203	24.128	0.158	g
60793.142930462964	17.588364013412146	24.042	0.14	g
60793.144401157406	17.589084421883275	23.9	0.139	g
60793.184043263886	17.609616338822136	23.695	0.193	r
60793.18501516204	17.610160055678207	23.723	0.163	r
60793.1860074537	17.610656700317083	23.876	0.2	r
60793.201834155094	17.61885962939383	24.162	0.183	g
60795.03011165509	18.55824814080827	23.739	0.187	r
60795.031108958334	18.55880144275418	23.866	0.189	r
60795.033550960645	18.560026056745606	23.979	0.214	r
60795.06772796296	18.577662193200958	23.848	0.163	r
60795.068243761576	18.577921488896678	23.729	0.159	r
60795.06925565972	18.57843545169596	23.957	0.193	r
60795.070718055555	18.579191301193866	24.066	0.198	r
60795.07172695602	18.579710633111112	23.681	0.142	r
60797.02380675926	19.577385629808234	23.426	0.176	i
60797.03063516204	19.580918643107793	23.819	0.215	i
60797.033068854165	19.582146599095932	23.885	0.203	i
60797.039471261574	19.585397333991008	23.695	0.213	i
60797.06007535879	19.59595238044339	24.0	0.184	r
60797.06635175926	19.599183565727998	24.111	0.194	r
60797.06734466435	19.59969604719774	24.177	0.195	r
60797.07709076389	19.604703892064432	23.876	0.153	r
60797.07760085648	19.604964843873187	23.855	0.163	r
60797.078565358795	19.605428927779375	23.775	0.143	r
60797.08200335648	19.607195774911194	23.992	0.185	r
60797.09201576389	19.612322896350612	24.518	0.205	g
60797.10022266204	19.616541666183345	24.57	0.203	g
60797.11142436343	19.622268479515196	24.386	0.198	g
60797.11337576389	19.62326412087572	24.289	0.189	g
60797.11625346065	19.624724709426047	24.502	0.208	g
60797.1172224537	19.625267210964097	24.261	0.206	g
60797.11875346065	19.62604007384445	24.146	0.18	g
60797.11973456018	19.62649574232732	24.341	0.202	g
60797.120706354166	19.627008697962445	24.435	0.203	g
60797.12215945602	19.627712027658628	24.413	0.212	g
60797.12313206019	19.628275336701073	24.477	0.211	g
60797.1245890625	19.629010534261738	24.184	0.158	g
60799.0284990625	20.594867229260963	23.524	0.207	i
60799.0894015625	20.625783504909375	23.759	0.185	r
60799.1033765625	20.632889433994748	23.884	0.207	r
60799.10580626158	20.634146193229906	23.671	0.22	r
60799.11064346065	20.636614650351028	23.994	0.205	r
60799.13034956018	20.646621972548363	23.663	0.158	r
60799.13183106481	20.647391723833593	23.848	0.181	r
60799.132796157406	20.647856720002725	23.99	0.205	r
60799.15112516204	20.65715934838636	24.299	0.182	g
