mjd	mag_val	mag_band
60797.09105412037	24.44	g
60793.20484412037	24.09	g
60795.14905211805	24.42	g
60793.14341912037	24.30	g
60793.19783612269	24.41	g
60795.15297711806	24.41	g
60795.15396711806	24.43	g
60797.127551122685	24.41	g
60793.14095511574	24.19	g
60793.14144412037	24.44	g
60793.202843125	24.08	g
60790.14074511574	24.11	g
60797.02428612269	23.64	i
60790.18428112268	23.52	i
60797.04629711805	23.65	i
60797.041410115744	23.67	i
60797.03657412037	23.60	i
60797.02671612269	23.50	i
60790.18956112269	23.48	i
60790.180328125	23.54	i
60797.02918711805	23.45	i
60797.04725412037	23.65	i
60795.06723511574	24.09	r
60795.06974511574	23.94	r
60797.08052511574	23.98	r
60797.05619711806	23.99	r
60797.082963125	24.07	r
60795.092543125	24.11	r
60797.065866122684	23.97	r
60797.06346412037	24.00	r
60795.05606912037	23.84	r
60795.03062912037	23.75	r
60797.08152011574	24.17	r
60795.09771412037	23.93	r
60790.12037511574	23.77	r
60793.18306511574	23.68	r
60790.132723125	23.78	r
60797.068298125	24.07	r
60797.07808211805	23.97	r
60790.13322912037	23.78	r
60790.123462118056	23.71	r
60793.19250711805	23.89	r
60797.07660912037	24.29	r
60790.11832912037	23.76	r
