mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60793.13511145833	23.92544959249772	1.4980793732645434	0.5665963666942561	23.937	0.156	g
60793.13656775463	23.925956348642465	1.4980854192593154	0.5666069849832068	23.729	0.129	g
60793.184043263886	23.94256673809535	1.4982825481296425	0.5669523814373603	23.299	0.136	r
60793.19150346065	23.945194017149994	1.4983135295337182	0.5670065458421949	23.332	0.141	r
60793.197317164355	23.947244892088253	1.498337674171539	0.5670487403529927	24.104	0.169	g
60793.19783606481	23.947428090679914	1.4983398292338679	0.5670525057990872	23.755	0.133	g
60793.2023190625	23.949011840796288	1.4983584479946468	0.5670850331771302	24.062	0.169	g
60793.20284346065	23.949197219867788	1.4983606259552755	0.5670888376272812	23.723	0.131	g
60793.20484445602	23.949904819902926	1.498368936662617	0.5671033538183927	24.186	0.199	g
60793.20536186342	23.950087847529105	1.4983710856198265	0.5671071071410149	23.73	0.151	g
60795.0355124537	24.596302301342206	1.506012623606514	0.5809523397777603	23.202	0.113	r
60795.03649755787	24.596627792156095	1.5060167581808905	0.5809598632403964	23.254	0.12	r
60795.056069363425	24.60309920402704	1.506098907588663	0.581109121851659	23.306	0.095	r
60795.067234953705	24.606796149514082	1.5061457773163132	0.5811940925235834	23.611	0.146	r
60795.068243761576	24.60713038617076	1.5061500121254234	0.5812017632941376	23.45	0.139	r
60795.06876835648	24.607304209482763	1.5061522142981973	0.5812057518000409	23.458	0.12	r
60795.06974466435	24.60762773504161	1.5061563127126907	0.5812131739462556	23.283	0.114	r
60795.07123925926	24.608123081007268	1.5061625868727915	0.5812245343814861	23.497	0.134	r
60795.07221305556	24.608445869189218	1.5061666748013438	0.5812319350119798	23.518	0.135	r
60795.07321585648	24.60877831169532	1.506170884512501	0.5812395550773253	23.072	0.102	r
60795.07370555556	24.60894066856002	1.5061729402528785	0.5812432758247968	23.408	0.125	r
60795.09254275463	24.615194153941314	1.506252022497143	0.581386223491592	23.082	0.09	r
60795.09771436342	24.616914041622806	1.5062737353738198	0.5814254097842425	23.252	0.094	r
60795.10069865741	24.617907161686507	1.506286265143717	0.5814480112391474	23.217	0.174	r
60795.10119706018	24.618073069185876	1.5062883577439277	0.5814517850948399	23.124	0.151	r
60795.102194259256	24.61840505684606	1.506292544613856	0.5814593351178424	23.302	0.161	r
60795.10270055556	24.618573634455338	1.5062946703732238	0.581463168062924	23.352	0.116	r
60795.14657815972	24.633244847616613	1.5064789196780843	0.5817945467764133	24.011	0.154	g
60795.147565555555	24.633576547171533	1.506483066434411	0.5818019874867651	24.146	0.169	g
60795.148054861114	24.633740948671363	1.506485121372549	0.5818056745013505	24.05	0.127	g
60795.14905206019	24.63407605375959	1.5064893093333236	0.5818131881163883	23.969	0.118	g
60795.15052096065	24.634569810977162	1.506495478351642	0.5818242546963255	24.119	0.138	g
60795.151510358795	24.634902481454564	1.5064996336062764	0.5818317079633548	24.238	0.158	g
60795.152488657404	24.635231494343007	1.5065037422678902	0.5818390770068733	23.865	0.132	g
60795.15297725694	24.6353958438149	1.5065057942993478	0.5818427571645292	23.885	0.134	g
60795.153967060185	24.635728839222143	1.506509951312146	0.5818502119547017	23.919	0.123	g
60795.15494915509	24.63605931715666	1.5065140759748017	0.5818576080921161	23.925	0.145	g
60795.155432060186	24.636221843971455	1.5065161041177628	0.5818612446242823	23.99	0.135	g
60795.15644216435	24.63656186450585	1.5065203464494321	0.5818688507852017	23.805	0.11	g
60795.157420358795	24.636891220417088	1.506524454785516	0.5818762160757804	23.921	0.134	g
60795.15793016204	24.637062900313705	1.50652659592828	0.5818800544039359	23.847	0.116	g
60797.021351655094	25.269783017263343	1.5143927585155812	0.596435499336768	22.864	0.123	i
60797.021838761575	25.26993717425149	1.5143948250409895	0.5964393465039579	23.239	0.151	i
60797.02284755787	25.270256442080896	1.5143991048284615	0.5964473131527499	23.002	0.115	i
60797.02380675926	25.270560025501972	1.5144031742306558	0.5964548871037864	23.167	0.131	i
60797.024286354164	25.270711819817127	1.5144052089147513	0.5964586736552768	23.449	0.166	i
60797.02526956019	25.27102301941663	1.51440938018905	0.5964664355884984	23.052	0.12	i
60797.02671626157	25.27148094692359	1.514415517892771	0.5964778546701691	23.094	0.108	i
60797.02870606481	25.272110834437296	1.514423959808758	0.5964935568189492	23.399	0.163	i
60797.03111365741	25.27287306141753	1.514434174350359	0.5965125501012802	23.337	0.127	i
60797.032566354166	25.2733330234706	1.514440337678247	0.5965240072474993	23.502	0.148	i
60797.034055358796	25.27380452170633	1.514446655097354	0.5965357483705197	23.448	0.133	i
60797.035119155094	25.274141402317923	1.5144511685097568	0.596544135163393	23.373	0.155	i
60797.0365740625	25.274602175738053	1.5144573413469131	0.5965556034319628	23.768	0.21	i
60797.037545162035	25.274909750212085	1.5144614615259684	0.5965632568288841	23.315	0.143	i
60797.03851436343	25.27521674344702	1.514465573671029	0.5965708942505719	23.376	0.168	i
60797.03899376158	25.27536859965358	1.5144676076766228	0.5965746715889207	23.261	0.141	i
60797.039948564816	25.275671062780784	1.514471658765182	0.5965821940747252	23.412	0.156	i
60797.04140956019	25.276133917889865	1.5144778575879234	0.5965937027323565	23.206	0.134	i
60797.042377164355	25.276440490418114	1.5144819630395836	0.5966013235565303	23.336	0.129	i
60797.04386826389	25.27691297016604	1.5144882896733738	0.5966130654591155	23.63	0.213	i
60797.0448578588	25.277226570530722	1.514492488484596	0.5966208568747168	22.996	0.091	i
60797.04582275463	25.27753236803214	1.514496582519377	0.5966284528226298	23.537	0.158	i
60797.04629665509	25.277682566902666	1.5144985932787005	0.5966321831482971	23.355	0.129	i
60797.04725445602	25.27798615221281	1.5145026572409448	0.5966397217848602	23.248	0.131	i
60797.05030326389	25.278952672761278	1.5145155935087535	0.5966637118095168	23.297	0.138	i
60797.05078275463	25.279104702903872	1.5145176280334656	0.5966674838644845	23.774	0.195	i
60797.05475565972	25.280364640364944	1.5145344856530134	0.5966987286376706	23.682	0.135	r
60797.05619736111	25.280821971796474	1.5145406030900943	0.5967100627741465	23.688	0.139	r
60797.05715296296	25.281125141342415	1.5145446579313666	0.5967175741812636	23.577	0.125	r
60797.058633657405	25.281594958892292	1.5145509409058457	0.5967292111617238	23.674	0.152	r
60797.05959505787	25.281900046130797	1.5145550204033758	0.5967367657233364	23.74	0.136	r
60797.061048159725	25.282361228613734	1.5145611863731805	0.5967481822135806	23.622	0.113	r
60797.06202135417	25.282670140338304	1.5145653159696586	0.596755827034282	23.612	0.123	r
60797.06298335648	25.282975532634993	1.5145693980946724	0.5967633829846677	23.327	0.094	r
60797.0634640625	25.28312814758516	1.5145714379121378	0.5967671582873532	23.782	0.129	r
60797.06442966435	25.283434733420563	1.5145755353444397	0.5967747410928239	23.232	0.09	r
60797.0653840625	25.283737795735014	1.5145795852529795	0.596782234981717	23.696	0.128	r
60797.06586576389	25.28389076958212	1.5145816293208403	0.5967860169290522	23.687	0.126	r
60797.06685865741	25.284206110426304	1.5145858426150927	0.5967938116229197	23.297	0.083	r
60797.068297858794	25.284663264855844	1.5145919498315148	0.5968051082820324	23.277	0.086	r
60797.06936555556	25.285002465225272	1.5145964806068026	0.5968134875628331	23.53	0.14	r
60797.0703203588	25.28530583857824	1.5146005323413916	0.5968209798931986	23.577	0.165	r
60797.07080085648	25.285458522809638	1.5146025713541047	0.5968247500081856	23.402	0.1	r
60797.072723958336	25.286069707015184	1.5146107321693172	0.5968398368845257	23.628	0.147	r
60797.07416415509	25.286527519030216	1.5146168437986052	0.5968511329391952	23.556	0.123	r
