mjd	mag	rmsmag	band
60787.11028865741	22.716	0.086	i
60787.11079675926	22.677	0.092	i
60787.111309155094	22.776	0.11	i
60787.11233025463	22.882	0.116	i
60787.1129465625	22.955	0.103	i
60787.11345665509	23.133	0.141	i
60787.11395915509	22.797	0.097	i
60787.11446835648	22.77	0.101	i
60787.11497945602	23.027	0.116	i
60787.115488159725	22.959	0.104	i
60787.115997361114	22.916	0.126	i
60787.11650885417	22.982	0.134	i
60787.11752716435	22.97	0.122	i
60787.118035162035	22.717	0.097	i
60787.11915486111	22.702	0.099	i
60787.12431576389	22.744	0.124	i
60787.124827962965	22.697	0.083	i
60787.12533436342	22.66	0.086	i
60787.125841863424	22.701	0.102	i
60787.12636576389	22.75	0.121	i
60787.126874953705	22.66	0.101	i
60787.12738085648	22.441	0.067	i
60787.128398657405	22.549	0.08	i
60787.12941436343	22.711	0.097	i
60787.12992315972	22.917	0.108	i
60787.13094915509	22.81	0.096	i
60787.13196466435	22.806	0.105	i
60787.132473564816	22.883	0.097	i
60787.13354326389	22.862	0.11	i
60790.11781895833	23.167	0.105	r
60790.11832945602	22.876	0.103	r
60790.1203753588	23.131	0.16	r
60790.12295456018	23.289	0.153	r
60790.12346195602	23.263	0.186	r
60790.132723159724	23.066	0.109	r
60790.13617025463	23.888	0.13	g
60790.13667755787	23.756	0.117	g
60790.1377149537	23.858	0.146	g
60790.14800275463	23.813	0.148	g
60790.148509259256	23.637	0.095	g
60790.17741975695	23.626	0.102	g
60790.17847115741	23.634	0.14	g
60790.18137706019	23.2	0.185	i
60790.184280960646	22.725	0.104	i
60790.18532755787	22.641	0.124	i
60790.18642106481	22.728	0.142	i
60790.18692346065	22.806	0.131	i
60790.18797385417	22.782	0.109	i
60790.18904986111	22.821	0.144	i
60790.18956115741	22.768	0.119	i
60793.1360865625	23.944	0.152	g
60793.13656775463	23.571	0.116	g
60793.14095516204	23.564	0.11	g
60793.184043263886	23.083	0.109	r
60793.19351395834	23.336	0.133	r
60793.196798460645	23.927	0.164	g
60793.197317164355	23.856	0.141	g
60793.2023190625	24.164	0.182	g
60793.2043240625	23.688	0.14	g
60793.20484445602	23.849	0.144	g
60795.03160115741	22.931	0.105	r
60795.03649755787	23.027	0.113	r
60795.068243761576	23.069	0.106	r
60795.07321585648	23.264	0.127	r
60795.102194259256	22.804	0.109	r
60797.03111365741	23.354	0.148	i
60797.04582275463	23.34	0.149	i
60797.0653840625	23.128	0.088	r
60797.07955865741	23.241	0.11	r
60797.08003706019	23.624	0.14	r
60797.09878255787	24.135	0.186	g
60797.09926296296	23.994	0.138	g
60797.11337576389	23.854	0.145	g
60797.128516655095	24.057	0.155	g
