mjd	mag_val	mag_band
60793.136568125	24.44	g
60797.10659112268	24.32	g
60798.129468125	24.01	g
60793.14341912037	24.60	g
60793.14144412037	24.39	g
60797.09105412037	24.14	g
60793.201338125	24.25	g
60793.200338125	24.05	g
60797.121673125	24.59	g
60795.15396711806	24.47	g
60795.15151011574	24.54	g
60793.14390412037	24.52	g
60797.121188125	24.41	g
60795.15248912037	24.47	g
60798.13191912037	24.02	g
60797.10417612269	24.28	g
60795.15297711806	24.39	g
60795.150031122685	24.46	g
60793.13511112268	24.06	g
60793.13608711806	24.34	g
60795.15494912037	24.36	g
60797.04093511574	23.69	i
60797.02428612269	23.61	i
60797.028706122685	23.53	i
60799.09988112268	23.74	r
60797.05571412037	24.04	r
60795.06824412037	23.82	r
60798.066211122685	23.50	r
60798.06572711805	23.48	r
60797.05619711806	23.95	r
60797.054756122685	23.88	r
60793.184043125	23.76	r
60799.09434112268	23.68	r
60799.126801122686	23.57	r
60797.062983125	23.98	r
60797.077601122684	23.98	r
60799.10968112268	23.88	r
60798.05103412037	23.37	r
60799.08988511574	23.71	r
60797.07955912037	24.13	r
60795.092543125	24.07	r
60795.073216122684	23.96	r
60795.05606912037	24.20	r
60799.11704011574	23.74	r
60793.18306511574	23.91	r
60797.07321011574	23.82	r
60793.18551112268	23.75	r
60798.071651122686	23.34	r
60797.07272412037	23.91	r
60797.06055412037	23.70	r
