mjd	mag	rmsmag	band
60797.02380675926	22.367	0.07	i
60797.02622675926	22.25	0.066	i
60797.028225358794	22.322	0.073	i
60797.02966876158	22.306	0.062	i
60797.03354505787	22.297	0.049	i
60797.03851436343	22.268	0.065	i
60797.04093456019	22.281	0.062	i
60797.042879953704	22.455	0.069	i
60797.04335706018	22.434	0.064	i
60797.04437076389	22.558	0.085	i
60797.05030326389	22.496	0.067	i
60797.055713657406	22.539	0.063	r
60797.05811815972	22.571	0.062	r
60797.060553564814	22.573	0.049	r
60797.0625040625	22.56	0.05	r
60797.06298335648	22.56	0.05	r
60797.0639478588	22.504	0.05	r
60797.06782055555	22.496	0.044	r
60797.072723958336	22.533	0.057	r
60797.07513615741	22.37	0.045	r
60797.07709076389	22.481	0.046	r
60797.07760085648	22.554	0.051	r
60797.082482060185	22.543	0.051	r
60797.09201576389	23.028	0.064	g
60797.09442395833	23.013	0.064	g
60797.096359560186	22.842	0.052	g
60797.09683826389	22.977	0.057	g
60797.101671261575	22.903	0.054	g
60797.109007453706	23.135	0.078	g
60797.11142436343	23.153	0.07	g
60797.11625346065	23.038	0.062	g
60797.1172224537	23.006	0.079	g
60797.12118805556	23.164	0.071	g
60797.123610462964	23.024	0.065	g
60797.126062662035	23.149	0.077	g
60797.130467662035	23.077	0.085	g
60797.13096675926	22.958	0.073	g
60797.13193596065	23.024	0.066	g
60798.012517256946	22.272	0.098	i
60798.01398425926	22.383	0.117	i
60798.01544466435	22.447	0.119	i
60798.015929664354	22.331	0.116	i
60798.01691505787	22.394	0.112	i
60798.02083716435	22.556	0.121	i
60798.02480986111	22.326	0.114	i
60798.02528725695	22.251	0.107	i
60798.02768925926	22.505	0.139	i
60798.0296540625	22.531	0.133	i
60798.03013936343	22.244	0.107	i
60798.03502335648	22.467	0.118	i
60798.04419876157	22.373	0.078	r
60798.04664755787	22.527	0.075	r
60798.04859175926	22.571	0.079	r
60798.049075856485	22.428	0.081	r
60798.05003346065	22.69	0.093	r
60798.053933854164	22.686	0.106	r
60798.05645005787	22.499	0.091	r
60798.058896863426	22.506	0.085	r
60798.06329706019	22.493	0.076	r
60798.0637790625	22.586	0.098	r
60798.06475395834	22.526	0.071	r
60798.06865775463	22.563	0.096	r
60798.07117206018	22.513	0.092	r
60798.07358466435	22.551	0.097	r
60798.07797766204	22.704	0.099	r
60798.07845956019	22.444	0.084	r
60798.08335165509	22.629	0.092	r
60798.085868159724	22.442	0.079	r
60798.08827385417	22.433	0.071	r
60798.09070195602	22.521	0.073	r
60798.09263865741	22.608	0.078	r
60798.09311585648	22.624	0.083	r
60798.097968263886	22.556	0.083	r
60798.107463657405	22.829	0.072	g
60798.109881261575	23.114	0.097	g
60798.1123115625	23.037	0.089	g
60798.11717415509	23.159	0.103	g
60798.1181365625	23.082	0.114	g
60798.12211305556	22.919	0.081	g
60798.12454546296	23.025	0.091	g
60798.12554076389	23.141	0.108	g
60798.12702335648	22.991	0.103	g
60798.131434953706	22.927	0.075	g
60798.13191865741	23.109	0.088	g
60798.13290076389	22.962	0.085	g
60799.03095555556	22.46	0.093	i
60799.032896157405	22.437	0.082	i
60799.03339486111	22.485	0.09	i
60799.03440755787	22.319	0.092	i
60799.038335763886	22.216	0.075	i
60799.08498846065	22.526	0.061	r
60799.08988535879	22.522	0.061	r
60799.09183615741	22.551	0.061	r
60799.092355960645	22.558	0.066	r
60799.0973028588	22.61	0.074	r
60799.09828436343	22.656	0.075	r
60799.09988065972	22.547	0.072	r
60799.102375462964	22.697	0.098	r
60799.10482486111	22.523	0.06	r
60799.10676486111	22.554	0.065	r
60799.107274664355	22.532	0.067	r
60799.11159645834	22.539	0.059	r
60799.112077060185	22.567	0.069	r
60799.11303956019	22.588	0.064	r
60799.114615162034	22.479	0.063	r
60799.11704016204	22.533	0.065	r
60799.11948596065	22.579	0.058	r
60799.120443761574	22.622	0.069	r
60799.12192055555	22.587	0.061	r
60799.12628826389	22.475	0.076	r
60799.126800555554	22.482	0.056	r
60799.12778365741	22.618	0.075	r
60799.12935815972	22.603	0.068	r
60799.13183106481	22.581	0.059	r
60799.132796157406	22.532	0.065	r
60799.13374925926	22.494	0.064	r
60799.134261354164	22.469	0.05	r
60799.13523115741	22.596	0.066	r
60799.13671986111	22.612	0.06	r
60799.13767675926	22.54	0.056	r
60799.14531025463	23.042	0.076	g
60799.14627415509	23.097	0.091	g
60799.147246458335	23.137	0.08	g
60799.147740960645	23.115	0.07	g
60799.14965525463	23.149	0.076	g
60799.1501324537	23.041	0.067	g
60799.15112516204	22.971	0.059	g
60799.154579155096	23.14	0.074	g
