mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60787.109270960646	10.258858687952122	2.796420848576007	1.8786574521788062	22.261	0.063	i
60787.11079675926	10.259378822436043	2.796421012253325	1.8786668467409724	22.232	0.06	i
60787.111820162034	10.259727709787292	2.7964211220348565	1.8786731468647682	22.413	0.066	i
60787.1129465625	10.260111725613887	2.7964212428631474	1.8786800800246333	22.253	0.061	i
60787.11345665509	10.260285633337539	2.796421297579802	1.8786832193675433	22.354	0.062	i
60787.11446835648	10.260630566210859	2.796421406101758	1.8786894451890663	22.257	0.06	i
60787.115488159725	10.260978275048155	2.7964215154911036	1.8786957200007288	22.344	0.064	i
60787.115997361114	10.261151895769872	2.7964215701099935	1.8786988527708308	22.208	0.058	i
60787.11701686343	10.261499522855845	2.7964216794645287	1.8787051244326873	22.295	0.072	i
60787.118035162035	10.261846753396641	2.796421788688205	1.8787113878272086	22.382	0.073	i
60787.118650358796	10.262056536822023	2.7964218546739947	1.8787151713923371	22.344	0.073	i
60787.12378716435	10.263808405934467	2.7964224056218514	1.8787467515718015	22.383	0.072	i
60787.12636576389	10.264687961904942	2.7964226821732345	1.8787625963505867	22.35	0.069	i
60787.12788755787	10.265207089640377	2.796422845378477	1.878771944880629	22.347	0.065	i
60787.12890445602	10.265554002501739	2.7964229544339285	1.8787781907750414	22.354	0.069	i
60787.13043505787	10.266076194482656	2.7964231185774873	1.8787875903767923	22.269	0.058	i
60787.132473564816	10.266771723840522	2.7964233371833997	1.8788001062740483	22.3	0.062	i
60787.13298486111	10.266946186219114	2.7964233920128883	1.8788032450022627	22.409	0.066	i
60790.11679915509	11.278563586163274	2.7967360954973945	1.8984923218265932	22.679	0.082	r
60790.11832945602	11.279067120690941	2.7967362521406947	1.898502770579944	22.563	0.067	r
60790.11935736111	11.279405364563459	2.796736357356039	1.8985097879756008	22.617	0.079	r
60790.120883564814	11.279907608169651	2.7967365135735984	1.898520205667891	22.659	0.077	r
60790.12192716435	11.28025105621012	2.7967366203910604	1.898527328108147	22.597	0.074	r
60790.12295456018	11.28058918756119	2.7967367255482167	1.8985343391300553	22.579	0.07	r
60790.12346195602	11.280756185227082	2.7967367774811747	1.8985378013373726	22.507	0.072	r
60790.132723159724	11.283805007494148	2.7967377253088763	1.8986009607193448	22.556	0.062	r
60790.13322856482	11.28397142874919	2.7967377770299624	1.8986044056426847	22.55	0.065	r
60790.13563986111	11.284765486686343	2.796738023786463	1.8986208388999302	23.283	0.082	g
60790.13667755787	11.285107238375597	2.7967381299747225	1.89862790964222	23.178	0.063	g
60790.13718815972	11.285275405084844	2.796738182224322	1.8986313885420887	23.288	0.074	g
60790.138225462964	11.285617054680456	2.7967382883696437	1.8986384554671818	23.4	0.077	g
60790.14024085648	11.286280905206425	2.7967384945961875	1.898652183773306	23.296	0.082	g
60790.14074466435	11.286446865619173	2.7967385461476297	1.8986556151345746	23.302	0.073	g
60790.14326486111	11.287277117049584	2.7967388040171066	1.8986727772289032	23.22	0.076	g
60790.148509259256	11.289005196693221	2.796739340596685	1.8987084770565803	23.264	0.072	g
60790.17689106482	11.298366639555567	2.7967422436954568	1.8989013924514466	23.416	0.096	g
60790.17741975695	11.298541182920518	2.7967422977614755	1.8989049819867876	23.394	0.103	g
60790.17793346065	11.298710783757002	2.7967423502942568	1.8989084696307865	23.311	0.079	g
60790.180328159724	11.299501477817765	2.796742595177267	1.8989247261427133	22.364	0.064	i
60790.18137706019	11.299847849237906	2.7967427024353704	1.8989318458254398	22.391	0.071	i
60790.18188925926	11.300016998182308	2.7967427548109787	1.898935322329292	22.501	0.072	i
60790.18323115741	11.300460175289263	2.796742892026552	1.8989444297911948	22.407	0.082	i
60790.184280960646	11.300806913063175	2.7967429993720034	1.8989515542633768	22.355	0.066	i
60790.184789363426	11.300974841347244	2.7967430513569784	1.8989550043578296	22.345	0.08	i
60790.18588255787	11.301335949573998	2.7967431631364374	1.898962422567319	22.461	0.103	i
60790.18743475695	11.301848724776903	2.796743321845956	1.8989729546468546	22.32	0.082	i
60790.1885165625	11.3022061358822	2.7967434324562035	1.8989802943990122	22.418	0.084	i
60790.18956115741	11.30255127882898	2.796743539260054	1.8989873812486984	22.296	0.07	i
60790.19006706018	11.302718442349738	2.7967435909850673	1.8989908132925426	22.27	0.067	i
60793.13511145833	12.262035407894409	2.7970376045550873	1.920428171841877	23.359	0.083	g
60793.1360865625	12.262342896343707	2.7970376995513977	1.9204354442819545	23.086	0.077	g
60793.13656775463	12.262494641284936	2.797037746429386	1.92043903283301	23.347	0.084	g
60793.1390024537	12.263262492440358	2.7970379836131793	1.9204571875394476	23.38	0.083	g
60793.14144395833	12.264032598531347	2.79703822145026	1.9204753890870296	23.267	0.072	g
