mjd	phase angle	mag	rmsmag	band
60787.10978266204	14.60660876382618	23.132	0.201	i
60787.11028865741	14.606792185297815	23.733	0.238	i
60787.1129465625	14.608235058641355	23.554	0.191	i
60787.115488159725	14.609517807053674	23.458	0.166	i
60787.118035162035	14.610899315019962	23.385	0.193	i
60787.13043505787	14.617395851882058	23.335	0.181	i
60787.13094915509	14.61769982745655	23.614	0.202	i
60793.137539560186	17.76065126594398	24.162	0.187	g
60793.139983263885	17.761942459230113	24.258	0.19	g
60793.14144395833	17.762646690524555	24.437	0.213	g
60793.19150346065	17.788864012259705	23.635	0.17	r
60793.19351395834	17.789935822073712	23.72	0.16	r
60793.19881956019	17.79271136673045	24.004	0.166	g
60793.19981975694	17.793233994407526	24.34	0.195	g
60793.200338055554	17.793505328263898	24.256	0.205	g
60793.20133846065	17.7940257188177	24.162	0.199	g
60793.2023190625	17.794565504955944	24.202	0.176	g
60795.03649755787	18.74704440175568	23.868	0.195	r
60795.056069363425	18.757203608250354	24.072	0.179	r
60795.068243761576	18.76358221668438	23.704	0.196	r
60795.06876835648	18.763815802067185	23.854	0.191	r
60795.07123925926	18.765079418002724	23.666	0.147	r
60795.07221305556	18.765612818872917	23.979	0.203	r
60795.07321585648	18.766130778854585	23.882	0.194	r
60795.07370555556	18.766367251516904	24.016	0.209	r
60795.09254275463	18.776201310391972	24.047	0.185	r
60795.09771436342	18.778875189384653	23.918	0.165	r
60795.14657815972	18.804281829526573	24.364	0.197	g
60795.148054861114	18.80506660250914	24.53	0.2	g
60795.14905206019	18.80562671212934	24.424	0.171	g
60795.153967060185	18.808143034303534	24.284	0.167	g
60795.15644216435	18.809442668801314	24.232	0.172	g
60795.15793016204	18.810223359282325	24.262	0.187	g
60797.024286354164	19.77357197530784	23.289	0.148	i
60797.02526956019	19.774126076193266	23.706	0.213	i
60797.02870606481	19.775870738734515	23.669	0.209	i
60797.030152453706	19.776605990539256	23.768	0.206	i
60797.034055358796	19.778639475794122	23.508	0.133	i
60797.04093456019	19.782210293309575	23.496	0.173	i
60797.04140956019	19.782455559511728	23.534	0.178	i
60797.042377164355	19.78294741869794	23.689	0.184	i
60797.04677826389	19.785176723230936	23.547	0.197	i
60797.05475565972	19.78933061293389	23.933	0.178	r
60797.055713657406	19.789839246827782	23.743	0.183	r
60797.05619736111	19.790084852286288	23.883	0.166	r
60797.05715296296	19.790582144181545	24.0	0.184	r
60797.058633657405	19.791359873902692	23.961	0.195	r
60797.060553564814	19.792352207413032	24.164	0.189	r
60797.061048159725	19.79259544246752	23.965	0.158	r
60797.0634640625	19.793817293059263	24.213	0.195	r
60797.06442966435	19.79432533417431	23.973	0.182	r
60797.0653840625	19.794834226934235	23.953	0.164	r
60797.06586576389	19.79510092467947	24.164	0.197	r
60797.06685865741	19.795573198542694	23.89	0.143	r
60797.06782055555	19.796087781029318	24.04	0.164	r
60797.068297858794	19.796348505625726	23.968	0.159	r
60797.07080085648	19.797625489823947	23.824	0.148	r
60797.07176186342	19.7981109604442	23.951	0.168	r
60797.072723958336	19.79865422158292	23.918	0.179	r
60797.075621157404	19.800117570771782	23.858	0.155	r
60797.076608958334	19.800645162826086	23.905	0.152	r
60797.07760085648	19.801148398506268	23.93	0.173	r
60797.07808165509	19.801389895157545	23.78	0.162	r
60797.07907425926	19.801885658378794	24.004	0.199	r
60797.08052525463	19.802673040140274	24.021	0.16	r
60797.08151956018	19.803173293700457	23.845	0.149	r
60797.082482060185	19.803698682216876	24.109	0.195	r
60797.08296266204	19.803899479429997	23.818	0.163	r
60797.08402585648	19.804467255671113	23.91	0.189	r
60797.092498460646	19.808854970199604	24.271	0.167	g
60797.09587005787	19.810589275381897	24.333	0.2	g
60797.09683826389	19.811107614482214	24.348	0.184	g
60797.097315555555	19.811350845166434	24.419	0.21	g
60797.099738854165	19.81259457831401	24.425	0.175	g
60797.10071115741	19.813080643174455	24.482	0.192	g
60797.10417576389	19.814897720761287	24.309	0.181	g
60797.10465436343	19.815135122467638	24.045	0.142	g
60797.111904756945	19.818902865354694	24.263	0.174	g
60797.11674175926	19.821339656714127	24.258	0.198	g
60797.11779525463	19.821947680631986	24.465	0.206	g
60797.128516655095	19.827462158320905	24.278	0.174	g
60797.129973854164	19.82823740828724	24.036	0.178	g
60797.13144895833	19.82897044609842	24.226	0.176	g
60798.021901458334	20.28605167081374	23.121	0.207	i
60798.03657885417	20.29365488620161	23.231	0.218	i
60798.04046236111	20.29570547904757	23.505	0.19	r
60798.069139756946	20.310446404416638	23.493	0.215	r
60798.075049756946	20.31346102851436	23.583	0.205	r
60798.07649835648	20.31419708225843	23.313	0.179	r
60798.080912060184	20.316472815559912	23.753	0.213	r
60798.114749953704	20.333928876117437	23.999	0.216	g
