mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60790.1203753588	10.696798816937044	2.8424335518836092	1.9365527491205967	23.754	0.177	r
60790.12295456018	10.697632131780924	2.842435196913907	1.9365710005683248	23.973	0.218	r
60790.132206064816	10.700622012342555	2.8424410973658287	1.9366364252784065	23.846	0.197	r
60790.132723159724	10.700789164719406	2.8424414271502907	1.9366400801470847	23.637	0.166	r
60790.13375065972	10.701121319584054	2.842442082449667	1.9366473420114778	23.675	0.177	r
60790.14024085648	10.703219768038652	2.8424462215469886	1.9366931937001364	24.312	0.198	g
60790.14126815972	10.703551985735016	2.8424468766904876	1.9367004485863784	24.115	0.164	g
60790.18137706019	10.716537966706245	2.842472452161696	1.93698317923478	23.52	0.187	i
60790.1826790625	10.716960053125973	2.8424732822789585	1.93699234230832	23.336	0.174	i
60790.18532755787	10.717818761210827	2.8424749708585955	1.9370109791523298	23.179	0.191	i
60790.18642106481	10.718173347574083	2.8424756680288787	1.9370186729846208	23.239	0.195	i
60795.03160115741	12.252209297915108	2.845518637352412	1.9745668062619772	23.957	0.202	r
60795.03208975695	12.252356402473012	2.8455189395542524	1.9745708392858201	23.912	0.181	r
60795.03306525463	12.252650100316743	2.8455195429032876	1.9745788905748831	23.748	0.201	r
60795.033550960645	12.252796334451459	2.845519843312603	1.9745828989965184	23.612	0.163	r
60795.0340403588	12.252943680667862	2.8455201460049127	1.9745869376523828	23.946	0.204	r
60795.03453106481	12.25309142088913	2.8455204495050093	1.9745909868562157	23.886	0.194	r
60795.056069363425	12.25957674485313	2.8455337699397867	1.9747684794717026	24.072	0.179	r
60795.068243761576	12.263243503712049	2.8455412984288486	1.9748686051584734	23.724	0.156	r
60795.06876835648	12.263401526674347	2.845541622818367	1.9748729163935006	24.101	0.198	r
60795.07123925926	12.264145861019566	2.8455431507158604	1.9748932193211548	23.704	0.141	r
60795.07221305556	12.264439220361517	2.8455437528621466	1.974901219243528	23.882	0.182	r
60795.09254275463	12.270565573409307	2.8455563228615244	1.975068033468789	23.981	0.165	r
60795.10270055556	12.273628290575191	2.8455626028925316	1.975151246594337	23.607	0.181	r
60795.15052096065	12.288067002509457	2.845592162251055	1.9755419270170123	24.288	0.166	g
