mjd	phase angle	mag	rmsmag	band
60793.137539560186	17.05803823204841	23.823	0.152	g
60793.14144395833	17.060162557398666	23.502	0.1	g
60793.14243385417	17.060702936133964	23.463	0.103	g
60793.14390425926	17.06149443149382	23.85	0.129	g
60793.19351395834	17.088361123025187	23.031	0.099	r
60793.19881956019	17.091212023231563	23.687	0.119	g
60793.19981975694	17.091758323617313	23.67	0.123	g
60795.056069363425	18.088029956292804	23.391	0.102	r
60795.067234953705	18.094023422103714	23.346	0.117	r
60795.06876835648	18.09486967401933	23.068	0.084	r
60795.06974466435	18.095374961077944	23.359	0.109	r
60795.07123925926	18.096177932566906	23.187	0.09	r
60795.07221305556	18.096720009922258	23.226	0.104	r
60795.07370555556	18.097501152235022	23.146	0.097	r
60795.09771436342	18.11041674900499	23.178	0.094	r
60795.10119706018	18.11225038419082	22.968	0.162	r
60795.10270055556	18.11309750020006	22.983	0.103	r
60795.14657815972	18.136669441469998	23.597	0.111	g
60795.14905206019	18.138002064173588	23.645	0.095	g
60795.15052096065	18.138809510247512	23.666	0.1	g
60795.151510358795	18.13933987198427	23.762	0.109	g
60795.15297725694	18.14011076490709	23.547	0.094	g
60795.153967060185	18.140659243273813	23.569	0.093	g
60795.15494915509	18.141159748172175	23.794	0.132	g
60795.155432060186	18.141449531104183	23.599	0.093	g
60797.021838761575	19.13554621563798	23.199	0.155	i
60797.02284755787	19.136075371206182	23.074	0.129	i
60797.024286354164	19.13680994913997	23.02	0.121	i
60797.02526956019	19.137347629577636	23.259	0.146	i
60797.02671626157	19.138116835429514	23.072	0.1	i
60797.027719861115	19.138707355836214	23.157	0.149	i
60797.02870606481	19.139188891308972	23.207	0.138	i
60797.032566354166	19.141240997012236	23.177	0.113	i
60797.034055358796	19.142044712432025	23.143	0.099	i
60797.035119155094	19.142580270939415	23.302	0.16	i
60797.0365740625	19.143373540400123	23.351	0.152	i
60797.037545162035	19.143901692955584	23.124	0.117	i
60797.03899376158	19.144660925756067	23.066	0.116	i
60797.039948564816	19.14517894592755	23.418	0.147	i
60797.042377164355	19.146473574377257	23.192	0.112	i
60797.04386826389	19.147284315091234	23.238	0.146	i
60797.04725445602	19.149079871005583	23.435	0.152	i
60797.05078275463	19.150944312999027	23.091	0.102	i
60797.05475565972	19.153069354667647	23.218	0.1	r
60797.05619736111	19.15383976391934	23.336	0.105	r
60797.05715296296	19.154349745421303	23.236	0.093	r
60797.058633657405	19.15513672678384	23.486	0.125	r
60797.05959505787	19.155646266509375	23.195	0.084	r
60797.061048159725	19.156431902363373	23.333	0.088	r
60797.06202135417	19.156946784199757	23.259	0.089	r
60797.0634640625	19.157708051350667	23.377	0.09	r
60797.06782055555	19.160043625135902	23.193	0.087	r
60797.06936555556	19.160861594756298	23.295	0.119	r
60797.07080085648	19.161615716392607	23.341	0.106	r
60797.07176186342	19.162143909597887	23.269	0.09	r
60797.07321025463	19.162909863407044	23.194	0.096	r
60797.07416415509	19.163408775895142	23.224	0.093	r
60797.075621157404	19.16418212217566	23.354	0.095	r
60797.076608958334	19.164728644458954	23.285	0.083	r
60797.07808165509	19.16550867443196	23.362	0.108	r
60797.08052525463	19.166822596024172	23.209	0.091	r
60797.08151956018	19.167350263028727	23.285	0.091	r
60797.08296266204	19.168108240808067	23.292	0.1	r
60797.08402585648	19.16865648793255	23.243	0.108	r
60797.09009395833	19.17189690088125	23.735	0.112	g
60797.091053854165	19.17242520448832	23.706	0.11	g
60797.092498460646	19.173182660175783	24.039	0.14	g
60797.093455462964	19.173710870815555	23.895	0.122	g
60797.09442395833	19.174221167364344	23.642	0.117	g
60797.0949015625	19.174466768735066	23.785	0.119	g
60797.09587005787	19.17500264896947	23.755	0.114	g
60797.09683826389	19.175519998458228	23.657	0.104	g
60797.097315555555	19.175759803057108	23.637	0.101	g
60797.10071115741	19.1775640730011	23.735	0.1	g
60797.102168460646	19.178347360971582	23.661	0.09	g
60797.10321956019	19.178907665985793	23.701	0.133	g
60797.10465436343	19.1796830381443	23.61	0.099	g
60797.10562635417	19.180195056168092	23.727	0.131	g
60797.10659076389	19.18069209567368	23.795	0.138	g
60797.10707456018	19.18096775068852	23.612	0.096	g
60797.10804425926	19.181477474221673	23.649	0.115	g
60797.109007453706	19.181984668089495	23.628	0.117	g
60797.10948665509	19.182257465345316	23.598	0.112	g
60797.11045716435	19.182772942512525	23.835	0.122	g
60797.11142436343	19.183293658941217	23.803	0.115	g
60797.111904756945	19.18352971343414	23.837	0.119	g
60797.115291458336	19.1853597679065	23.772	0.107	g
60797.11625346065	19.18585670539376	23.882	0.126	g
