mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60790.11935736111	10.061898585488642	2.9956858939834454	2.090545945681996	23.466	0.16	r
60790.1203753588	10.062239145092265	2.995683344324943	2.090550381403429	23.59	0.174	r
60790.12192716435	10.062758309710409	2.995679457688801	2.090557141512491	23.42	0.181	r
60790.12346195602	10.063271813249782	2.9956756136501403	2.0905638256505057	23.412	0.161	r
60790.132723159724	10.066371065641587	2.9956524177208195	2.0906041207050983	23.571	0.144	r
60790.138225462964	10.06821298807453	2.995638636200873	2.090628030935283	24.01	0.163	g
60790.14024085648	10.068887764743225	2.995633588231597	2.090636783420619	24.296	0.192	g
60790.14074466435	10.069056455060734	2.9956323263369464	2.090638970921765	23.979	0.161	g
60790.18137706019	10.08267563599124	2.99553054839961	2.0908148746286894	23.472	0.183	i
60790.184280960646	10.083650137347947	2.9955232741652096	2.0908274121150177	22.915	0.14	i
60793.13511145833	11.063480944810612	2.9881034302327736	2.1050830177969777	23.706	0.125	g
60793.1360865625	11.063795912543425	2.9881009690920717	2.1050879329158088	23.923	0.142	g
60793.13656775463	11.06395134748231	2.9880997545725556	2.1050903581764238	23.712	0.123	g
60793.137539560186	11.064265271744905	2.9880973017499186	2.10509525570253	23.911	0.15	g
60793.13851606481	11.064580729160499	2.9880948370598253	2.105100176270341	24.065	0.153	g
60793.139983263885	11.065054732798268	2.9880911338497826	2.105107568228278	24.028	0.18	g
60793.14095516204	11.06536874023829	2.98808868077079	2.1051124640058485	23.864	0.129	g
60793.14144395833	11.065526669597185	2.9880874470430205	2.105114926001565	23.864	0.133	g
60793.14243385417	11.065846515419254	2.9880849485292655	2.105119911484839	23.795	0.135	g
60793.142930462964	11.066006980998587	2.988083695078184	2.1051224123511485	24.193	0.194	g
60793.143418761574	11.066164765327308	2.9880824626006595	2.105124871213007	24.037	0.138	g
60793.14390425926	11.066321648638757	2.988081237190123	2.105127315820825	23.926	0.142	g
60793.1830649537	11.078989907925216	2.9879823895212474	2.1053240613429005	23.68	0.183	r
60793.184043263886	11.07930676281506	2.9879799199887755	2.1053289669633077	23.448	0.169	r
60793.18452115741	11.079461549882991	2.9879787136482525	2.105331363165189	23.428	0.137	r
60793.18551106482	11.079782190427526	2.9879762148316398	2.1053363263712157	23.65	0.148	r
60793.1865253588	11.080110750883321	2.9879736544493722	2.1053414114571543	23.643	0.161	r
60793.18701505787	11.080269386791539	2.9879724182995138	2.1053438663872805	23.706	0.169	r
60793.19150346065	11.081723616393955	2.987961088133248	2.105366363298225	23.444	0.145	r
60793.19250736111	11.082048934759788	2.987958553948896	2.105371394111785	23.643	0.177	r
60793.19351395834	11.082375148224747	2.9879560129508076	2.105376438098711	23.662	0.156	r
60793.19399436343	11.082530843239338	2.9879548002406584	2.1053788452562214	23.796	0.205	r
60793.19881956019	11.084094917820858	2.987942619676774	2.10540301874461	24.285	0.214	g
60793.200338055554	11.084587236752526	2.987938786407334	2.1054106247265545	24.121	0.178	g
60793.2023190625	11.085229583367186	2.987933785557683	2.1054205464076143	24.26	0.202	g
60795.03160115741	11.674239423863936	2.9833052207980177	2.115303324252672	23.463	0.125	r
60795.03208975695	11.674392501522808	2.9833039816532096	2.1153060463726985	23.475	0.119	r
60795.03306525463	11.67469812465399	2.9833015076719303	2.115311480421346	23.767	0.194	r
60795.0340403588	11.675003625302038	2.983299034683678	2.1153169113214667	23.428	0.136	r
60795.03453106481	11.675157364158064	2.983297790188498	2.1153196439770223	23.648	0.153	r
60795.0355124537	11.675464835635728	2.9832953012513954	2.1153251084376588	23.669	0.154	r
60795.03649755787	11.675773472407943	2.9832928028862336	2.1153305926148707	23.638	0.148	r
60795.056069363425	11.681905917429386	2.9832431646988655	2.115439351592079	23.536	0.112	r
60795.067234953705	11.685405187774753	2.983214845332023	2.115501231083329	23.426	0.118	r
60795.068243761576	11.685721383186431	2.983212286646657	2.1155068160464694	23.778	0.165	r
60795.06876835648	11.685885812199173	2.983210956089853	2.1155097199323563	23.533	0.12	r
60795.06974466435	11.686191831133854	2.9832084798260126	2.115515123580744	23.53	0.125	r
60795.070718055555	11.686496942597097	2.9832060109532264	2.115520510200831	23.619	0.128	r
60795.07123925926	11.686660317665684	2.9832046889899977	2.1155233941097	23.666	0.136	r
60795.07221305556	11.68696556662935	2.983202219080393	2.1155287816167725	23.407	0.113	r
60795.07321585648	11.687279914767789	2.9831996755983554	2.115534328671424	23.673	0.157	r
60795.07370555556	11.68743342351208	2.9831984335345276	2.1155370371329676	23.701	0.15	r
60795.09254275463	11.693339992491543	2.9831506540273076	2.1156410587234658	23.495	0.108	r
60795.102194259256	11.696367686078725	2.9831261726436282	2.1156942359652318	23.232	0.132	r
60795.10270055556	11.69652654150535	2.983124888388752	2.1156970233787735	23.321	0.127	r
60795.14657815972	11.710307047512666	2.983013583647983	2.1159378581875745	24.112	0.164	g
60795.147565555555	11.710617503849019	2.9830110787692274	2.115943262800695	24.128	0.155	g
60795.148054861114	11.710771357128205	2.9830098374714655	2.1159459408479453	24.402	0.176	g
60795.14905206019	11.711084921561685	2.9830073077142423	2.1159513982445293	23.783	0.113	g
60795.15003055555	11.711392621703949	2.9830048253996826	2.115956752715294	24.289	0.148	g
60795.15052096065	11.71154684210359	2.983003581303931	2.1159594360752263	23.923	0.113	g
60795.151510358795	11.711857996539518	2.9830010713217723	2.1159648493636696	23.899	0.123	g
60795.152488657404	11.712165677489777	2.982998589491548	2.11597020137455	24.143	0.151	g
60795.15297725694	11.712319351576518	2.9829973499681137	2.1159728741713053	23.969	0.139	g
60795.153967060185	11.712630677004197	2.982994838942665	2.115978288300381	24.12	0.148	g
60795.15494915509	11.712939595508496	2.9829923474656366	2.1159836597289963	23.849	0.119	g
60795.155432060186	11.713091500019171	2.9829911223811205	2.1159863007152766	24.075	0.142	g
60795.15644216435	11.713409256005225	2.982988559838357	2.115991824516665	23.808	0.129	g
60795.157420358795	11.71371699168738	2.982986078241926	2.115997173291567	24.035	0.141	g
60795.165638356484	11.716303043578543	2.9829652296305	2.1160420897493064	24.125	0.132	g
60795.16613106481	11.716458130443913	2.9829639796427774	2.116044781634398	24.413	0.205	g
60795.166613657406	11.716610037820255	2.982962755316458	2.1160474181407363	24.066	0.151	g
60795.2065190625	11.729187552639113	2.9828615111009533	2.1162651161627744	23.853	0.186	g
60797.02284755787	12.297362853845975	2.9782425364567544	2.1268709149134177	23.22	0.147	i
60797.02380675926	12.297654294348376	2.9782400916253997	2.1268766691553456	23.533	0.184	i
60797.024286354164	12.297800012894745	2.978238869222361	2.126879545890904	23.553	0.192	i
60797.02526956019	12.298098747309904	2.9782363631979103	2.1268854426891646	23.542	0.184	i
60797.02622675926	12.298389580350191	2.9782339234542223	2.1268911825695587	23.655	0.211	i
60797.02671626157	12.29853830967867	2.9782326757913826	2.126894117528227	23.614	0.168	i
60797.028225358794	12.298996831695177	2.978228829335068	2.1269031642485094	23.136	0.153	i
60797.02870606481	12.299142889307717	2.978227604085398	2.126906045498479	23.669	0.211	i
60797.02918745371	12.299289154581935	2.97822637709426	2.1269089306060494	23.492	0.172	i
60797.03111365741	12.299874415302908	2.9782214674639587	2.1269204725767734	23.501	0.151	i
60797.03354505787	12.300613183564689	2.978215270123287	2.126935036386072	23.658	0.152	i
60797.034055358796	12.300768237182151	2.9782139694239134	2.1269380922756675	23.469	0.124	i
60797.035119155094	12.301091470550352	2.978211257922528	2.1269444618789772	23.437	0.175	i
60797.0365740625	12.301533546619682	2.9782075495092637	2.126953171468941	23.374	0.153	i
60797.037545162035	12.301828619703354	2.9782050742656754	2.1269589836362477	23.435	0.15	i
60797.03851436343	12.302123118314507	2.9782026038552023	2.126964783501053	23.661	0.209	i
60797.03899376158	12.302268787634492	2.9782013819093263	2.126967651952232	23.614	0.19	i
60797.039948564816	12.302558915163551	2.978198948188795	2.126973364285406	23.451	0.159	i
60797.04093456019	12.302858523505433	2.9781964349565397	2.1269792622784767	23.519	0.174	i
60797.042377164355	12.303296884119236	2.978192757850829	2.1269878898548713	23.758	0.199	i
60797.04335706018	12.303594646817572	2.978190260149946	2.126993749004219	23.539	0.163	i
60797.04582275463	12.304343916770538	2.9781839752053783	2.127008488070381	23.448	0.147	i
60797.04725445602	12.30477899006646	2.978180325843828	2.127017043536936	23.64	0.183	i
60797.05030326389	12.305705507428558	2.9781725544872995	2.1270352556948735	23.547	0.16	i
60797.05078275463	12.305851226006281	2.9781713322692434	2.1270381191205066	23.735	0.186	i
60797.055713657406	12.307349808455367	2.9781587633462943	2.1270675525659324	23.851	0.178	r
60797.05619736111	12.307496820954423	2.978157530371827	2.127070438614193	23.642	0.134	r
60797.05715296296	12.30778726169603	2.9781550945118056	2.127076139608869	23.712	0.141	r
60797.058633657405	12.308237306944337	2.9781513201617145	2.1270849715064255	23.924	0.189	r
60797.05959505787	12.3085295238137	2.978148869506838	2.1270907048445906	23.795	0.149	r
60797.060553564814	12.308820866991706	2.9781464262208877	2.1270964200511897	23.644	0.118	r
60797.06202135417	12.309267020574046	2.9781426847348325	2.127105170218768	23.722	0.143	r
