mjd	phase angle	mag	rmsmag	band
60787.10978266204	15.278094738230408	22.744	0.125	i
60787.111309155094	15.278858081753611	22.468	0.078	i
60787.11233025463	15.279372084864223	22.498	0.075	i
60787.11395915509	15.280237139997995	22.452	0.071	i
60787.11497945602	15.280778891415242	22.447	0.073	i
60787.11650885417	15.281554968755676	22.335	0.072	i
60787.11752716435	15.282092703191834	22.406	0.082	i
60787.126874953705	15.286947867287319	22.476	0.084	i
60787.128398657405	15.287740117307534	22.451	0.075	i
60787.12941436343	15.288272311649385	22.391	0.075	i
60787.13094915509	15.289055456371157	22.542	0.077	i
60787.13354326389	15.29041134511828	22.441	0.076	i
60790.11731216435	16.832795680653323	22.718	0.075	r
60790.118846157406	16.833592872843617	22.644	0.091	r
60790.122444155095	16.83545748481806	22.624	0.103	r
60790.12398135417	16.83625980010368	22.748	0.096	r
60790.132206064816	16.840532203756773	22.581	0.075	r
60790.13375065972	16.841319866916567	22.503	0.067	r
60790.1377149537	16.843390294554354	23.415	0.089	g
60790.13875005787	16.843920786626747	23.236	0.086	g
60790.14126815972	16.845234560637678	23.074	0.067	g
60790.14800275463	16.84873823897278	23.27	0.079	g
60790.17847115741	16.864562041965275	23.204	0.071	g
60790.1826790625	16.866767157083	22.355	0.125	i
60790.18377085648	16.86731340264542	22.536	0.117	i
60790.18532755787	16.868134286368683	22.344	0.099	i
60790.18642106481	16.8687045361226	22.447	0.104	i
60790.18797385417	16.869516392551546	22.208	0.081	i
60790.18904986111	16.870045516604996	22.528	0.129	i
60790.19061106481	16.870886663402256	22.4	0.085	i
60793.1355990625	18.389001297034774	23.264	0.077	g
60793.137054363426	18.38975165009705	23.319	0.086	g
60793.13803065972	18.390271006597132	23.444	0.094	g
60793.139491354166	18.391011667032036	23.521	0.106	g
60793.14047425926	18.39155202953484	23.353	0.097	g
60793.14193525463	18.39227813880529	23.556	0.101	g
60793.142930462964	18.392788735559503	23.3	0.083	g
60793.144401157406	18.393570278525598	23.378	0.095	g
60793.18356665509	18.413795710890867	22.698	0.073	r
60793.18501516204	18.414532934254463	22.701	0.065	r
60793.1860074537	18.41505718016478	22.748	0.076	r
60793.187517858794	18.415821941110963	22.556	0.068	r
60793.19100565972	18.41762078850786	22.71	0.074	r
60793.19200236111	18.418144199302564	22.739	0.078	r
60793.196798460645	18.420614899677275	23.602	0.114	g
60793.19832956018	18.4214246558627	23.339	0.093	g
60793.199321458334	18.421948581184278	23.36	0.102	g
60793.20083395833	18.42267936126298	23.52	0.113	g
60793.201834155094	18.4232313860565	23.508	0.105	g
60793.2043240625	18.424491515062517	23.213	0.086	g
60793.20585346065	18.42528840720988	23.072	0.08	g
60795.03011165509	19.35959332224113	22.701	0.086	r
60795.03257805556	19.36086665837497	22.813	0.077	r
60795.06772796296	19.37892679814172	22.853	0.078	r
60795.06925565972	19.379715002461822	22.753	0.074	r
60795.07269936342	19.381483538659758	22.876	0.077	r
60797.022357361115	20.373665159026938	22.789	0.101	i
60797.02332706018	20.374141785083292	22.866	0.101	i
60797.024786458336	20.374903640616395	22.684	0.113	i
60797.03063516204	20.37788045267496	22.59	0.08	i
60797.03208005787	20.378619163647013	22.559	0.075	i
60797.03560236111	20.38041412523409	22.949	0.14	i
60797.03705585648	20.381152582801594	22.792	0.09	i
60797.038033460645	20.381668990137936	22.783	0.094	i
60797.039471261574	20.382396710824157	22.671	0.095	i
60797.0453449537	20.38538165152448	22.789	0.083	i
60797.04677826389	20.386109182749355	22.566	0.087	i
60797.0552353588	20.390412376635894	22.769	0.086	r
60797.05763766204	20.391661401249195	22.774	0.071	r
60797.05911865741	20.392413474018063	22.689	0.065	r
60797.06491126157	20.395364677466723	22.786	0.07	r
60797.06635175926	20.39610573927749	22.847	0.067	r
60797.06984195602	20.397872622660465	22.878	0.088	r
60797.07955865741	20.40283771992553	22.754	0.065	r
60797.08101275463	20.403576028663764	22.777	0.065	r
60797.08450626158	20.405371777420335	22.755	0.08	r
60797.08913925926	20.4077089948069	23.375	0.09	g
60797.09057775463	20.40845002084402	23.225	0.084	g
60797.09878255787	20.412649378471343	23.257	0.079	g
60797.10022266204	20.41337351184092	23.428	0.077	g
60797.10369606481	20.415155973493505	23.446	0.108	g
60797.10514255787	20.415883182112726	23.493	0.105	g
60797.11337576389	20.4200865831205	23.344	0.086	g
60797.114815057874	20.420815885579763	23.379	0.089	g
60797.118279560185	20.422584521271126	23.451	0.109	g
60797.11973456018	20.423332552857627	23.408	0.1	g
60797.12804005787	20.427574174449965	23.432	0.084	g
60797.12949516204	20.428306597581525	23.334	0.097	g
60797.1329940625	20.43009789326702	23.362	0.104	g
60798.01790626157	20.87731143440722	22.573	0.138	i
60798.019378460645	20.87808102879918	22.916	0.175	i
60798.04094195602	20.888994962905873	22.805	0.119	r
60798.051033564814	20.89411867754928	22.908	0.144	r
60798.05248475695	20.8948671482512	22.85	0.119	r
60798.05596936343	20.896649799333815	22.698	0.124	r
60798.05744766204	20.897371106001167	23.064	0.155	r
60798.067169155096	20.902335040784212	22.598	0.106	r
60798.070691354165	20.904150513214958	22.837	0.163	r
60798.07213695602	20.90484333218682	22.661	0.111	r
60798.0804265625	20.909055541879077	22.722	0.113	r
60798.08188085648	20.909801084771857	22.732	0.102	r
60798.08538956018	20.911595753220908	22.994	0.159	r
60798.08682986111	20.91234874789368	23.068	0.156	r
60798.09508576389	20.91651427550226	22.891	0.133	r
60798.09652936343	20.91725772015045	22.825	0.115	r
60798.104559363426	20.92132950220605	23.138	0.108	g
60798.11426635417	20.926278200720027	23.26	0.119	g
60798.11572255787	20.926989838678786	23.279	0.128	g
60798.11918826389	20.928745545053243	23.361	0.133	g
60798.12065145833	20.929481959389566	23.563	0.154	g
60798.128992060185	20.933730448549	23.195	0.099	g
60798.130462256944	20.93449193688598	23.458	0.146	g
60799.035401863424	21.389821747745565	22.668	0.117	i
60799.03686565972	21.39056183845392	22.785	0.124	i
60799.08446626157	21.414633756196285	22.788	0.088	r
60799.085976863425	21.415389216430395	22.739	0.087	r
60799.09434145833	21.419606471073205	22.988	0.101	r
60799.09583436343	21.42038752477136	22.964	0.096	r
60799.1091999537	21.427135035952553	22.736	0.09	r
60799.11064346065	21.42785738065946	23.039	0.094	r
60799.123873958335	21.434556177099882	22.902	0.084	r
60799.13034956018	21.43782419766497	22.844	0.088	r
60799.15210626157	21.448807575225533	23.352	0.129	g
60799.15362065972	21.44956738818437	23.475	0.108	g
