mjd	mag_val	mag_band
60797.12070612269	24.10	g
60798.115723125	23.66	g
60799.14627412037	23.99	g
60798.13191912037	23.68	g
60797.133473125	24.07	g
60798.134443125	23.92	g
60797.098783125	24.16	g
60799.14965511574	24.16	g
60797.12215912037	24.31	g
60798.110847118056	23.76	g
60798.10455912037	23.95	g
60797.093943125	24.27	g
60799.14724612269	24.02	g
60798.12163011574	24.01	g
60797.11337612269	24.03	g
60797.09153912037	24.25	g
60798.119188125	23.62	g
60798.11327912037	24.02	g
60797.100223125	24.38	g
60798.124066122684	23.82	g
60799.14480011574	23.83	g
60797.11239412037	24.28	g
60797.09297612269	24.34	g
60797.13299412037	24.06	g
60797.12313211805	23.90	g
60799.15758912037	23.87	g
60797.127043125	24.08	g
60799.148693125	23.95	g
60798.12554112269	23.45	g
60798.119673125	23.80	g
60798.109881122684	23.81	g
60797.12949511574	23.74	g
60799.14531011574	23.88	g
60797.12361011574	24.03	g
60798.12309011574	23.96	g
60799.15112511574	24.07	g
60798.132901122684	23.77	g
60798.13143511574	23.76	g
60797.12804011574	23.85	g
60797.125583125	23.93	g
60799.15711211805	23.90	g
60797.116253125	23.95	g
60797.12458912037	23.81	g
60799.14285912037	23.86	g
60799.153621122685	24.14	g
60790.141268125	23.73	g
60798.12454511574	23.92	g
60797.11828011574	24.10	g
60798.13543011574	23.61	g
60797.10119511574	24.20	g
60797.131936122685	23.83	g
60799.15604912037	23.87	g
60793.13949112268	24.27	g
60793.19932112269	23.77	g
60793.20083412037	23.90	g
60798.133963125	23.92	g
60797.130468125	23.98	g
60798.10600612268	23.90	g
60799.15457912037	23.92	g
60797.10900711806	24.11	g
60793.19833011574	23.83	g
60793.14193511574	24.45	g
60798.120651122685	23.80	g
60797.107563125	24.07	g
60797.10852511574	24.06	g
60797.04093511574	23.62	i
60797.04437112268	23.53	i
60797.022357118054	23.49	i
60797.038033125	23.26	i
60797.041893125	23.47	i
60797.03453211806	23.38	i
60797.03947112268	23.51	i
60797.03306912037	23.48	i
60790.180868125	23.36	i
60798.02965412037	23.00	i
60797.047738125	23.68	i
60797.03063511574	23.29	i
60797.04288011574	23.41	i
60797.023327118055	23.43	i
60797.026227118055	23.49	i
60797.035602118056	23.34	i
60797.03208011574	23.55	i
60797.02822511574	23.06	i
60797.02966912037	23.39	i
60797.033545115744	23.33	i
60797.046778125	23.45	i
60797.02478612268	23.47	i
60797.063948125	23.70	r
60798.06475412037	23.58	r
60793.186007118056	23.54	r
60799.129358125	23.44	r
60797.083450115744	23.72	r
60797.056673125	23.59	r
60799.12141112269	23.35	r
60799.131318125	23.27	r
60797.072242118054	24.05	r
60799.088431122684	23.74	r
60795.03502011574	23.20	r
60799.11948612268	23.32	r
60795.06925612268	23.50	r
60799.11560011574	23.36	r
60799.11704011574	23.31	r
60799.11304011574	23.62	r
60797.06153211805	24.11	r
60795.067728125	23.49	r
60799.09183612269	23.70	r
60799.110643125	23.53	r
60795.071727118055	23.69	r
60799.12044412037	23.51	r
60795.07269912037	23.55	r
60799.09828412037	23.44	r
60798.090702118054	23.53	r
60797.06055412037	24.01	r
60799.100888125	23.40	r
60798.090220115744	23.21	r
60799.11159612268	23.38	r
60799.108230115744	23.55	r
60799.10920011574	23.40	r
60799.126801122686	23.43	r
60797.05571412037	23.71	r
60799.086953125	23.52	r
60799.09988112268	23.31	r
60795.032578125	23.43	r
60793.19300112269	23.51	r
60799.12884711805	23.50	r
60799.11804112269	23.17	r
60797.06734511574	24.19	r
60799.09334211805	23.61	r
60795.03355112269	23.33	r
60797.07856511574	24.03	r
60799.085977118055	23.61	r
60797.06250412037	23.97	r
60799.10580612269	23.54	r
60799.096828125	23.43	r
60795.03011211805	23.23	r
60799.12778412037	23.72	r
60799.125336122685	23.61	r
60799.13767711806	23.55	r
60799.09583412037	23.31	r
60799.11207711806	23.85	r
60799.08940211806	23.58	r
60790.122444120374	23.17	r
60799.10482511574	23.79	r
60797.05911912037	24.10	r
60799.12387412037	23.38	r
60798.09749412037	23.56	r
60790.12139612268	23.45	r
60795.070231122685	23.80	r
60799.13035011574	23.45	r
60798.084326122684	23.62	r
60799.09434112268	23.66	r
60799.11901011574	23.69	r
60799.116566122684	23.30	r
60798.097968125	23.37	r
60799.11461511574	23.39	r
60797.07955912037	24.00	r
60799.087468125	23.48	r
60799.10185612269	23.59	r
60798.046648125	23.47	r
60793.19449112268	23.47	r
60790.13375112269	23.26	r
60790.119873125	23.06	r
60799.133749120374	23.36	r
60797.068793125	23.69	r
60799.11410612269	23.56	r
60799.13426112269	23.37	r
60799.084988125	23.73	r
60793.18501511574	23.45	r
60799.10337711806	23.72	r
60797.057638125	23.85	r
60799.097303125	23.48	r
60799.08446612269	23.82	r
60799.08988511574	23.65	r
60793.19100612269	23.66	r
60799.09085912037	23.32	r
60790.123981122684	23.31	r
60797.067821122684	24.04	r
60798.087793125	23.51	r
60799.132796122685	23.43	r
60798.09998511574	23.57	r
60797.05523511574	23.90	r
60799.13621011574	23.43	r
60795.03110912037	23.27	r
60793.18356711805	23.65	r
60797.07709112269	24.21	r
60799.10676511574	23.59	r
60797.07032011574	23.82	r
60799.10433912037	23.64	r
60797.081013125	24.02	r
60799.126288125	23.33	r
60795.03600011574	23.35	r
