mjd	mag	rmsmag	band
60787.109270960646	23.086	0.127	i
60787.11028865741	23.312	0.168	i
60787.11079675926	23.48	0.176	i
60787.111820162034	23.348	0.151	i
60787.1129465625	23.409	0.171	i
60787.11345665509	23.398	0.153	i
60787.11446835648	23.428	0.168	i
60787.115997361114	23.286	0.151	i
60787.118035162035	23.217	0.149	i
60787.118650358796	23.444	0.186	i
60787.12378716435	23.305	0.171	i
60787.12533436342	23.228	0.132	i
60787.12636576389	23.097	0.133	i
60787.12738085648	23.299	0.145	i
60787.12788755787	23.228	0.146	i
60787.13043505787	23.04	0.112	i
60787.13145516204	23.197	0.132	i
60787.13298486111	23.516	0.179	i
60790.11832945602	23.541	0.148	r
60790.1203753588	23.403	0.154	r
60790.120883564814	23.415	0.159	r
60790.12192716435	23.557	0.182	r
60790.12295456018	23.276	0.132	r
60790.12346195602	23.366	0.159	r
60790.124511354166	23.413	0.183	r
60790.132723159724	23.509	0.148	r
60790.13563986111	23.967	0.142	g
60790.13667755787	24.331	0.174	g
60790.13718815972	23.971	0.135	g
60790.14024085648	23.842	0.147	g
60790.14074466435	23.917	0.131	g
60790.148509259256	24.151	0.156	g
60790.14901275463	24.132	0.136	g
60790.17689106482	24.268	0.203	g
60790.17741975695	23.993	0.163	g
60790.17793346065	24.02	0.139	g
60790.180328159724	23.336	0.156	i
60790.18137706019	23.366	0.178	i
60790.18188925926	23.15	0.133	i
60790.184280960646	23.176	0.137	i
60790.184789363426	23.35	0.202	i
60790.18743475695	23.001	0.146	i
60790.1885165625	23.365	0.19	i
60790.19006706018	23.428	0.19	i
60793.13511145833	24.209	0.176	g
60793.1390024537	24.168	0.17	g
60793.139983263885	24.332	0.204	g
60793.14095516204	23.837	0.154	g
60793.14144395833	24.316	0.187	g
60793.14243385417	24.047	0.149	g
60793.143418761574	23.994	0.154	g
60793.14390425926	24.22	0.167	g
60793.1830649537	23.954	0.209	r
60793.184043263886	23.712	0.208	r
60793.18452115741	23.979	0.204	r
60793.18551106482	23.558	0.139	r
60793.1865253588	23.604	0.18	r
60793.18701505787	23.938	0.211	r
60793.19150346065	23.621	0.164	r
60793.19250736111	23.586	0.15	r
60793.19351395834	23.775	0.181	r
60793.19399436343	23.39	0.132	r
60793.19631126158	24.237	0.178	g
60795.03208975695	23.879	0.201	r
60795.03306525463	23.763	0.215	r
60795.0340403588	23.615	0.2	r
60795.03649755787	23.502	0.182	r
60795.067234953705	23.85	0.177	r
60795.06876835648	23.456	0.118	r
60795.06974466435	23.789	0.17	r
60795.07123925926	23.518	0.131	r
60795.07370555556	23.296	0.11	r
60795.09254275463	23.709	0.154	r
60795.09771436342	23.677	0.136	r
60795.148054861114	24.384	0.174	g
60795.15003055555	24.286	0.173	g
60795.15052096065	24.526	0.2	g
60795.151510358795	24.3	0.172	g
60795.152488657404	24.205	0.181	g
60795.15297725694	24.155	0.169	g
60797.02284755787	23.349	0.159	i
60797.024286354164	23.395	0.164	i
60797.02671626157	23.334	0.139	i
60797.02918745371	23.717	0.214	i
60797.030152453706	23.544	0.166	i
60797.031588564816	23.546	0.163	i
60797.034055358796	23.814	0.194	i
60797.03899376158	23.606	0.196	i
60797.039948564816	23.451	0.168	i
60797.042377164355	23.609	0.168	i
60797.04386826389	23.49	0.193	i
60797.0448578588	23.447	0.137	i
60797.04582275463	23.451	0.152	i
60797.04629665509	23.665	0.179	i
60797.04725445602	23.549	0.175	i
60797.05078275463	23.672	0.182	i
60797.05475565972	23.777	0.156	r
60797.05619736111	23.79	0.153	r
60797.05715296296	23.686	0.142	r
60797.058633657405	23.963	0.201	r
60797.05959505787	23.603	0.131	r
60797.061048159725	23.937	0.158	r
60797.06202135417	24.018	0.189	r
60797.0634640625	23.583	0.116	r
60797.06442966435	23.495	0.113	r
60797.0653840625	23.641	0.125	r
60797.06586576389	23.906	0.158	r
60797.06685865741	23.83	0.14	r
60797.068297858794	23.765	0.143	r
60797.07080085648	23.994	0.176	r
60797.07176186342	23.66	0.136	r
60797.07321025463	23.865	0.177	r
60797.07416415509	23.918	0.18	r
60797.075621157404	23.71	0.145	r
60797.076608958334	23.588	0.11	r
60797.07808165509	23.616	0.138	r
60797.07907425926	23.603	0.132	r
60797.08003706019	23.654	0.133	r
60797.09009395833	24.474	0.201	g
60797.091053854165	24.388	0.204	g
60797.092498460646	24.071	0.147	g
60797.093455462964	24.028	0.152	g
60797.09587005787	24.252	0.183	g
60797.097315555555	24.204	0.177	g
60797.09830315972	24.432	0.215	g
60797.09926296296	24.496	0.202	g
60797.102168460646	24.337	0.17	g
60797.10465436343	24.454	0.214	g
60797.10707456018	24.04	0.148	g
60797.10948665509	24.139	0.2	g
60797.11045716435	24.348	0.191	g
60797.11289425926	24.484	0.193	g
60797.11432986111	24.208	0.168	g
60797.11924275463	24.23	0.198	g
60797.12022145833	24.112	0.164	g
60797.12167315972	24.011	0.123	g
60797.12264466435	24.113	0.15	g
60797.12655335648	24.254	0.178	g
60797.12755085648	24.24	0.175	g
60797.13144895833	24.264	0.183	g
60798.01153016204	22.958	0.175	i
60798.014469155096	23.005	0.187	i
60798.016410462966	23.031	0.198	i
60798.05696686343	23.538	0.197	r
60798.0628153588	23.487	0.208	r
60798.06426895833	23.47	0.214	r
60798.06668425926	23.449	0.2	r
60798.074073055555	23.321	0.188	r
60798.075049756946	23.485	0.206	r
60798.07649835648	23.299	0.179	r
60798.07993525463	23.299	0.173	r
60798.080912060184	23.622	0.191	r
60798.08489805555	23.536	0.195	r
60798.088755763885	23.445	0.192	r
60798.09215195602	23.242	0.168	r
60798.09359525463	23.638	0.21	r
60798.09459395833	23.509	0.2	r
60798.11134025463	23.947	0.201	g
60798.113781354165	23.978	0.211	g
60799.0363765625	23.5	0.216	i
60799.083993657405	23.453	0.139	r
60799.085495162035	23.538	0.153	r
60799.08645275463	23.622	0.197	r
60799.08891106481	23.606	0.199	r
60799.092836655094	23.587	0.175	r
60799.09383925926	23.569	0.17	r
60799.09482096065	23.552	0.169	r
60799.09634415509	23.711	0.187	r
60799.098870856484	23.727	0.191	r
60799.101367256946	23.67	0.184	r
60799.106282256944	23.709	0.182	r
60799.10968055556	23.628	0.165	r
60799.110164363425	23.956	0.21	r
60799.11254835648	23.511	0.149	r
60799.11361826389	23.569	0.161	r
60799.11512106482	23.665	0.173	r
60799.116083657405	23.629	0.174	r
60799.117556655096	23.546	0.165	r
60799.11996665509	23.666	0.164	r
60799.120927662036	23.983	0.2	r
60799.12241456019	23.916	0.223	r
60799.12339356481	23.801	0.165	r
60799.12485115741	23.259	0.109	r
60799.125807662036	23.795	0.213	r
60799.127292164354	23.685	0.183	r
60799.12835706019	23.856	0.195	r
60799.130825555556	23.951	0.209	r
60799.13231626157	23.561	0.15	r
60799.13327326389	23.91	0.213	r
60799.13474085648	23.898	0.198	r
60799.13571986111	23.826	0.177	r
60799.13719736111	23.779	0.173	r
60799.14432076389	24.0	0.175	g
60799.148215960646	23.906	0.149	g
60799.150643761575	24.258	0.196	g
60799.151614664355	24.119	0.189	g
60799.15313716435	24.198	0.173	g
60799.15662165509	24.188	0.195	g
