mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60787.11233025463	11.434594221264616	2.4556218458234658	1.527525804775804	23.631	0.205	i
60787.1129465625	11.43485047757002	2.4556205467648087	1.5275279636289893	23.592	0.213	i
60787.11395915509	11.435271519269095	2.45561841241013	1.5275315099069775	23.625	0.206	i
60787.11650885417	11.436331771740443	2.455613038102995	1.5275404354963493	23.48	0.196	i
60787.11915486111	11.437432185870938	2.4556074607637397	1.5275496923643748	23.547	0.211	i
60787.125841863424	11.44021369516133	2.4555933655389817	1.5275730602251942	23.381	0.183	i
60787.128398657405	11.441277424691904	2.4555879761356434	1.527581985276087	23.559	0.187	i
60787.132473564816	11.44297300328889	2.4555793866748963	1.527596198773405	23.413	0.198	i
60787.13354326389	11.443418160368255	2.455577131852277	1.5275999277607424	23.28	0.159	i
60790.11731216435	12.681418357995662	2.4492670237146035	1.5393349526553763	23.48	0.179	r
60790.11781895833	12.68162329894144	2.4492659484643626	1.5393370606259722	23.654	0.181	r
60790.118846157406	12.68203869944375	2.449263769079626	1.5393413325401144	23.483	0.124	r
60790.1198728588	12.682453917351904	2.4492615907472155	1.53934560152129	23.549	0.144	r
60790.1203753588	12.682657145149268	2.449260524600289	1.5393476905841643	23.725	0.181	r
60790.122444155095	12.683493883764813	2.4492561352552897	1.5393562891192705	23.698	0.197	r
60790.12295456018	12.683700332600306	2.4492550523312926	1.5393584099854118	23.468	0.147	r
60790.12398135417	12.684115665696732	2.449252873782015	1.5393626759557357	23.663	0.173	r
60790.132206064816	12.687443250970885	2.449235423242035	1.5393968169288215	23.643	0.157	r
60790.132723159724	12.68765250396552	2.449234326100493	1.5393989616649715	23.537	0.169	r
60790.13375065972	12.688068318958706	2.4492321460075708	1.5394032227926375	23.382	0.12	r
60790.13617025463	12.68904758073152	2.449227012227057	1.53941325393316	24.121	0.151	g
60790.1377149537	12.689672817208839	2.4492237347442964	1.5394196556733224	24.163	0.151	g
60790.13875005787	12.69009181678293	2.449221538494471	1.5394239445081088	24.339	0.191	g
60790.14024085648	12.69069531701522	2.449218375357888	1.5394301200977418	24.159	0.17	g
60790.14126815972	12.691111214299315	2.4492161956476255	1.5394343747416837	24.149	0.149	g
60790.14800275463	12.693838246201253	2.449201906208391	1.539462248137915	24.183	0.162	g
60790.148509259256	12.694043385672309	2.449200831499698	1.5394643432169615	24.164	0.173	g
60790.18137706019	12.707368462387278	2.4491310896678233	1.539599958735181	23.434	0.191	i
60790.18642106481	12.709415847506145	2.4491203864127282	1.5396207192280156	23.249	0.166	i
60790.18797385417	12.710046272342087	2.4491170914077247	1.5396271079741	23.395	0.184	i
60790.19061106481	12.711117119927453	2.4491114952454636	1.5396379560122895	23.393	0.161	i
60793.1355990625	13.893846501375938	2.442842545933347	1.5531721396288307	24.359	0.193	g
60793.18356665509	13.912595168350594	2.442740114790071	1.553400227681516	23.755	0.193	r
