mjd	mag	rmsmag	band
60793.13656775463	24.134	0.207	g
60793.14390425926	24.038	0.146	g
60793.19150346065	23.844	0.21	r
60793.19250736111	23.769	0.172	r
60793.19399436343	23.613	0.157	r
60793.20284346065	24.185	0.204	g
60797.032566354166	23.613	0.166	i
60797.034055358796	23.924	0.207	i
60797.042377164355	23.65	0.174	i
60797.04386826389	23.517	0.19	i
60797.04725445602	23.741	0.205	i
60797.05959505787	24.069	0.196	r
60797.06202135417	24.153	0.197	r
60797.0634640625	23.945	0.147	r
60797.06586576389	24.089	0.183	r
60797.06685865741	24.228	0.2	r
60797.068297858794	24.085	0.189	r
60797.07321025463	23.757	0.172	r
60797.07416415509	23.794	0.163	r
60797.075621157404	23.951	0.178	r
60797.076608958334	24.099	0.17	r
60797.07907425926	24.066	0.204	r
60797.08151956018	23.857	0.158	r
60797.08296266204	24.066	0.214	r
60797.09009395833	24.392	0.208	g
60797.091053854165	24.392	0.203	g
60797.092498460646	24.319	0.201	g
60797.097315555555	24.443	0.216	g
60797.10071115741	24.592	0.222	g
60797.102168460646	24.392	0.2	g
60797.10562635417	24.272	0.206	g
60797.10707456018	24.302	0.193	g
60797.11045716435	24.291	0.181	g
60797.11674175926	24.335	0.191	g
60799.092836655094	23.704	0.174	r
60799.103849259256	23.512	0.183	r
60799.106282256944	23.874	0.205	r
60799.12241456019	23.614	0.164	r
60799.12339356481	23.971	0.195	r
60799.12485115741	23.971	0.205	r
60799.125807662036	23.483	0.163	r
60799.13719736111	23.967	0.202	r
60799.14917466435	24.289	0.198	g
