mjd	mag_val	mag_band
60797.092498125	24.41	g
60793.13949112268	24.14	g
60793.14293011574	24.17	g
60797.09490211806	24.18	g
60795.15200412037	24.17	g
60797.10659112268	24.30	g
60797.105143125	24.00	g
60799.153621122685	24.24	g
60797.12458912037	24.33	g
60790.138750115744	24.20	g
60797.097803125	24.27	g
60797.11142412037	24.45	g
60793.14193511574	24.05	g
60797.10119511574	24.24	g
60799.15262412037	24.00	g
60797.12070612269	24.34	g
60799.14531011574	24.30	g
60799.150132118055	24.39	g
60793.14047412037	24.27	g
60795.14708112268	24.06	g
60797.10900711806	24.25	g
60793.13559912037	24.20	g
60793.13803112268	24.15	g
60795.150031122685	24.28	g
60795.146578125	24.32	g
60793.20432412037	23.91	g
60793.20484412037	24.00	g
60797.12361011574	24.43	g
60797.100223125	24.26	g
60793.19833011574	24.21	g
60795.15101112268	24.23	g
60797.116253125	24.31	g
60793.19982011574	24.22	g
60793.13608711806	23.92	g
60797.096838125	24.31	g
60797.10417612269	24.31	g
60795.148055115744	24.38	g
60790.14024112269	24.23	g
60795.14954511574	24.36	g
60790.17742011574	24.23	g
60795.14756612269	24.32	g
60797.101671122684	24.34	g
60797.121673125	24.29	g
60793.14341912037	24.00	g
60797.09345511574	24.42	g
60797.121188125	24.58	g
60797.10852511574	24.12	g
60795.15446511574	24.46	g
60793.136568125	24.04	g
60795.15248912037	24.11	g
60797.09201612268	24.60	g
60798.10455912037	24.09	g
60793.196798125	24.12	g
60797.11094211806	24.39	g
60797.093943125	24.36	g
60790.141268125	24.20	g
60793.20183412037	24.24	g
60797.09636011574	24.39	g
60797.099263125	24.16	g
60797.10465412037	24.06	g
60790.136170115744	24.19	g
60797.047738125	23.62	i
60797.03111412037	23.42	i
60790.18905011574	23.44	i
60797.033545115744	23.69	i
60787.11028912037	23.47	i
60797.04093511574	23.51	i
60797.04288011574	23.68	i
60797.03705612269	23.64	i
60797.02671612269	23.68	i
60797.03063511574	23.60	i
60787.12941412037	23.07	i
60797.04534511574	23.77	i
60797.028706122685	23.64	i
60790.186421122686	23.45	i
60797.02822511574	23.48	i
60797.03453211806	23.52	i
60790.187974120374	23.28	i
60787.115488125	23.56	i
60787.11233011574	23.56	i
60790.180868125	23.42	i
60797.040428125	23.36	i
60798.02383711805	22.96	i
60797.02380711806	23.63	i
60797.04437112268	23.52	i
60797.026227118055	23.49	i
60790.18137711805	23.37	i
60787.13196511574	23.38	i
60797.050303125	23.71	i
60787.124828125	23.31	i
60787.13247412037	23.39	i
60793.192002118056	23.67	r
60797.07709112269	23.93	r
60798.09118011574	23.67	r
60797.06007511574	23.88	r
60797.05863412037	23.85	r
60797.077601122684	23.93	r
60797.062983125	24.15	r
60795.068768125	23.61	r
60790.123981122684	23.53	r
60795.03502011574	23.76	r
60793.18652511574	23.55	r
60799.13767711806	23.76	r
60799.11704011574	23.81	r
60790.132723125	23.62	r
60795.071727118055	23.69	r
60790.13375112269	23.69	r
60799.11948612268	23.74	r
60799.10727511574	23.79	r
60797.07272412037	23.96	r
60795.092543125	23.72	r
60795.06723511574	23.84	r
60793.187518125	23.87	r
60799.126288125	23.59	r
60793.19100612269	23.65	r
60797.07513612269	24.16	r
60797.07032011574	23.60	r
60799.12387412037	23.84	r
60797.081013125	24.02	r
60795.067728125	24.01	r
60795.03404011574	23.70	r
60797.07856511574	24.09	r
60797.067821122684	23.98	r
60793.18701511574	23.43	r
60798.050033125	23.56	r
60799.13474112268	23.97	r
60797.07562112268	24.11	r
60795.070231122685	23.79	r
60795.06974511574	23.93	r
60797.05911912037	23.97	r
60790.13220612268	23.71	r
60799.11304011574	23.70	r
60793.19300112269	23.75	r
60795.05606912037	23.76	r
60799.12986912037	23.91	r
60793.191503125	23.71	r
60797.06153211805	24.11	r
60799.094821122686	23.88	r
60797.072242118054	23.80	r
60799.11159612268	23.89	r
60799.13426112269	24.07	r
60797.071286122686	23.72	r
60799.13672011574	23.71	r
60799.08988511574	23.91	r
60797.05959511574	23.75	r
60795.036498125	23.71	r
60799.09828412037	23.69	r
60797.07416412037	23.77	r
60795.06925612268	23.90	r
60793.18501511574	23.77	r
60799.08549511574	23.77	r
60790.122444120374	23.62	r
60797.06734511574	23.94	r
60799.131831122686	24.03	r
60797.061048125	23.81	r
60799.09583412037	23.80	r
60797.05571412037	23.64	r
60795.07123912037	24.07	r
60797.07080112268	23.70	r
60795.07269912037	23.74	r
60798.058897118055	23.56	r
60799.129358125	23.91	r
60797.06491112269	24.03	r
60799.11901011574	23.65	r
60797.08248211806	23.86	r
60799.126801122686	23.82	r
60795.070718125	23.69	r
60793.19449112268	23.66	r
60799.125336122685	23.85	r
60790.12037511574	23.73	r
60799.10968112268	23.89	r
60797.056673125	23.82	r
60798.06035912037	23.27	r
60797.083450115744	23.73	r
60790.12295511574	23.93	r
60795.032578125	24.03	r
60799.132796122685	23.65	r
