mjd	phase angle	mag	rmsmag	band
60787.109270960646	14.860842802745582	23.064	0.132	i
60787.11079675926	14.861682592964337	23.378	0.163	i
60787.11345665509	14.863160634005663	23.338	0.148	i
60787.11446835648	14.863734605119717	23.022	0.116	i
60787.115488159725	14.86429306224946	23.084	0.14	i
60787.115997361114	14.864576746827025	23.33	0.16	i
60787.118650358796	14.866047592458898	23.198	0.148	i
60787.12378716435	14.868919937754116	23.247	0.151	i
60787.124827962965	14.86951324194053	23.176	0.19	i
60787.12533436342	14.869793958414334	23.192	0.132	i
60787.12636576389	14.87033813293616	22.954	0.123	i
60787.12738085648	14.870913601837648	23.03	0.126	i
60787.12788755787	14.871203969830393	23.027	0.117	i
60787.12890445602	14.871772400570027	23.167	0.138	i
60787.13043505787	14.872619712521534	23.117	0.123	i
60787.13145516204	14.873178561601646	23.032	0.109	i
60787.132473564816	14.873739528671775	23.106	0.13	i
60787.13298486111	14.874038151746316	22.931	0.106	i
60790.11832945602	16.51788832626536	23.352	0.126	r
60790.11935736111	16.518435787162918	23.405	0.169	r
60790.120883564814	16.519311131012937	23.731	0.212	r
60790.12192716435	16.519842208966285	23.529	0.183	r
60790.12346195602	16.520698502261318	23.602	0.199	r
60790.124511354166	16.521292385370685	23.416	0.175	r
60790.132723159724	16.52581954908389	23.514	0.17	r
60790.13322856482	16.526060669993434	23.884	0.214	r
60790.13563986111	16.527410521509317	23.903	0.132	g
60790.13718815972	16.528276860673525	24.25	0.163	g
60790.138225462964	16.528848979931375	24.122	0.143	g
60790.14074466435	16.53022807525675	24.204	0.171	g
60790.14901275463	16.53478575661689	24.249	0.15	g
60790.17689106482	16.550160849699825	23.935	0.149	g
60790.17741975695	16.55048987113148	23.651	0.151	g
60790.17793346065	16.55073127783002	23.879	0.128	g
60790.180328159724	16.55205314852296	22.839	0.089	i
60790.18137706019	16.552654329259337	22.886	0.133	i
60790.18188925926	16.55291557986631	22.959	0.113	i
60790.18323115741	16.553657461347388	23.091	0.144	i
60790.184280960646	16.554234178882627	22.855	0.122	i
60790.184789363426	16.554473718034387	23.202	0.159	i
60790.18588255787	16.555120930160673	22.842	0.122	i
60790.18692346065	16.5556672163141	22.938	0.127	i
60790.18743475695	16.555955881785845	23.135	0.155	i
60790.1885165625	16.55656800606782	22.894	0.117	i
60790.18956115741	16.557162392865028	22.734	0.118	i
60790.19006706018	16.55743328074575	22.84	0.102	i
60793.13511145833	18.16061407835457	23.984	0.149	g
60793.1390024537	18.162728086544746	23.908	0.15	g
60793.139983263885	18.16324076528286	24.026	0.158	g
60793.14144395833	18.16405446953266	24.292	0.184	g
60793.14243385417	18.164632067847368	24.119	0.158	g
60793.14390425926	18.1653992279019	24.231	0.165	g
60793.1830649537	18.186674609353727	23.539	0.149	r
60793.18452115741	18.187488893802037	23.715	0.167	r
60793.18551106482	18.188048569115562	23.689	0.158	r
60793.18701505787	18.188863032499906	23.52	0.148	r
60793.19150346065	18.19129283553933	23.521	0.151	r
60793.19250736111	18.191812443893724	23.47	0.129	r
60793.19399436343	18.192632378222438	23.58	0.155	r
60793.19631126158	18.1939006652809	24.126	0.159	g
60793.19783606481	18.194730460605975	23.935	0.141	g
60793.19881956019	18.195259102329864	24.045	0.159	g
