mjd	phase angle	mag	rmsmag	band
60790.124511354166	15.958670097082843	23.581	0.168	r
60790.13322856482	15.963510160915707	23.608	0.169	r
60790.138225462964	15.96628538943787	23.626	0.11	g
60790.180328159724	15.989641447405901	23.248	0.204	i
60790.18188925926	15.99049557093394	23.291	0.176	i
60790.18323115741	15.99127130447462	22.879	0.144	i
60790.18588255787	15.992736107173387	22.742	0.132	i
60790.19006706018	15.99506282937731	23.23	0.197	i
60793.13511145833	17.59641936854337	23.883	0.163	g
60793.137539560186	17.59777898546844	23.904	0.169	g
60793.139983263885	17.59902984260045	23.784	0.141	g
60793.14243385417	17.60038765965009	23.732	0.111	g
60793.14390425926	17.60116429879236	23.613	0.096	g
60793.19399436343	17.62833939132546	23.347	0.132	r
60793.19631126158	17.62960980732245	23.791	0.136	g
60793.19783606481	17.630470521399744	23.791	0.139	g
60793.200338055554	17.631824160631023	23.8	0.145	g
60793.20133846065	17.632309432708396	23.705	0.135	g
60793.20382966435	17.633662976499178	23.905	0.172	g
60795.14905206019	18.6701742898224	24.148	0.16	g
60795.15052096065	18.670942351861328	24.33	0.198	g
60795.151510358795	18.671462826702893	24.329	0.203	g
60795.153967060185	18.672800995694963	24.232	0.162	g
60795.155432060186	18.673574636703687	23.848	0.122	g
60795.15644216435	18.67408560458049	24.018	0.15	g
60795.165638356484	18.679008429112876	24.155	0.157	g
60795.166613657406	18.67953171167053	23.885	0.137	g
60797.02526956019	19.65311578402396	23.535	0.205	i
60797.02918745371	19.65515550090332	23.609	0.191	i
60797.030152453706	19.655656768166917	23.415	0.147	i
60797.031588564816	19.656434659765875	23.43	0.148	i
60797.032566354166	19.656897652558037	23.664	0.176	i
60797.034055358796	19.657711184000398	23.358	0.128	i
60797.039948564816	19.66081629247596	23.578	0.191	i
60797.042377164355	19.66207978300552	23.209	0.117	i
60797.04386826389	19.662852243936346	23.296	0.154	i
60797.0448578588	19.663380866563024	23.511	0.156	i
60797.04725445602	19.66466137037439	23.441	0.157	i
60797.05715296296	19.66983559698156	23.584	0.135	r
60797.058633657405	19.670611565905535	23.432	0.14	r
60797.05959505787	19.671122645579004	23.443	0.117	r
60797.06202135417	19.672388025570598	23.405	0.105	r
60797.0634640625	19.673149403940762	23.548	0.108	r
60797.06442966435	19.67365930563451	23.584	0.124	r
60797.06685865741	19.674923965892308	23.715	0.13	r
60797.068297858794	19.67568671764759	23.531	0.122	r
60797.07176186342	19.67749560336488	23.446	0.119	r
60797.07321025463	19.67825072252625	23.332	0.121	r
60797.076608958334	19.680056896735966	23.443	0.096	r
60797.07907425926	19.68133811098998	23.392	0.109	r
60797.08151956018	19.682629109380464	23.42	0.11	r
60797.08296266204	19.68340282051801	23.334	0.111	r
60797.08402585648	19.683893748406657	23.447	0.17	r
60797.0886553588	19.686382881355932	23.616	0.109	g
60797.091053854165	19.687627677414845	23.615	0.105	g
60797.093455462964	19.688898797482977	23.82	0.13	g
60797.09587005787	19.690158920150786	23.829	0.123	g
60797.097315555555	19.690910545036107	23.799	0.122	g
60797.099738854165	19.692197009605906	23.749	0.1	g
60797.10071115741	19.692713909791703	23.825	0.111	g
60797.10562635417	19.695270217528858	23.569	0.114	g
60797.10707456018	19.69605615150848	23.803	0.132	g
60797.11045716435	19.697808731119082	23.931	0.132	g
60797.111904756945	19.698594890324305	23.615	0.099	g
60797.11289425926	19.699111327449693	24.203	0.176	g
60797.11432986111	19.69983376190017	23.883	0.135	g
60797.115291458336	19.70034789601165	23.631	0.105	g
60797.12022145833	19.702959118718503	23.706	0.125	g
60797.12509055556	19.705505784837793	23.847	0.148	g
60797.12655335648	19.706279808242122	23.81	0.119	g
60797.12900046296	19.707546410968256	23.689	0.124	g
60797.129973854164	19.708028809342682	24.038	0.205	g
60797.13144895833	19.708815378434952	23.925	0.146	g
60797.132505960646	19.709349164109234	23.794	0.192	g
60798.04468675926	20.18066844023098	23.258	0.179	r
60798.07746606482	20.197696993661612	23.565	0.218	r
60798.07893686343	20.198468850849437	23.58	0.195	r
60798.08139925926	20.19978658037118	23.383	0.155	r
60798.08383525463	20.201016396785597	23.6	0.193	r
60798.088755763885	20.203603529202667	23.604	0.203	r
60798.08972686343	20.20410045925876	23.368	0.153	r
60798.09215195602	20.205374774215347	23.51	0.194	r
60798.09359525463	20.206161448032287	23.651	0.197	r
60798.09459395833	20.206642970288325	23.606	0.194	r
60798.09604236111	20.207362070471316	23.685	0.207	r
60798.10649486111	20.212878799494746	23.921	0.2	g
60798.113781354165	20.21667065117604	23.713	0.159	g
60798.12114415509	20.220478805458395	23.913	0.2	g
60798.12604275463	20.223025074278212	23.801	0.201	g
60798.12850046296	20.22427410528874	23.796	0.166	g
60798.13240675926	20.226304360671335	24.096	0.214	g
60799.0324090625	20.686946164412294	23.277	0.2	i
60799.03388516204	20.687742774226383	23.176	0.163	i
60799.03488716435	20.688225181390667	23.237	0.154	i
60799.037353761574	20.689513200279727	23.345	0.211	i
60799.083993657405	20.713544085303862	23.337	0.142	r
60799.087946458334	20.715572835932843	23.362	0.152	r
60799.091341354164	20.71734290251523	23.404	0.126	r
60799.09383925926	20.718605956170578	23.48	0.156	r
60799.09533966435	20.71939567011821	23.41	0.153	r
60799.09634415509	20.719894471565784	23.466	0.148	r
60799.09779126157	20.720662078691902	23.46	0.144	r
60799.101367256946	20.72250991412447	23.54	0.186	r
60799.106282256944	20.725034532349593	23.407	0.139	r
60799.10775186343	20.725794535380885	23.543	0.156	r
60799.10871606482	20.726294564321716	23.343	0.136	r
60799.110164363425	20.727026647843175	23.287	0.119	r
60799.11111615741	20.727525560867136	23.548	0.151	r
60799.120927662036	20.73258876529101	23.482	0.124	r
60799.12339356481	20.733855810405018	23.726	0.158	r
60799.12485115741	20.734582564872365	23.243	0.108	r
60799.125807662036	20.73507277784302	23.565	0.183	r
60799.127292164354	20.73584864473792	23.153	0.128	r
60799.13571986111	20.740206826392694	23.596	0.145	r
60799.138160462964	20.741466266733813	23.489	0.124	r
60799.14917466435	20.747110951103835	24.094	0.167	g
60799.150643761575	20.747856641482326	24.162	0.186	g
60799.151614664355	20.748348933685612	24.22	0.193	g
60799.15313716435	20.749159126511305	23.933	0.139	g
60799.1540965625	20.749675282409083	24.007	0.185	g
60799.1555740625	20.750467674701277	23.701	0.161	g
