mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60787.109270960646	8.509413553461338	3.3262653241566587	2.4132871029657137	23.165	0.142	i
60787.11028865741	8.509695541854219	3.3262670299501593	2.413295262636138	23.135	0.146	i
60787.11079675926	8.509836333045543	3.326267881595386	2.413299336163129	23.419	0.174	i
60787.111820162034	8.51011991765287	3.3262695969492477	2.4133075402702797	23.438	0.166	i
60787.11345665509	8.510573411226188	3.326272339917714	2.413320657409935	23.588	0.19	i
60787.11446835648	8.510853780252216	3.3262740356531753	2.4133287654845277	23.6	0.2	i
60787.115488159725	8.511136405138181	3.3262757449664146	2.4133369376379274	23.11	0.129	i
60787.115997361114	8.51127752743601	3.3262765984479272	2.413341017781062	23.622	0.209	i
60787.11701686343	8.511560085102666	3.3262783072536006	2.4133491862473906	23.1	0.161	i
60787.118035162035	8.511842319930373	3.326280014038652	2.413357344220789	23.27	0.164	i
60787.118650358796	8.512012835175065	3.326281045178075	2.4133622723877233	22.999	0.134	i
60787.12378716435	8.513436774096666	3.326289655013823	2.413403410038584	23.427	0.189	i
60787.12533436342	8.513865720447852	3.3262922482740755	2.4134157965521643	23.383	0.154	i
60787.12738085648	8.514433133593322	3.3262956783924076	2.413432177426942	23.527	0.18	i
60787.12788755787	8.514573629804026	3.3262965276711727	2.4134362327491856	23.318	0.157	i
60787.12890445602	8.514855600524667	3.326298232085407	2.4134443707720843	23.336	0.17	i
60787.12992315972	8.51513808432167	3.3262999395241484	2.413452522453601	23.353	0.162	i
60787.13043505787	8.515280036986224	3.326300797510391	2.413456618371158	23.626	0.2	i
60787.13145516204	8.515562927890697	3.326302507292691	2.413464780071307	23.38	0.165	i
60787.132473564816	8.515845359593651	3.3263042142208508	2.413472927375527	23.461	0.176	i
60787.13298486111	8.51598716132078	3.326305071195888	2.4134770174965157	23.257	0.144	i
60790.11832945602	9.339471348620597	3.3312990920158216	2.438814365560969	23.454	0.146	r
60790.1203753588	9.340020069452114	3.331302507840069	2.4388322574110965	23.579	0.163	r
60790.120883564814	9.340156380062492	3.3313033563355487	2.4388367012773107	23.429	0.152	r
60790.12295456018	9.34071189154225	3.331306814041849	2.438854808473593	23.663	0.182	r
60790.12346195602	9.340848000116065	3.3313076611824597	2.4388592442595316	23.268	0.142	r
60790.132723159724	9.343332856766185	3.331323123441787	2.4389401744247	23.678	0.167	r
60790.13322856482	9.343468491854257	3.3313239672471737	2.438944589174066	23.287	0.122	r
60790.13667755787	9.34439418346093	3.3313297255432346	2.4389747115689753	24.254	0.167	g
60790.13718815972	9.344531239539904	3.3313305780205487	2.4389791702942745	23.99	0.136	g
60790.138225462964	9.344809683755713	3.331332309852087	2.4389882277749444	24.409	0.184	g
60790.14024085648	9.345350719095581	3.331335674650741	2.4390058236069203	23.981	0.153	g
60790.14326486111	9.346162621376967	3.33134072335856	2.4390322202069896	23.946	0.143	g
60790.148509259256	9.347570970610004	3.3313494790620193	2.4390779844565817	23.991	0.141	g
60790.14901275463	9.34770620167559	3.3313503196616883	2.43908237718808	24.237	0.152	g
60790.17741975695	9.355342177595737	3.331397745055041	2.439329977226431	23.729	0.144	g
60790.17793346065	9.355480384438595	3.3313986026651285	2.4393344509133303	23.98	0.145	g
60790.18137706019	9.356406966889624	3.3314043516191427	2.4393644371048406	23.512	0.194	i
60790.184280960646	9.357188489108427	3.3314091995465955	2.439389719695877	23.175	0.143	i
60790.184789363426	9.357325329745773	3.3314100482990696	2.4393941456994583	23.373	0.208	i
60790.18692346065	9.357899788654047	3.331413611061441	2.4394127233780507	23.097	0.14	i
60790.1885165625	9.358328674001514	3.3314162706539725	2.4394265904164527	23.225	0.175	i
60793.13511145833	10.14102743099028	3.336325894017267	2.466613912438646	23.967	0.144	g
60793.13656775463	10.141402352829601	3.3363283157619765	2.466627653417894	24.115	0.167	g
60793.137539560186	10.141652559120827	3.336329931820578	2.4666368221735167	24.09	0.171	g
60793.14095516204	10.142532062746232	3.336335611762057	2.4666690427352616	23.709	0.127	g
60793.14144395833	10.142657939193516	3.3363364245987928	2.466673653111484	24.154	0.16	g
60793.14243385417	10.142912870857227	3.3363380707301316	2.466682989449081	24.105	0.151	g
60793.143418761574	10.14316653167428	3.3363397085635498	2.4666922781286336	24.132	0.165	g
60793.14390425926	10.143291575770947	3.3363405159125255	2.46669685664738	24.066	0.139	g
60793.1830649537	10.15338983109682	3.3364056356908844	2.4670657455520733	23.498	0.143	r
60793.184043263886	10.153642432230264	3.3364072624660506	2.4670749521903934	23.514	0.191	r
60793.18452115741	10.153765831100388	3.3364080571261403	2.46707944939944	23.599	0.147	r
60793.18551106482	10.154021452185265	3.33640970318225	2.4670887646496906	23.519	0.132	r
60793.1865253588	10.154283388607155	3.336411389787218	2.4670983090234735	23.557	0.171	r
60793.18701505787	10.154409857545472	3.3364122040759447	2.467102916899723	23.409	0.125	r
60793.19150346065	10.155569225398201	3.3364196675219215	2.46714514725117	23.738	0.178	r
60793.19250736111	10.1558285856307	3.3364213368307674	2.467154591835109	23.708	0.166	r
60793.19351395834	10.15608866091864	3.3364230106214117	2.4671640614787096	23.474	0.135	r
60793.19399436343	10.156212790042199	3.336423809448088	2.4671685808203194	23.451	0.135	r
60793.19631126158	10.156811499369777	3.3364276620233744	2.467190375762381	24.261	0.179	g
60793.197317164355	10.157071465237262	3.3364293346510316	2.4671998377664495	24.156	0.187	g
60793.19783606481	10.157205577291752	3.336430197484008	2.4672047186831754	24.131	0.168	g
60793.19881956019	10.157459779559526	3.336431832848696	2.46721396950735	23.961	0.146	g
60793.19981975694	10.15771831707675	3.3364334959832074	2.4672233771707313	24.005	0.172	g
60793.200338055554	10.15785229749985	3.3364343578121276	2.4672282520843596	24.288	0.197	g
60793.20133846065	10.158110917011635	3.3364360212893818	2.4672376613213367	24.26	0.194	g
60793.20284346065	10.158500016821868	3.3364385238043077	2.467251816028987	23.742	0.122	g
60793.20382966435	10.158755010934652	3.3364401636613987	2.467261091104913	23.856	0.143	g
60793.20484445602	10.159017415910961	3.336441851052872	2.4672706348199704	24.06	0.186	g
60793.20536186342	10.159151214611704	3.3364427113947825	2.4672755007443943	23.916	0.158	g
60795.03062936343	10.626896747189807	3.3394740483597585	2.485172979446765	23.441	0.142	r
60795.03160115741	10.627138228424743	3.3394756603003555	2.4851826705499422	23.66	0.201	r
60795.03208975695	10.627259640767974	3.339476470752118	2.4851875426931347	23.641	0.152	r
60795.03306525463	10.627502043454342	3.3394780888332316	2.4851972693097104	23.738	0.205	r
60795.0340403588	10.627744349136156	3.339479706258763	2.485206991050846	23.44	0.176	r
60795.03453106481	10.627866286081638	3.339480520202206	2.4852118830079752	23.7	0.185	r
60795.056069363425	10.633218915717995	3.3395162456637992	2.485426369746728	23.494	0.105	r
60795.067234953705	10.635994439293741	3.339534765561147	2.4855373852822784	23.263	0.099	r
60795.06876835648	10.636375662158983	3.339537308930039	2.485552622249792	23.442	0.112	r
60795.07123925926	10.63698998912183	3.339541407266597	2.4855771703148988	23.672	0.145	r
60795.07370555556	10.637603209523878	3.339545497949312	2.4856016670403975	23.625	0.145	r
60795.09254275463	10.64228838066986	3.339576741517804	2.4857885906848445	23.519	0.128	r
60795.09771436342	10.643575189430738	3.3395853190619866	2.4858398558111605	23.5	0.114	r
60795.10069865741	10.644317864410796	3.3395902687343284	2.4858694284862093	23.356	0.174	r
60795.10119706018	10.644441906264392	3.339591095370475	2.4858743666736913	23.359	0.168	r
60795.14657815972	10.655748673891887	3.3396663607814525	2.4863232375351356	23.83	0.131	g
60795.148054861114	10.656117065362572	3.339668809841135	2.4863378211529255	24.135	0.137	g
60795.14905206019	10.656365854471465	3.339670463659835	2.4863476686027264	24.066	0.126	g
60795.15052096065	10.656732354937644	3.3396728997741034	2.486362173144895	24.107	0.136	g
60795.151510358795	10.656979234958426	3.339674540649307	2.486371942207247	24.275	0.167	g
60795.15297725694	10.65734529128854	3.3396769734347007	2.4863864250074545	24.184	0.175	g
60795.153967060185	10.657592310066367	3.3396786149763473	2.4863961967592854	24.124	0.146	g
60795.15494915509	10.657837420327827	3.3396802437323236	2.4864058919018905	23.778	0.126	g
60797.021838761575	11.120538445172885	3.3427724756678012	2.5055198240045033	23.319	0.155	i
60797.02284755787	11.120780327041714	3.3427741444732773	2.5055303244183076	23.452	0.172	i
60797.024286354164	11.121125311205631	3.342776524603175	2.505545298855849	23.455	0.17	i
60797.02526956019	11.121361057582867	3.3427781510702035	2.5055555304868564	23.216	0.139	i
60797.02671626157	11.121707938488237	3.3427805442699188	2.5055705836648166	23.277	0.126	i
60797.027719861115	11.121948575936901	3.342782204467149	2.5055810250526016	23.521	0.205	i
60797.02918745371	11.122300468504896	3.3427846322175716	2.5055962919753747	23.186	0.132	i
60797.030152453706	11.122531852853227	3.342786228556347	2.50560632940074	23.456	0.154	i
60797.031588564816	11.122876200619693	3.3427886042209134	2.5056212653528322	23.367	0.137	i
60797.032566354166	11.123110654552622	3.342790221711489	2.505631433454631	23.334	0.127	i
60797.034055358796	11.123467690190786	3.342792684866172	2.505646915885542	23.385	0.126	i
60797.035119155094	11.123722771056434	3.3427944446257594	2.5056579757158706	23.336	0.161	i
60797.0365740625	11.124071637427564	3.342796851367682	2.505673099940193	23.313	0.139	i
60797.037545162035	11.12430449594127	3.342798457781041	2.5056831936623016	23.464	0.16	i
60797.03899376158	11.124651857202258	3.3428008540796843	2.505698248832217	23.361	0.153	i
60797.039948564816	11.124880813402699	3.3428024335302036	2.5057081708922797	23.567	0.179	i
60797.04140956019	11.1252311558835	3.342804850326431	2.505723351418567	23.558	0.18	i
60797.042377164355	11.125463187844737	3.3428064509465463	2.5057334041914823	23.376	0.136	i
60797.04386826389	11.125820759684283	3.3428089175338522	2.5057488939417025	23.393	0.172	i
60797.0448578588	11.126058072455034	3.342810554525942	2.505759172790842	23.562	0.152	i
60797.04582275463	11.126289465258797	3.3428121506584842	2.505769194171313	23.461	0.158	i
60797.04629665509	11.12640311309803	3.3428129345851687	2.5057741157581903	23.38	0.134	i
60797.04725445602	11.126632809219437	3.3428145189783516	2.505784062113566	23.42	0.152	i
60797.05475565972	11.12843184322364	3.3428269273879825	2.5058619282618495	23.251	0.099	r
60797.05715296296	11.129006847507927	3.3428308929538595	2.505886802072536	23.576	0.125	r
60797.058633657405	11.129362013313676	3.342833342280236	2.5059021626662914	23.371	0.115	r
60797.05959505787	11.129592624946405	3.342834932600274	2.5059121350354223	23.535	0.117	r
60797.061048159725	11.129941190854511	3.342837336275476	2.5059272060600053	23.518	0.107	r
60797.06202135417	11.130174644411289	3.3428389460999366	2.5059372985568746	23.312	0.094	r
60797.0634640625	11.130520736628426	3.342841332573791	2.5059522585112424	23.381	0.089	r
60797.06442966435	11.130752382407211	3.342842929834338	2.5059622701032893	23.448	0.108	r
