mjd	mag_val	mag_band
60798.125047118054	23.95	g
60797.08865511574	24.36	g
60798.11279612269	24.11	g
60797.03899412037	23.70	i
60797.03405511574	23.86	i
60797.02671612269	23.76	i
60797.03754511574	23.65	i
60797.04237711806	23.71	i
60797.03256612268	23.64	i
60797.041410115744	23.74	i
60797.05619711806	24.06	r
60797.07416412037	23.80	r
60797.061048125	23.75	r
60797.08152011574	23.65	r
60797.068298125	24.27	r
60799.13474112268	23.94	r
60799.09134112269	23.96	r
60798.052971122685	23.61	r
60799.120928125	23.86	r
60797.07808211805	24.09	r
60799.133273125	23.98	r
60797.05959511574	23.90	r
60798.09215211806	23.56	r
60799.092837118056	23.70	r
60797.06346412037	24.22	r
60799.11996711806	23.74	r
60799.137197118056	24.04	r
60798.06426912037	23.66	r
60798.08972711806	23.81	r
60799.122415115744	23.86	r
