mjd	mag	rmsmag	band
60787.10978266204	23.24	0.15	i
60787.11028865741	22.92	0.13	i
60787.111309155094	23.058	0.124	i
60787.11233025463	23.473	0.173	i
60787.1129465625	23.172	0.146	i
60787.11395915509	23.343	0.149	i
60787.11650885417	23.272	0.15	i
60787.11752716435	23.037	0.126	i
60787.11915486111	23.285	0.164	i
60787.12431576389	23.165	0.135	i
60787.124827962965	23.285	0.168	i
60787.125841863424	23.167	0.132	i
60787.126874953705	23.263	0.153	i
60787.128398657405	23.297	0.152	i
60787.12941436343	23.011	0.124	i
60787.13094915509	23.296	0.145	i
60787.13196466435	23.254	0.158	i
60787.13354326389	23.197	0.137	i
60790.11731216435	23.146	0.109	r
60790.11781895833	23.452	0.142	r
60790.118846157406	23.259	0.11	r
60790.1198728588	23.251	0.145	r
60790.1203753588	23.207	0.142	r
60790.12139645834	23.221	0.145	r
60790.12295456018	23.644	0.195	r
60790.12398135417	23.575	0.176	r
60790.132206064816	23.646	0.164	r
60790.13375065972	23.617	0.156	r
60790.13617025463	24.09	0.137	g
60790.13667755787	23.992	0.161	g
60790.1377149537	23.821	0.11	g
60790.13875005787	24.265	0.183	g
60790.14024085648	23.942	0.15	g
60790.14126815972	24.111	0.152	g
60790.14800275463	24.222	0.163	g
60790.148509259256	23.904	0.137	g
60790.17741975695	23.696	0.125	g
60790.17847115741	23.881	0.135	g
60790.180868055555	23.323	0.157	i
60790.18532755787	23.13	0.162	i
60790.18642106481	23.026	0.137	i
60790.18797385417	23.385	0.177	i
60790.18904986111	23.195	0.169	i
60790.19061106481	23.208	0.142	i
60793.1355990625	24.148	0.183	g
60793.13803065972	23.89	0.165	g
60793.13851606481	23.859	0.146	g
60793.139491354166	23.962	0.175	g
60793.14047425926	23.848	0.144	g
60793.14095516204	23.944	0.145	g
60793.14193525463	24.17	0.181	g
60793.142930462964	24.393	0.202	g
60793.143418761574	23.964	0.137	g
60793.144401157406	23.854	0.137	g
60793.184043263886	23.643	0.169	r
60793.18501516204	23.36	0.117	r
60793.1860074537	23.647	0.17	r
60793.1865253588	23.321	0.122	r
60793.187517858794	23.434	0.136	r
60793.19100565972	23.753	0.185	r
60793.19300085648	23.363	0.121	r
60793.19351395834	23.216	0.111	r
60793.19832956018	23.953	0.152	g
60793.199321458334	24.309	0.206	g
60793.19981975694	23.989	0.153	g
60793.201834155094	24.064	0.17	g
60793.20333736111	24.118	0.193	g
60793.2043240625	24.125	0.18	g
60793.20484445602	24.098	0.175	g
60795.03011165509	23.56	0.171	r
60795.031108958334	23.612	0.153	r
60795.03160115741	23.813	0.185	r
60795.03257805556	23.726	0.155	r
60795.033550960645	23.563	0.155	r
60795.0340403588	23.691	0.176	r
60795.03502016204	23.646	0.189	r
60795.03599975695	23.577	0.142	r
60795.03649755787	23.923	0.198	r
60795.068243761576	23.409	0.125	r
60795.06876835648	23.719	0.155	r
60795.06925565972	23.775	0.177	r
60795.07023085648	23.601	0.15	r
60795.070718055555	23.537	0.123	r
60795.07172695602	23.513	0.126	r
60795.07269936342	23.559	0.131	r
60795.09254275463	23.56	0.121	r
60795.102194259256	23.739	0.208	r
60795.14657815972	24.097	0.174	g
60795.147565555555	24.11	0.143	g
60795.148054861114	23.911	0.112	g
60795.148545358796	24.319	0.196	g
60795.14954466435	24.505	0.188	g
60795.15003055555	24.25	0.143	g
60795.15101126157	23.953	0.144	g
60795.152488657404	24.278	0.167	g
60795.15347065972	24.266	0.193	g
60795.1544653588	24.23	0.157	g
60795.15494915509	24.171	0.164	g
60797.021838761575	23.438	0.187	i
60797.02332706018	23.455	0.168	i
60797.02380675926	23.623	0.2	i
60797.02622675926	23.342	0.166	i
60797.03063516204	23.597	0.175	i
60797.035119155094	23.258	0.169	i
60797.0365740625	23.365	0.16	i
60797.038033460645	23.465	0.172	i
60797.03851436343	23.169	0.134	i
60797.04093456019	23.383	0.159	i
60797.04140956019	23.282	0.156	i
60797.042879953704	23.422	0.168	i
60797.04335706018	23.541	0.168	i
60797.0453449537	23.591	0.157	i
60797.04582275463	23.707	0.191	i
60797.04677826389	23.387	0.167	i
