mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60787.109270960646	10.695430568600658	2.7469516717772824	1.8329939885850013	22.404	0.075	i
60787.11079675926	10.695961872004057	2.7469511400037168	1.8330028954964144	22.367	0.067	i
60787.111820162034	10.696318251404287	2.7469507833261133	1.8330088685421717	22.169	0.058	i
60787.11345665509	10.696888156447741	2.746950212973329	1.8330184180326086	22.251	0.056	i
60787.11446835648	10.697240497162909	2.7469498603739977	1.8330243205267625	22.379	0.062	i
60787.115488159725	10.697595673735993	2.7469495049510004	1.833030269426197	22.395	0.074	i
60787.115997361114	10.69777302341059	2.7469493274836965	1.8330332394657889	22.291	0.061	i
60787.118035162035	10.698482805596345	2.7469486172673463	1.8330451232933946	22.122	0.06	i
60787.118650358796	10.69869709509345	2.746948402858419	1.83304871026123	22.228	0.06	i
60787.12378716435	10.700486597743094	2.7469466125753113	1.8330786489537936	22.235	0.058	i
60787.12533436342	10.70102567112329	2.74694607334469	1.8330876623098167	22.365	0.06	i
60787.12636576389	10.70138505101104	2.746945713880527	1.8330936697824025	22.33	0.07	i
60787.12788755787	10.701915333092979	2.7469451835045158	1.8331025320649634	22.261	0.059	i
60787.12890445602	10.702269700329248	2.7469448290949576	1.833108453044811	22.295	0.061	i
60787.13043505787	10.702803113582556	2.7469442956492784	1.8331173636070597	22.424	0.064	i
60787.13145516204	10.703158639843936	2.746943940122507	1.8331233012540715	22.326	0.06	i
60787.132473564816	10.703513590042416	2.7469435851888204	1.833129228207073	22.369	0.065	i
60787.13298486111	10.70369180184497	2.746943406991768	1.833132203581462	22.26	0.056	i
60790.11679915509	11.735553163272007	2.7459038026785385	1.8518486340263045	22.163	0.041	r
60790.11832945602	11.736066059375368	2.745903269672398	1.8518585661770934	22.177	0.045	r
60790.11935736111	11.73641059230804	2.7459029116516356	1.8518652365767343	22.35	0.084	r
60790.120883564814	11.736922175042503	2.745902380072764	1.8518751390691925	22.203	0.064	r
60790.12192716435	11.737272009971559	2.745902016585749	1.8518819092291252	22.136	0.06	r
60790.124511354166	11.738138355079943	2.745901116509687	1.851898670073937	22.18	0.061	r
60790.13322856482	11.741061595887913	2.7458980802997806	1.851955172227328	22.201	0.049	r
60790.13563986111	11.74187043302309	2.745897240444744	1.8519707917062023	22.561	0.038	g
60790.13718815972	11.742389843377781	2.745896701172299	1.851980818839718	22.635	0.039	g
60790.138225462964	11.742737853202375	2.7458963398797898	1.8519875357123425	22.58	0.042	g
60790.14074466435	11.743583113895664	2.745895462442487	1.852003845270517	22.615	0.047	g
60790.148509259256	11.746189093025242	2.7458927580390196	1.852054087302904	22.681	0.055	g
60790.14901275463	11.74635811767103	2.7458925826720875	1.8520573438962924	22.729	0.043	g
60790.17689106482	11.755725092647943	2.745882872716024	1.8522374304779712	22.612	0.046	g
60790.17793346065	11.756075659818976	2.7458825096529966	1.8522441562329595	22.639	0.042	g
60790.180328159724	11.756881112627276	2.7458816755875626	1.8522596054573477	21.988	0.055	i
60790.18188925926	11.757406256625432	2.745881131862169	1.8522696754055719	22.166	0.064	i
60790.18323115741	11.757857707601735	2.745880664484086	1.8522783305404948	22.112	0.072	i
60790.184789363426	11.758381983025597	2.745880121766897	1.852288379890046	22.043	0.057	i
60790.18588255787	11.758749834063897	2.745879741011613	1.8522954296366023	22.219	0.08	i
60790.18692346065	11.759100115536393	2.7458793784693216	1.8523021417178087	22.15	0.073	i
60790.18743475695	11.759272184841334	2.7458792003868218	1.852305438566033	22.052	0.064	i
60790.1885165625	11.759636270769349	2.7458788235985634	1.8523124137236433	22.05	0.059	i
60790.18956115741	11.759987859829042	2.7458784597705064	1.8523191485311281	21.992	0.065	i
60790.19006706018	11.760158145545894	2.745878283566737	1.8523224100832572	22.076	0.056	i
60793.13511145833	12.736249044931016	2.7448529109767392	1.872744554383957	22.956	0.064	g
60793.13656775463	12.736715861738373	2.744852404135319	1.8727548969761056	22.874	0.062	g
60793.14144395833	12.738279222715109	2.7448507070496992	1.8727895175434275	22.816	0.056	g
60793.14243385417	12.738596649021684	2.74485036253241	1.872796543837661	22.9	0.056	g
60793.14390425926	12.739068193702927	2.744849850781746	1.8728069796551512	22.873	0.052	g
60793.1830649537	12.751643376302342	2.7448362216137223	1.8730844779998457	22.388	0.053	r
60793.18452115741	12.752111653020119	2.744835714811401	1.8730947833468723	22.343	0.049	r
60793.19150346065	12.754357681397535	2.7448332847641557	1.8731441857675544	22.534	0.064	r
60793.19250736111	12.754680707156751	2.744832935377621	1.8731512874191638	22.467	0.057	r
60793.19399436343	12.755159226023103	2.7448324178577823	1.8731618059926265	22.352	0.055	r
60793.19631126158	12.755904914028891	2.7448316115105404	1.8731781936771348	22.774	0.05	g
60793.19783606481	12.756395740179746	2.7448310808354255	1.8731889779534845	22.939	0.061	g
60793.20133846065	12.757523360744283	2.744829861902362	1.873213746549422	22.826	0.055	g
60793.20284346065	12.758007999593616	2.744829338120048	1.8732243888169173	22.783	0.054	g
60793.20382966435	12.75832560671921	2.744828994893614	1.8732313622425107	22.839	0.064	g
60793.20536186342	12.758819100281686	2.7448284616455565	1.873242195956968	22.834	0.063	g
60795.0355124537	13.342393432209418	2.7441916852855495	1.88687629436495	22.291	0.057	r
60795.056069363425	13.34874037332502	2.744184534740278	1.88703198730154	22.214	0.039	r
60795.067234953705	13.3521887893395	2.744180650903827	1.8871163792358874	22.356	0.052	r
60795.06876835648	13.35266244738887	2.74418011752645	1.8871279597519133	22.359	0.05	r
60795.07221305556	13.3537265686929	2.7441789193263273	1.8871539666723782	22.303	0.049	r
60795.07370555556	13.354187659351087	2.7441784001773137	1.8871652313783	22.34	0.052	r
60795.09771436342	13.361608252311576	2.7441700490202283	1.8873461643310785	22.295	0.044	r
60795.10069865741	13.362531135997546	2.74416901097607	1.8873686196095345	22.381	0.077	r
60795.10119706018	13.362685277708865	2.7441688376138096	1.887372369120434	22.338	0.078	r
60795.14657815972	13.376737426140295	2.744153052562462	1.8877129975532547	22.759	0.059	g
60795.148054861114	13.377195324994972	2.744152538920442	1.887724058693722	22.86	0.053	g
60795.14905206019	13.37750456409143	2.744152192064104	1.8877315274480089	22.861	0.049	g
60795.15052096065	13.377960118862658	2.7441516811358135	1.8877425280983071	22.812	0.05	g
60795.151510358795	13.378266989295039	2.7441513369932373	1.8877499370593338	22.805	0.051	g
60795.15297725694	13.37872199836753	2.744150826761808	1.8877609207227142	22.866	0.06	g
60795.153967060185	13.379029045568732	2.744150482478577	1.887768331392717	22.826	0.05	g
60795.155432060186	13.3794835420094	2.744149972907722	1.8877792989115254	22.76	0.049	g
60795.15644216435	13.379796939783175	2.74414962156347	1.8877868602568104	22.824	0.049	g
60795.15793016204	13.38025865016669	2.744149103993754	1.8877979980137045	22.732	0.045	g
60797.030152453706	13.956706211367077	2.7434980820712984	1.9024615864202667	22.757	0.088	i
60797.0448578588	13.96108111296158	2.7434929701743234	1.9025786116023946	22.888	0.089	i
60797.04629665509	13.961509210747103	2.74349247002083	1.9025900498522368	22.937	0.097	i
60797.06442966435	13.966905649796745	2.7434861666567585	1.9027340315633103	22.638	0.057	r
60797.06586576389	13.967333147553807	2.7434856674440997	1.9027454211690453	22.778	0.061	r
60797.08052525463	13.971698144970524	2.7434805715686483	1.9028615756538558	22.866	0.061	r
60797.0886553588	13.974119998854649	2.743477745424228	1.902925911655954	23.127	0.073	g
60797.09830315972	13.976995071955	2.743474391715767	1.9030021845669405	23.054	0.067	g
60797.099738854165	13.97742302475506	2.7434738926495963	1.9030135282145404	23.097	0.055	g
60797.10321956019	13.97846068275612	2.7434726827113907	1.9030410229538472	23.005	0.08	g
60797.11289425926	13.981345862852978	2.7434693196692432	1.9031173955333915	23.086	0.058	g
60797.12755085648	13.985719742388229	2.743464224879926	1.9032329646546262	23.111	0.068	g
60797.12900046296	13.986152549882778	2.7434637209826693	1.9032443869485314	23.111	0.072	g
60798.01740255787	14.252427900617333	2.74315495048085	1.9104534219904943	22.288	0.096	i
60798.01886736111	14.25285520841454	2.7431544414559927	1.910465373180237	22.78	0.153	i
60798.03162195602	14.256576074725881	2.743150009195331	1.9105693431301238	22.503	0.125	i
60798.03309925926	14.257007071179144	2.7431494958291487	1.9105813746995146	22.265	0.113	i
60798.05054945602	14.262098831693772	2.7431434318676238	1.910723327885064	22.396	0.081	r
60798.051993657406	14.262520311529602	2.7431429300077697	1.9107350626027606	22.52	0.094	r
60798.06524016204	14.266386962824726	2.743138326860613	1.9108426020772769	22.575	0.094	r
60798.06668425926	14.266808586790182	2.7431378250395815	1.91085431568602	22.501	0.093	r
60798.08139925926	14.271106071143043	2.743132711619236	1.9109735657775977	22.384	0.073	r
60798.09459395833	14.274961773630643	2.743128126521528	1.9110803337536297	22.479	0.082	r
60798.09604236111	14.275385164694852	2.7431276232094612	1.9110920449581696	22.403	0.075	r
60798.12850046296	14.284881974713244	2.7431163442630115	1.9113540679236583	22.804	0.071	g
60799.03488716435	14.551139107025927	2.7428014341289653	1.9188749923577346	22.378	0.076	i
60799.09383925926	14.568010079920237	2.7427809556842897	1.9193637086908468	22.435	0.063	r
60799.09533966435	14.568439982690412	2.742780434487877	1.9193761067219042	22.455	0.068	r
60799.10871606482	14.572274171652968	2.7427757879335233	1.9194865590566264	22.497	0.069	r
60799.110164363425	14.572689482361286	2.7427752848399582	1.9194985098430548	22.466	0.058	r
60799.12339356481	14.57648474523389	2.742770689442721	1.9196076026407454	22.398	0.052	r
60799.12485115741	14.576903100805033	2.742770183123543	1.919619615148218	22.439	0.059	r
60799.138160462964	14.580725007602583	2.742765559925631	1.9197292395211347	22.477	0.053	r
60799.151614664355	14.584592186865263	2.742760886418777	1.9198399538306712	22.938	0.067	g
60799.15313716435	14.585030046968186	2.7427603575582618	1.9198524765654619	22.929	0.06	g
