mjd	mag	rmsmag	band
60797.076608958334	22.737	0.065	r
60797.07808165509	22.742	0.076	r
60797.09587005787	23.609	0.116	g
60797.097315555555	23.495	0.105	g
60797.111904756945	24.027	0.152	g
60797.12509055556	23.294	0.096	g
60797.12655335648	23.544	0.109	g
60798.06426895833	22.768	0.105	r
60798.07746606482	23.035	0.14	r
60798.07893686343	22.786	0.106	r
60798.09215195602	22.824	0.111	r
60798.112796354166	23.243	0.111	g
60798.12604275463	23.371	0.148	g
60798.12850046296	23.302	0.126	g
60799.091341354164	23.075	0.105	r
60799.092836655094	23.055	0.109	r
60799.106282256944	22.815	0.089	r
60799.10775186343	22.912	0.107	r
60799.10871606482	23.015	0.11	r
60799.120927662036	22.886	0.084	r
60799.13571986111	23.105	0.103	r
60799.138160462964	23.09	0.106	r
