mjd	mag_val	mag_band
60790.177933125	23.36	g
60790.149013125	23.11	g
60790.137188125	23.06	g
60790.13564011574	23.08	g
60790.17689112268	23.34	g
60797.09973912037	24.13	g
60797.11289412037	23.66	g
60790.14326511574	23.15	g
60787.111820115744	22.52	i
60787.124828125	22.50	i
60790.18478912037	22.91	i
60790.190067118056	23.15	i
60787.11028912037	22.57	i
60787.127888125	22.41	i
60790.18956112269	23.03	i
60787.13247412037	22.52	i
60787.11599711805	22.52	i
60787.11701711806	22.40	i
60787.13145511574	22.57	i
60797.03158912037	23.42	i
60787.114468125	22.49	i
60787.12533412037	22.43	i
60787.11865011574	22.47	i
60787.12890412037	22.52	i
60787.126366122684	22.80	i
60787.11803511574	22.52	i
60787.13043511574	22.48	i
60787.127381122686	22.54	i
60787.13298511574	22.49	i
60787.129923125	22.41	i
60787.11345711806	22.58	i
60790.18743511574	22.91	i
60787.10927112269	22.41	i
60790.11679912037	22.88	r
60797.06443011574	23.06	r
60797.08052511574	22.86	r
