mjd	phase angle	mag	rmsmag	band
60787.109270960646	14.797347342267372	22.761	0.105	i
60787.11079675926	14.798150968078557	22.679	0.087	i
60787.111820162034	14.798722762719283	23.147	0.134	i
60787.11345665509	14.799598298219957	23.09	0.122	i
60787.11446835648	14.800131574592834	23.107	0.126	i
60787.115488159725	14.800660990038287	23.182	0.158	i
60787.115997361114	14.800963342955178	22.977	0.116	i
60787.11701686343	14.801536685746685	22.903	0.123	i
60787.118650358796	14.802396365174538	22.92	0.115	i
60787.12378716435	14.805203622230156	23.143	0.152	i
60787.12533436342	14.806047170837534	23.185	0.132	i
60787.12636576389	14.80661986419725	23.106	0.147	i
60787.12788755787	14.807425053021593	23.07	0.122	i
60787.12890445602	14.80796655746716	23.068	0.128	i
60787.13043505787	14.808794702380789	22.969	0.11	i
60787.13145516204	14.809356628345506	23.201	0.128	i
60787.132473564816	14.80990384058127	23.124	0.133	i
60787.13298486111	14.81019399402559	23.037	0.116	i
60790.11679915509	16.41902379828765	23.2	0.133	r
60790.11832945602	16.419892110786908	23.657	0.169	r
60790.11935736111	16.420438560543648	23.445	0.168	r
60790.12346195602	16.422611065343983	23.23	0.135	r
60790.124511354166	16.423199728702134	23.227	0.139	r
60790.132723159724	16.427666439735454	23.3	0.14	r
60790.13322856482	16.42789811811726	23.538	0.15	r
60790.13563986111	16.42921304413076	23.89	0.133	g
60790.13718815972	16.430057854646172	23.808	0.108	g
60790.138225462964	16.430606054382974	24.014	0.126	g
60790.14074466435	16.431961669525236	23.953	0.136	g
60790.14326486111	16.43336134635068	23.746	0.125	g
60790.14901275463	16.43643577183748	23.777	0.1	g
60790.17689106482	16.45149297230176	23.474	0.102	g
60790.17793346065	16.45205057152028	23.451	0.091	g
60790.180328159724	16.453344923030286	22.83	0.091	i
60790.18137706019	16.453928566771193	23.002	0.146	i
60790.18188925926	16.45418991477083	22.962	0.111	i
60790.18323115741	16.45492528811489	23.035	0.134	i
60790.184280960646	16.455484953466794	22.94	0.128	i
60790.184789363426	16.45574779010966	23.043	0.138	i
60790.18692346065	16.45689943298629	22.802	0.113	i
60790.18743475695	16.4571828738759	22.788	0.111	i
60790.1885165625	16.457751037918364	22.959	0.122	i
60790.18956115741	16.458337568623175	22.841	0.131	i
60790.19006706018	16.458593127974822	22.694	0.089	i
60793.13511145833	18.034964967109964	23.569	0.102	g
60793.137539560186	18.036237579645807	23.55	0.106	g
60793.1390024537	18.03701868275251	23.508	0.096	g
60793.14144395833	18.0383395152503	23.492	0.089	g
60793.14243385417	18.038869279512525	23.475	0.089	g
60793.14390425926	18.039654344154048	23.402	0.078	g
60793.1830649537	18.06061122875993	22.803	0.077	r
60793.18452115741	18.06138421505307	22.83	0.075	r
60793.18551106482	18.061916342710695	22.81	0.071	r
60793.18701505787	18.06272448014902	22.804	0.075	r
60793.19250736111	18.06565413508945	22.838	0.073	r
60793.19399436343	18.066450426104847	22.755	0.074	r
60793.19783606481	18.0684827899194	23.33	0.082	g
60793.19881956019	18.06902090645016	23.35	0.086	g
60793.200338055554	18.069835869916165	23.23	0.078	g
60793.20133846065	18.07037749362779	23.178	0.075	g
60793.20284346065	18.07119112849886	23.296	0.083	g
60793.20382966435	18.071708103479278	23.097	0.074	g
60793.20536186342	18.07252471290126	23.112	0.078	g
