mjd	phase angle	r_hc	r_gc	mag	rmsmag	band
60790.118846157406	8.801393586576648	3.616286425448428	2.733614089546535	23.446	0.186	r
60790.1198728588	8.801636657819573	3.616287039456938	2.733622033403226	23.12	0.171	r
60790.122444155095	8.802245460078446	3.6162885771798483	2.7336419245546795	23.375	0.215	r
60790.12398135417	8.802609454226038	3.61628949646689	2.7336538136265376	23.365	0.174	r
60790.13875005787	8.806107893263468	3.616298328156508	2.733767947790045	24.02	0.186	g
60790.17847115741	8.815530863762513	3.616322077809097	2.7340742028404916	23.984	0.159	g
60793.1355990625	9.511371213663715	3.618075514002322	2.7583433374173514	23.846	0.136	g
60793.13803065972	9.511928794755574	3.6180769439113925	2.758363811625813	23.948	0.152	g
60793.139491354166	9.512263776537695	3.6180778028681053	2.7583761088500367	23.856	0.146	g
60793.14047425926	9.512489201713898	3.6180783808585195	2.7583843828877956	23.606	0.123	g
60793.14193525463	9.51282429723279	3.618079239980301	2.7583966802811264	23.839	0.135	g
60793.18356665509	9.522385150052786	3.6181037178876294	2.758746581164402	23.394	0.143	r
60793.18501516204	9.5227182614539	3.6181045694591702	2.758758740306223	23.548	0.143	r
60793.187517858794	9.523293879816288	3.6181060407682732	2.758779746660414	23.753	0.202	r
60793.19200236111	9.524325555729906	3.6181086771084634	2.758817381465079	23.32	0.142	r
60793.201834155094	9.526588506757612	3.6181144567702557	2.7588998683204133	23.819	0.173	g
60793.2043240625	9.52716184602822	3.618115920421932	2.7589207536438063	23.792	0.156	g
60795.03011165509	9.944540031525083	3.619183648993409	2.774954120317176	23.581	0.193	r
60795.031108958334	9.944761910863914	3.619184229200688	2.7749630515635877	23.553	0.16	r
60795.03257805556	9.945088757552046	3.6191850838808257	2.774976206116459	23.574	0.141	r
60795.06772796296	9.952910924775706	3.6192055309856395	2.7752903146717265	23.458	0.126	r
60795.06925565972	9.953251022243967	3.6192064195715314	2.7753039397608656	23.687	0.169	r
60795.07172695602	9.953801214733938	3.61920785698618	2.7753259759558033	23.759	0.168	r
60795.07269936342	9.954017715341038	3.6192084225755945	2.775334645227744	23.45	0.126	r
60797.022357361115	10.38741972934658	3.6203361096043394	2.7932669150072176	23.3	0.161	i
60797.02332706018	10.38762898522458	3.6203366673417348	2.7932760182614063	23.254	0.154	i
60797.024786458336	10.38794391736886	3.6203375067312815	2.793289716888857	23.278	0.185	i
60797.0271990625	10.388464553099766	3.620338894352522	2.793312358086954	23.468	0.181	i
60797.03560236111	10.390278048390043	3.620343727400366	2.793391173818232	23.254	0.167	i
60797.03705585648	10.390591739652963	3.62034456333567	2.793404799233014	23.419	0.163	i
